Numerator	Denominator	hsa Khan Chimpanzee RNA	hsa Khan Human RNA	hsa Khan Chimpanzee Protein	hsa Khan Human Protein	hsa Khan Chimpanzee RNA	hsa Khan Human RNA	hsa Khan Chimpanzee Protein	hsa Khan Human Protein	hsa Khan Chimpanzee RNA	hsa Khan Human RNA	hsa Khan Chimpanzee Protein	hsa Khan Human Protein
-Biosynthesis	-Signaling Molecules and Interaction	0.8105	1.346	1.987	0.7923	1.559	2.114	3.182	4.033	6.182	3.517	4.764	7.051
-Other Enzymes	-Signaling Molecules and Interaction	2.423	3.649	4.772	2.187	3.727	4.509	6.845	9.218	12.76	8.479	10.98	15.25
Organismal Systems	-Signaling Molecules and Interaction	1.377	2.105	2.387	1.41	2.444	2.795	3.148	3.409	4.151	2.945	3.613	4.47
-Immune System	-Signaling Molecules and Interaction	0.6552	1.1	1.34	0.8338	1.416	1.851	1.251	1.531	1.947	1.287	1.957	2.29
-Endocrine System	-Signaling Molecules and Interaction	0.08926	0.2351	0.3108	0.07081	0.2287	0.3001	0.3545	0.651	0.7583	0.2003	0.4942	0.6975
-Circulatory System	-Signaling Molecules and Interaction	0.01271	0.04036	0.07188	0.018	0.04433	0.06681	0.1071	0.1788	0.3096	0.1041	0.191	0.3135
-Digestive System	-Signaling Molecules and Interaction	0.05022	0.1486	0.1974	0.04019	0.1635	0.1966	0.05287	0.08508	0.2728	0.04726	0.08357	0.3184
-Excretory System	-Signaling Molecules and Interaction	0.1045	0.1444	0.2027	0.1141	0.1271	0.2066	0.3203	0.4008	0.4825	0.3315	0.3772	0.4753
-Nervous System	-Signaling Molecules and Interaction	0.05984	0.1538	0.2557	0.05375	0.1454	0.2716	0.1071	0.2729	0.7248	0.08705	0.3274	0.7553
-Sensory System	-Signaling Molecules and Interaction	0	0.0155	0.03225	0	0.01896	0.02909	0	0.01126	0.03367	0	0.0134	0.01824
-Development	-Signaling Molecules and Interaction	0.05118	0.1073	0.2131	0.03944	0.09191	0.2286	0.04727	0.09455	0.2469	0.05046	0.1247	0.2391
-Environmental Adaptation	-Signaling Molecules and Interaction	0	0.007665	0.07573	0	0.007433	0.1107	0	0.02958	0.2762	0	0.02829	0.234
Human Diseases	-Signaling Molecules and Interaction	1.33	2.157	2.755	1.313	2.319	3.312	3.79	6.243	8.515	3.887	7.117	9.13
-Cancers	-Signaling Molecules and Interaction	0.2199	0.4197	0.5182	0.1879	0.3705	0.4363	0.2231	0.58	0.804	0.2672	0.7548	0.8176
-Immune System Diseases	-Signaling Molecules and Interaction	0.01784	0.06616	0.2198	0.0153	0.06728	0.2249	0.1437	0.1899	0.344	0.1309	0.198	0.3305
-Neurodegenerative Diseases	-Signaling Molecules and Interaction	0.2216	0.5661	0.9731	0.2475	0.5839	1.432	0.8421	2.307	5.235	0.9215	2.255	5.548
-Cardiovascular Diseases	-Signaling Molecules and Interaction	0.04068	0.1225	0.2697	0.02652	0.09424	0.226	0.4216	0.5237	1.263	0.2551	0.311	1.142
-Metabolic Diseases	-Signaling Molecules and Interaction	0	0	0.04143	0	0	0.04503	0	0	0.8846	0	0	1.501
-Infectious Diseases	-Signaling Molecules and Interaction	0.4617	0.79	1.039	0.4956	0.9466	1.258	0.9535	1.426	1.883	1.091	1.926	2.289
Not Mapped	-Signaling Molecules and Interaction	4.703	7.168	8.439	4.965	8.59	9.534	11.24	13.4	15.94	12.31	14.62	17.3
-Not Mapped	-Signaling Molecules and Interaction	4.703	7.168	8.439	4.965	8.59	9.534	11.24	13.4	15.94	12.31	14.62	17.3
TOTAL	Cellular Processes	8.839	9.662	10.17	9.537	10.71	11.23	8.904	10.02	11.43	9.698	11.04	12.43
MAPPED	Cellular Processes	6.891	7.532	7.931	7.329	8.23	8.632	7.365	8.288	9.455	8.073	9.194	10.34
Genetic Information Processing	Cellular Processes	2.727	3.008	3.209	3.011	3.355	3.589	2.943	3.411	3.855	3.179	3.641	4.128
-Transcription	Cellular Processes	0.3491	0.3793	0.4202	0.3809	0.4129	0.4444	0.3691	0.4143	0.49	0.3755	0.445	0.4979
-Translation	Cellular Processes	0.9511	1.052	1.087	1.262	1.387	1.464	0.8255	0.952	1.061	0.8932	1.053	1.146
-Folding, Sorting and Degradation	Cellular Processes	0.89	1.009	1.052	0.8279	0.9435	1.011	1.317	1.465	1.676	1.384	1.561	1.797
-DNA Maintenance	Cellular Processes	0.525	0.5939	0.6539	0.5288	0.5857	0.6307	0.4064	0.5199	0.587	0.471	0.5547	0.6306
-RNA Family	Cellular Processes	0	0	0	0	0	0	0	0	0	0	0	0
Environmental Information Processing	Cellular Processes	0.2888	0.4116	0.4793	0.2946	0.3935	0.4696	0.1509	0.1838	0.231	0.1533	0.1898	0.2485
-Signal Transduction	Cellular Processes	0.0518	0.119	0.1466	0.05809	0.1104	0.1424	0.02405	0.06258	0.08145	0.03438	0.0729	0.09705
-Signaling Molecules and Interaction	Cellular Processes	0.2195	0.2971	0.3858	0.2166	0.2796	0.395	0.09652	0.1331	0.1531	0.09396	0.1248	0.151
Cellular Processes	Cellular Processes	1	1	1	1	1	1	1	1	1	1	1	1
-Cell structure	Cellular Processes	0	0	0	0	0	0	0	0	0	0	0	0
-Crystallins	Cellular Processes	0	0	0	0	0	0	0	0	0	0	0	0
-Stress Response	Cellular Processes	0	0	0	0	0	0	0	0	0	0	0	0
-Vesicular Transport	Cellular Processes	0.2837	0.3275	0.3565	0.3487	0.3886	0.4226	0.1577	0.2058	0.2169	0.1909	0.2277	0.2526
-Cytoskeleton	Cellular Processes	0.4292	0.4756	0.4855	0.3691	0.4286	0.4441	0.4742	0.5498	0.5883	0.4251	0.4951	0.5351
-Cell Motility	Cellular Processes	0	0	0	0	0	0	0	0	0	0	0	0
-Cell Growth and Death	Cellular Processes	0.08206	0.1041	0.1185	0.08082	0.09277	0.1142	0.07644	0.1191	0.1525	0.08883	0.1268	0.1656
-Cell Communication	Cellular Processes	0.07841	0.09471	0.1184	0.06525	0.07789	0.1053	0.07857	0.1055	0.1918	0.08025	0.1114	0.2078
Metabolism	Cellular Processes	1.681	1.857	2.075	1.73	1.904	2.304	2.158	2.546	2.999	2.581	2.947	3.661
-Membrane Transport	Cellular Processes	0.02316	0.03022	0.05006	0.02033	0.02755	0.0482	0.01274	0.01831	0.0282	0.01351	0.01791	0.0224
-Central Carbon Metabolism	Cellular Processes	0.1249	0.2393	0.3032	0.1126	0.2385	0.4004	0.2634	0.4752	0.8165	0.3155	0.619	1.037
-Energy Metabolism	Cellular Processes	0.03922	0.07071	0.07959	0.04358	0.07592	0.08904	0.1476	0.1716	0.2225	0.1917	0.2216	0.2811
-Biosynthesis	Cellular Processes	0.3092	0.4361	0.5065	0.3279	0.4953	0.5832	0.4748	0.5437	0.6851	0.5177	0.6493	0.7631
-Other Enzymes	Cellular Processes	0.89	1.084	1.141	0.888	1.114	1.188	0.8953	1.232	1.558	1.058	1.433	1.835
Organismal Systems	Cellular Processes	0.5275	0.5685	0.7012	0.5903	0.6666	0.7792	0.4007	0.4656	0.5592	0.4164	0.5001	0.5794
-Immune System	Cellular Processes	0.2528	0.316	0.3897	0.3294	0.4376	0.4908	0.1787	0.2121	0.239	0.1944	0.2478	0.2748
-Endocrine System	Cellular Processes	0.02237	0.06985	0.08968	0.02968	0.05647	0.09033	0.05514	0.08397	0.1009	0.03082	0.06779	0.08707
-Circulatory System	Cellular Processes	0.003923	0.0111	0.01887	0.004258	0.0123	0.02098	0.01378	0.02512	0.03806	0.01412	0.02282	0.03761
-Digestive System	Cellular Processes	0.02365	0.0365	0.05906	0.0193	0.04407	0.0517	0.008223	0.01216	0.03235	0.007272	0.009936	0.03721
-Excretory System	Cellular Processes	0.03106	0.04226	0.07222	0.03027	0.03991	0.06076	0.04132	0.0517	0.06893	0.04101	0.0478	0.06358
-Nervous System	Cellular Processes	0.01314	0.05014	0.07482	0.01164	0.04634	0.07595	0.01034	0.03476	0.1068	0.008179	0.03826	0.1018
-Sensory System	Cellular Processes	0	0.005277	0.008872	0	0.006313	0.008136	0	0.001357	0.004501	0	0.001714	0.0023
-Development	Cellular Processes	0.01498	0.03313	0.0633	0.0135	0.03474	0.05261	0.00587	0.01381	0.02813	0.006438	0.01547	0.02357
-Environmental Adaptation	Cellular Processes	0	0.002243	0.02069	0	0.002079	0.03044	0	0.003954	0.03946	0	0.003681	0.03534
Human Diseases	Cellular Processes	0.5111	0.5994	0.7747	0.5163	0.6485	0.8958	0.5802	0.7892	1.01	0.551	0.9074	1.075
-Cancers	Cellular Processes	0.08542	0.1228	0.1462	0.07554	0.09595	0.1274	0.03471	0.07124	0.1003	0.04112	0.0776	0.114
-Immune System Diseases	Cellular Processes	0.003915	0.02358	0.05511	0.003314	0.02215	0.05882	0.01429	0.02742	0.04351	0.01357	0.02546	0.04455
-Neurodegenerative Diseases	Cellular Processes	0.079	0.1272	0.2891	0.0847	0.1381	0.3923	0.1121	0.2821	0.6266	0.1231	0.2681	0.6658
-Cardiovascular Diseases	Cellular Processes	0.01398	0.04728	0.07246	0.007974	0.03722	0.06116	0.0593	0.07089	0.1716	0.03514	0.04552	0.1525
-Metabolic Diseases	Cellular Processes	0	0	0.01289	0	0	0.01228	0	0	0.08538	0	0	0.141
-Infectious Diseases	Cellular Processes	0.1734	0.2259	0.3158	0.1849	0.2623	0.3589	0.1166	0.192	0.2691	0.1298	0.1991	0.2964
Not Mapped	Cellular Processes	1.948	2.13	2.242	2.208	2.479	2.6	1.539	1.731	1.975	1.625	1.851	2.082
-Not Mapped	Cellular Processes	1.948	2.13	2.242	2.208	2.479	2.6	1.539	1.731	1.975	1.625	1.851	2.082
TOTAL	-Cell structure	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
MAPPED	-Cell structure	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
Genetic Information Processing	-Cell structure	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Transcription	-Cell structure	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Translation	-Cell structure	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Folding, Sorting and Degradation	-Cell structure	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-DNA Maintenance	-Cell structure	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-RNA Family	-Cell structure	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Environmental Information Processing	-Cell structure	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Signal Transduction	-Cell structure	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Signaling Molecules and Interaction	-Cell structure	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
Cellular Processes	-Cell structure	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Cell structure	-Cell structure	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-Crystallins	-Cell structure	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-Stress Response	-Cell structure	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-Vesicular Transport	-Cell structure	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Cytoskeleton	-Cell structure	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Cell Motility	-Cell structure	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-Cell Growth and Death	-Cell structure	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Cell Communication	-Cell structure	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
Metabolism	-Cell structure	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Membrane Transport	-Cell structure	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Central Carbon Metabolism	-Cell structure	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Energy Metabolism	-Cell structure	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Biosynthesis	-Cell structure	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Other Enzymes	-Cell structure	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
Organismal Systems	-Cell structure	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Immune System	-Cell structure	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Endocrine System	-Cell structure	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Circulatory System	-Cell structure	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Digestive System	-Cell structure	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Excretory System	-Cell structure	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Nervous System	-Cell structure	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Sensory System	-Cell structure	Inf	Inf	NaN	Inf	Inf	NaN	Inf	Inf	NaN	Inf	Inf	NaN
-Development	-Cell structure	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Environmental Adaptation	-Cell structure	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
Human Diseases	-Cell structure	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Cancers	-Cell structure	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Immune System Diseases	-Cell structure	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Neurodegenerative Diseases	-Cell structure	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Cardiovascular Diseases	-Cell structure	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Metabolic Diseases	-Cell structure	Inf	NaN	NaN	Inf	NaN	NaN	Inf	NaN	NaN	Inf	NaN	NaN
-Infectious Diseases	-Cell structure	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
Not Mapped	-Cell structure	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Not Mapped	-Cell structure	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
TOTAL	-Crystallins	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
MAPPED	-Crystallins	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
Genetic Information Processing	-Crystallins	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Transcription	-Crystallins	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Translation	-Crystallins	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Folding, Sorting and Degradation	-Crystallins	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-DNA Maintenance	-Crystallins	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-RNA Family	-Crystallins	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Environmental Information Processing	-Crystallins	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Signal Transduction	-Crystallins	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Signaling Molecules and Interaction	-Crystallins	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
Cellular Processes	-Crystallins	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Cell structure	-Crystallins	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-Crystallins	-Crystallins	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-Stress Response	-Crystallins	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-Vesicular Transport	-Crystallins	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Cytoskeleton	-Crystallins	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Cell Motility	-Crystallins	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-Cell Growth and Death	-Crystallins	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Cell Communication	-Crystallins	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
Metabolism	-Crystallins	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Membrane Transport	-Crystallins	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Central Carbon Metabolism	-Crystallins	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Energy Metabolism	-Crystallins	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Biosynthesis	-Crystallins	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Other Enzymes	-Crystallins	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
Organismal Systems	-Crystallins	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Immune System	-Crystallins	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Endocrine System	-Crystallins	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Circulatory System	-Crystallins	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Digestive System	-Crystallins	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Excretory System	-Crystallins	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Nervous System	-Crystallins	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Sensory System	-Crystallins	Inf	Inf	NaN	Inf	Inf	NaN	Inf	Inf	NaN	Inf	Inf	NaN
-Development	-Crystallins	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Environmental Adaptation	-Crystallins	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
Human Diseases	-Crystallins	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Cancers	-Crystallins	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Immune System Diseases	-Crystallins	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Neurodegenerative Diseases	-Crystallins	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Cardiovascular Diseases	-Crystallins	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Metabolic Diseases	-Crystallins	Inf	NaN	NaN	Inf	NaN	NaN	Inf	NaN	NaN	Inf	NaN	NaN
-Infectious Diseases	-Crystallins	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
Not Mapped	-Crystallins	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Not Mapped	-Crystallins	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
TOTAL	-Stress Response	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
MAPPED	-Stress Response	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
Genetic Information Processing	-Stress Response	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Transcription	-Stress Response	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Translation	-Stress Response	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Folding, Sorting and Degradation	-Stress Response	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-DNA Maintenance	-Stress Response	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-RNA Family	-Stress Response	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Environmental Information Processing	-Stress Response	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Signal Transduction	-Stress Response	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Signaling Molecules and Interaction	-Stress Response	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
Cellular Processes	-Stress Response	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Cell structure	-Stress Response	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-Crystallins	-Stress Response	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-Stress Response	-Stress Response	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-Vesicular Transport	-Stress Response	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Cytoskeleton	-Stress Response	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Cell Motility	-Stress Response	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-Cell Growth and Death	-Stress Response	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Cell Communication	-Stress Response	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
Metabolism	-Stress Response	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Membrane Transport	-Stress Response	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Central Carbon Metabolism	-Stress Response	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Energy Metabolism	-Stress Response	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Biosynthesis	-Stress Response	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Other Enzymes	-Stress Response	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
Organismal Systems	-Stress Response	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Immune System	-Stress Response	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Endocrine System	-Stress Response	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Circulatory System	-Stress Response	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Digestive System	-Stress Response	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Excretory System	-Stress Response	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Nervous System	-Stress Response	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Sensory System	-Stress Response	Inf	Inf	NaN	Inf	Inf	NaN	Inf	Inf	NaN	Inf	Inf	NaN
-Development	-Stress Response	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Environmental Adaptation	-Stress Response	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
Human Diseases	-Stress Response	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Cancers	-Stress Response	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Immune System Diseases	-Stress Response	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Neurodegenerative Diseases	-Stress Response	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Cardiovascular Diseases	-Stress Response	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Metabolic Diseases	-Stress Response	Inf	NaN	NaN	Inf	NaN	NaN	Inf	NaN	NaN	Inf	NaN	NaN
-Infectious Diseases	-Stress Response	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
Not Mapped	-Stress Response	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Not Mapped	-Stress Response	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
TOTAL	-Vesicular Transport	25.19	28.39	34.06	23.73	26.23	30.8	43.26	50.72	62.82	41.93	47.54	57.07
MAPPED	-Vesicular Transport	19.64	22.13	26.55	18.24	20.16	23.67	35.78	41.95	51.97	34.9	39.58	47.51
Genetic Information Processing	-Vesicular Transport	7.897	8.833	10.37	7.493	8.443	9.574	14.3	16.99	19.97	13.96	15.31	18.73
-Transcription	-Vesicular Transport	0.9977	1.221	1.243	0.9029	1.051	1.14	1.793	2.102	2.542	1.649	1.872	2.251
-Translation	-Vesicular Transport	2.785	2.96	3.479	3.14	3.474	3.892	4.011	4.865	5.797	3.923	4.545	5.198
-Folding, Sorting and Degradation	-Vesicular Transport	2.649	2.909	3.579	2.06	2.343	2.871	6.126	7.414	8.623	5.832	6.565	8.124
-DNA Maintenance	-Vesicular Transport	1.465	1.844	2.106	1.255	1.484	1.711	1.975	2.632	2.974	2.069	2.355	2.974
-RNA Family	-Vesicular Transport	0	0	0	0	0	0	0	0	0	0	0	0
