Category	mpn Kuehner	eco Valgepea 2013 48	sce Nagaraj	sce deGodoy	sce Newman rich	sce Newman minimal	hsa Khan Chimpanzee Protein	hsa Khan Human Protein	hsa Geiger 2012 HeLa	hsa Geiger 2012 U2OS	hsa Nagaraj 2011	hsa Beck
--Dorso-ventral axis formation	0	0	0	0	0	0	0	0	6.3733859e-07	2.89432e-07	8.1257229e-07	2.2236829e-13
--Axon guidance	0	0	0	0	0	0	0.00017498423	0.00018007437	0.00021119078	0.00041256517	0.0012578083	0.00032752625
--Osteoclast differentiation	0	0	0	0	0	0	0.00015165426	0.00011909925	0.00023670573	0.00017927476	0.00017629328	0.00032287876
-Environmental Adaptation	0	0	0	0	0	0	0	0	0	0	3.2993686e-05	6.6710487e-06
--Circadian rhythm	0	0	0	0	0	0	0	0	0	0	3.2993686e-05	6.6710487e-06
--Plant-pathogen interaction	0	0	0	0	0	0	0	0	0	0	0	0
Human Diseases	0	0	0	0	0	0	0.0042625841	0.0042971274	0.0043405747	0.004495918	0.0037572124	0.0021408385
-Cancers	0	0	0	0	0	0	0.00089862782	0.00095786796	0.0017099866	0.0017901753	0.0011005964	0.00096058543
--Proteoglycans in cancer	0	0	0	0	0	0	0	0	2.5747115e-15	6.4620316e-07	0	1.689999e-05
--MicroRNAs in cancer	0	0	0	0	0	0	0	0	0	0	1.4617076e-17	0
--Transcriptional misregulation in cancer	0	0	0	0	0	0	3.3853698e-05	5.1167402e-05	0.0013459579	0.001394531	0.00082716548	0.00075544067
--Viral carcinogenesis	0	0	0	0	0	0	0.00013523103	0.0002678232	0	0	8.5155194e-05	6.9534564e-05
--Pathways in cancer	0	0	0	0	0	0	0.00072954309	0.00063887736	0.00036357121	0.00039081506	0.00018187376	0.00011796638
--Renal cell carcinoma	0	0	0	0	0	0	0	0	4.5744436e-07	4.0738286e-06	5.7331899e-06	7.4382193e-07
--Non-small cell lung cancer	0	0	0	0	0	0	0	0	2.5747115e-15	1.0926095e-07	6.6880525e-07	0
-Immune System Diseases	0	0	0	0	0	0	0.0015112433	0.0012455385	0.0005018312	0.00084775169	0.00031802509	0.00058571807
--Systemic lupus erythematosus	0	0	0	0	0	0	0.0015112433	0.0012455385	0.0005018312	0.00084775169	0.00031802509	0.00058571807
-Neurodegenerative Diseases	0	0	0	0	0	0	0.00086626416	0.001168935	0.0012052921	0.00091654222	0.00064135144	0.00012995203
--Alzheimer's disease	0	0	0	0	0	0	0	0	1.1784685e-05	1.3946104e-05	0.00019404551	8.5611791e-06
--Parkinson's disease	0	0	0	0	0	0	0	0	6.4155299e-06	3.3371453e-05	1.4617076e-17	7.1380221e-06
--Amyotrophic lateral sclerosis (ALS)	0	0	0	0	0	0	0.00049578561	0.00069514928	0.00088841624	0.00060128357	0.00019231381	5.5358586e-05
--Huntington's disease	0	0	0	0	0	0	0.00037047855	0.00047378573	0.00029867565	0.0002679411	0.00025499212	5.8894242e-05
-Cardiovascular Diseases	0	0	0	0	0	0	0.00024507832	0.00021443484	0.00044626408	0.00030672366	0.00064974644	9.1549025e-05
--Hypertrophic cardiomyopathy (HCM)	0	0	0	0	0	0	0.00024507832	0.00021443484	0.00038481364	0.00027675784	0.00048319597	9.039271e-05
--Arrhythmogenic right ventricular cardiomyopathy (ARVC)	0	0	0	0	0	0	0	0	6.1450447e-05	2.9965825e-05	0.00016655047	1.1563153e-06
-Infectious Diseases	0	0	0	0	0	0	0.00074137047	0.00071035105	0.00047720072	0.00063472511	0.001047493	0.00037303393
--HTLV-I infection	0	0	0	0	0	0	0	0	6.1418486e-06	1.9768949e-05	9.7068261e-05	5.0699971e-05
--Epstein-Barr virus infection	0	0	0	0	0	0	0	0	0.00018506016	0.0003211209	7.3552142e-05	2.7100023e-05
--Legionellosis	0	0	0	0	0	0	0	0	1.1685467e-05	2.7580141e-06	2.9333927e-05	3.9370306e-06
--Herpes simplex infection	0	0	0	0	0	0	0	0	4.0683714e-07	7.2781284e-07	0.00035094173	3.0453338e-05
--Salmonella infection	0	0	0	0	0	0	0	0	6.3128114e-06	1.1470364e-05	2.1825104e-05	8.1386794e-06
--Vibrio cholerae infection	0	0	0	0	0	0	0	0	4.2210338e-05	4.0189776e-05	2.3392857e-06	1.1563151e-06
--Pathogenic Escherichia coli infection	0	0	0	0	0	0	0.00012423467	0.00012692851	3.0613717e-05	2.7248507e-05	5.0295174e-05	1.5788149e-05
--Staphylococcus aureus infection	0	0	0	0	0	0	0	0	2.0674988e-08	1.2336817e-15	1.0018511e-06	0
--Tuberculosis	0	0	0	0	0	0	0	0	4.5043829e-06	3.3392167e-06	1.9312835e-05	2.2236829e-13
--Bacterial invasion of epithelial cells	0	0	0	0	0	0	0.00042109464	0.00036481419	6.4031251e-05	0.00012366326	5.529803e-05	5.2388857e-05
--Measles	0	0	0	0	0	0	0	0	8.421508e-05	6.5269628e-05	0.00024047559	4.747563e-05
--Influenza A	0	0	0	0	0	0	6.2146315e-05	8.0678803e-05	3.6869167e-05	1.7032227e-05	0.00010214643	0.00013589593
--Hepatitis C	0	0	0	0	0	0	0.00013389484	0.00013792955	5.1289902e-06	2.1364615e-06	3.9026067e-06	0
Not Mapped	0.19748284	0.074645982	0.15099747	0.10732335	0.17167861	0.1739827	0.20762873	0.20383382	0.19736441	0.20581995	0.21288122	0.10528714
-Not Mapped	0.19748284	0.074645982	0.15099747	0.10732335	0.17167861	0.1739827	0.20762873	0.20383382	0.19736441	0.20581995	0.21288122	0.10528714
--Not mapped	0.19748284	0.074645982	0.15099747	0.10732335	0.17167861	0.1739827	0.20762873	0.20383382	0.19736441	0.20581995	0.21288122	0.10528714
