Numerator	Denominator	eco Li complete	eco Li minimal	eco Li without methionine	eco Li complete	eco Li minimal	eco Li without methionine	eco Li complete	eco Li minimal	eco Li without methionine
-Cardiovascular Diseases	-Folding, Sorting and Degradation	0	0	0	0	0	0	0	0	0
-Metabolic Diseases	-Folding, Sorting and Degradation	0	0	0.05488	0	0	0.04112	0	0	0.1001
-Infectious Diseases	-Folding, Sorting and Degradation	0.003806	0.02971	0.126	0.04687	0.07089	0.1388	0.006757	0.03071	0.2211
Not Mapped	-Folding, Sorting and Degradation	1.386	1.563	1.712	2.295	2.556	2.848	1.312	1.496	1.748
-Not Mapped	-Folding, Sorting and Degradation	1.386	1.563	1.712	2.295	2.556	2.848	1.312	1.496	1.748
TOTAL	-DNA Maintenance	43.42	50.43	59.29	41.76	48.19	51.96	53.5	61.98	73.92
MAPPED	-DNA Maintenance	39.83	46.26	54.39	36.58	42.22	45.52	48.89	56.63	67.55
Genetic Information Processing	-DNA Maintenance	25.74	29.55	35.16	15.48	17.57	19.23	27.9	32.49	38.4
-Transcription	-DNA Maintenance	0.7276	0.8915	1.318	0.9684	1.141	1.199	0.9828	1.213	1.417
-Translation	-DNA Maintenance	21.72	25.27	29.74	11.47	13.21	14.29	23.04	26.84	32.03
-Folding, Sorting and Degradation	-DNA Maintenance	2.132	2.671	3.223	2.013	2.266	2.801	2.853	3.576	4.768
-DNA Maintenance	-DNA Maintenance	1	1	1	1	1	1	1	1	1
-RNA Family	-DNA Maintenance	0	0	0	0	0	0	0	0	0
Environmental Information Processing	-DNA Maintenance	0.4914	0.5346	0.6541	0.4198	0.4761	0.4986	0.5815	0.6466	0.7608
-Signal Transduction	-DNA Maintenance	0.1554	0.2048	0.2404	0.226	0.2634	0.2915	0.2287	0.2736	0.3097
-Signaling Molecules and Interaction	-DNA Maintenance	0.303	0.3519	0.4137	0.1759	0.1999	0.2189	0.322	0.3731	0.4449
Cellular Processes	-DNA Maintenance	3.207	3.709	4.367	5.104	5.894	6.371	3.757	4.344	5.216
-Cell structure	-DNA Maintenance	3.033	3.522	4.141	4.793	5.532	5.964	3.546	4.108	4.9
-Crystallins	-DNA Maintenance	0	0	0	0	0	0	0	0	0
-Stress Response	-DNA Maintenance	0.001724	0.002003	0.002355	0.1429	0.1649	0.1778	0.003286	0.003806	0.00454
-Vesicular Transport	-DNA Maintenance	0	0	0	0	0	0	0	0	0
-Cytoskeleton	-DNA Maintenance	0.07046	0.08183	0.09621	0.08332	0.09616	0.1037	0.09311	0.1079	0.1287
-Cell Motility	-DNA Maintenance	0.004848	0.008232	0.04859	0.007942	0.01386	0.05077	0.001864	0.00669	0.01007
-Cell Growth and Death	-DNA Maintenance	0.09051	0.1028	0.1312	0.06883	0.07295	0.1021	0.1092	0.1183	0.1649
-Cell Communication	-DNA Maintenance	0	0	0	0	0	0	0	0	0
Metabolism	-DNA Maintenance	9.832	11.79	13.79	14.87	17.61	19.19	15.68	18.77	22.53
-Membrane Transport	-DNA Maintenance	1.798	2.182	2.581	3.013	3.609	3.975	3.272	3.818	4.601
-Central Carbon Metabolism	-DNA Maintenance	1.21	1.576	1.992	2.01	2.353	3.107	1.485	2.129	2.618
-Energy Metabolism	-DNA Maintenance	0.6755	0.8369	1.149	0.6105	0.9412	1.151	0.7252	0.9982	1.433
-Biosynthesis	-DNA Maintenance	2.701	3.205	4.009	4.245	5.128	5.589	4.076	6.434	7.202
-Other Enzymes	-DNA Maintenance	3.231	3.9	4.843	4.696	5.161	6.453	4.34	5.574	7.844
Organismal Systems	-DNA Maintenance	0	0.001139	0.002586	0	0.003239	0.008748	0	0.001084	0.002559
-Immune System	-DNA Maintenance	0	0	0	0	0	0	0	0	0
-Endocrine System	-DNA Maintenance	0	0	0.001194	0	0	0.001207	0	0	0.001222
-Circulatory System	-DNA Maintenance	0	0	0	0	0	0	0	0	0
-Digestive System	-DNA Maintenance	0	0	7.694e-05	0	0	0.003437	0	0	5.957e-07
-Excretory System	-DNA Maintenance	0	0	0.001368	0	0	0.003483	0	0	0.00126
-Nervous System	-DNA Maintenance	0	0	0	0	0	0	0	0	0
-Sensory System	-DNA Maintenance	0	0	0	0	0	0	0	0	0
-Development	-DNA Maintenance	0	0	0	0	0	0	0	0	0
-Environmental Adaptation	-DNA Maintenance	0	0	0.0009105	0	0	0.0009699	0	0	0.0008844
Human Diseases	-DNA Maintenance	0.09951	0.2148	0.5406	0.2109	0.2681	0.6788	0.145	0.4165	0.9703
-Cancers	-DNA Maintenance	0	0.001397	0.001765	0	0.003723	0.004107	0	0.001941	0.002407
-Immune System Diseases	-DNA Maintenance	0	0	0.002177	0	0	0.002479	0	0	0.00382
-Neurodegenerative Diseases	-DNA Maintenance	0	7.007e-05	0.2969	0	0.004022	0.5146	0	6.671e-05	0.4916
-Cardiovascular Diseases	-DNA Maintenance	0	0	0	0	0	0	0	0	0
-Metabolic Diseases	-DNA Maintenance	0	0	0.1433	0	0	0.09235	0	0	0.3446
-Infectious Diseases	-DNA Maintenance	0.01148	0.09575	0.3445	0.1112	0.1606	0.2912	0.02416	0.1528	0.6978
Not Mapped	-DNA Maintenance	3.589	4.168	4.9	5.175	5.972	6.44	4.614	5.345	6.376
-Not Mapped	-DNA Maintenance	3.589	4.168	4.9	5.175	5.972	6.44	4.614	5.345	6.376
TOTAL	-RNA Family	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
MAPPED	-RNA Family	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
Genetic Information Processing	-RNA Family	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Transcription	-RNA Family	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Translation	-RNA Family	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Folding, Sorting and Degradation	-RNA Family	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-DNA Maintenance	-RNA Family	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-RNA Family	-RNA Family	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Environmental Information Processing	-RNA Family	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Signal Transduction	-RNA Family	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Signaling Molecules and Interaction	-RNA Family	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
Cellular Processes	-RNA Family	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Cell structure	-RNA Family	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Crystallins	-RNA Family	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-Stress Response	-RNA Family	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Vesicular Transport	-RNA Family	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-Cytoskeleton	-RNA Family	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Cell Motility	-RNA Family	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Cell Growth and Death	-RNA Family	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Cell Communication	-RNA Family	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Metabolism	-RNA Family	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Membrane Transport	-RNA Family	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Central Carbon Metabolism	-RNA Family	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Energy Metabolism	-RNA Family	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Biosynthesis	-RNA Family	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Other Enzymes	-RNA Family	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
Organismal Systems	-RNA Family	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Immune System	-RNA Family	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-Endocrine System	-RNA Family	Inf	NaN	NaN	Inf	NaN	NaN	Inf	NaN	NaN
-Circulatory System	-RNA Family	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-Digestive System	-RNA Family	Inf	NaN	NaN	Inf	NaN	NaN	Inf	NaN	NaN
-Excretory System	-RNA Family	Inf	NaN	NaN	Inf	NaN	NaN	Inf	NaN	NaN
-Nervous System	-RNA Family	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-Sensory System	-RNA Family	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-Development	-RNA Family	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-Environmental Adaptation	-RNA Family	Inf	NaN	NaN	Inf	NaN	NaN	Inf	NaN	NaN
Human Diseases	-RNA Family	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Cancers	-RNA Family	Inf	Inf	NaN	Inf	Inf	NaN	Inf	Inf	NaN
-Immune System Diseases	-RNA Family	Inf	NaN	NaN	Inf	NaN	NaN	Inf	NaN	NaN
-Neurodegenerative Diseases	-RNA Family	Inf	Inf	NaN	Inf	Inf	NaN	Inf	Inf	NaN
-Cardiovascular Diseases	-RNA Family	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-Metabolic Diseases	-RNA Family	Inf	Inf	NaN	Inf	Inf	NaN	Inf	Inf	NaN
-Infectious Diseases	-RNA Family	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
Not Mapped	-RNA Family	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Not Mapped	-RNA Family	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
TOTAL	Environmental Information Processing	85.5	90.93	97.3	95.07	102	111.3	92	95.85	101.4
MAPPED	Environmental Information Processing	78.43	83.42	89.26	83.29	89.4	97.53	84.06	87.58	92.61
Genetic Information Processing	Environmental Information Processing	50.51	54.14	57.65	34.85	37.76	40.7	47.97	50.21	53.09
-Transcription	Environmental Information Processing	1.433	1.641	1.922	2.205	2.383	2.693	1.69	1.857	1.984
-Translation	Environmental Information Processing	42.77	45.47	48.76	26.11	28.16	30.58	39.62	41.52	43.71
-Folding, Sorting and Degradation	Environmental Information Processing	4.074	4.74	5.437	4.164	4.883	5.883	4.59	5.329	6.486
-DNA Maintenance	Environmental Information Processing	1.446	1.791	1.969	1.983	2.069	2.316	1.304	1.513	1.682
-RNA Family	Environmental Information Processing	0	0	0	0	0	0	0	0	0
Environmental Information Processing	Environmental Information Processing	1	1	1	1	1	1	1	1	1
-Signal Transduction	Environmental Information Processing	0.3164	0.3572	0.4001	0.5354	0.5702	0.5996	0.3846	0.4151	0.44
-Signaling Molecules and Interaction	Environmental Information Processing	0.5967	0.6345	0.6789	0.3968	0.4296	0.4616	0.5538	0.5769	0.61
Cellular Processes	Environmental Information Processing	6.314	6.77	7.156	11.62	12.44	13.65	6.461	6.701	7.082
-Cell structure	Environmental Information Processing	5.972	6.351	6.796	10.91	11.71	12.78	6.098	6.353	6.718
-Crystallins	Environmental Information Processing	0	0	0	0	0	0	0	0	0
-Stress Response	Environmental Information Processing	0.003396	0.003611	0.003864	0.3253	0.3492	0.3809	0.00565	0.005887	0.006225
-Vesicular Transport	Environmental Information Processing	0	0	0	0	0	0	0	0	0
-Cytoskeleton	Environmental Information Processing	0.1387	0.1476	0.1579	0.1897	0.2036	0.2221	0.1601	0.1668	0.1764
-Cell Motility	Environmental Information Processing	0.009069	0.01573	0.08901	0.01805	0.02867	0.1165	0.002882	0.01076	0.01607
-Cell Growth and Death	Environmental Information Processing	0.173	0.1851	0.2146	0.1429	0.1585	0.2116	0.1673	0.1779	0.2198
-Cell Communication	Environmental Information Processing	0	0	0	0	0	0	0	0	0
Metabolism	Environmental Information Processing	19.36	21.39	22.83	33.86	37.66	40.79	26.96	29.02	30.43
-Membrane Transport	Environmental Information Processing	3.54	3.98	4.23	6.859	7.759	8.241	5.626	5.916	6.201
-Central Carbon Metabolism	Environmental Information Processing	2.383	2.99	3.298	4.481	5.264	6.428	2.554	3.155	3.765
-Energy Metabolism	Environmental Information Processing	1.193	1.424	2.058	1.21	1.94	2.418	1.162	1.545	1.98
-Biosynthesis	Environmental Information Processing	5.161	5.804	6.313	9.634	11.08	12.51	7.009	9.95	10.63
-Other Enzymes	Environmental Information Processing	6.141	7.096	7.787	9.717	11.48	12.89	6.981	8.481	10.98
Organismal Systems	Environmental Information Processing	0	0.002055	0.00463	0	0.006702	0.01837	0	0.00169	0.003536
-Immune System	Environmental Information Processing	0	0	0	0	0	0	0	0	0
-Endocrine System	Environmental Information Processing	0	0	0.00203	0	0	0.002535	0	0	0.001657
-Circulatory System	Environmental Information Processing	0	0	0	0	0	0	0	0	0
-Digestive System	Environmental Information Processing	0	0	0.0001439	0	0	0.007662	0	0	9.212e-07
-Excretory System	Environmental Information Processing	0	0	0.002294	0	0	0.006905	0	0	0.001764
-Nervous System	Environmental Information Processing	0	0	0	0	0	0	0	0	0
-Sensory System	Environmental Information Processing	0	0	0	0	0	0	0	0	0
-Development	Environmental Information Processing	0	0	0	0	0	0	0	0	0
-Environmental Adaptation	Environmental Information Processing	0	0	0.001793	0	0	0.002208	0	0	0.001521
Human Diseases	Environmental Information Processing	0.1782	0.4018	1.064	0.4325	0.5576	1.544	0.2023	0.6441	1.668
-Cancers	Environmental Information Processing	0	0.002484	0.002695	0	0.007673	0.008654	0	0.002937	0.003176
-Immune System Diseases	Environmental Information Processing	0	0	0.003946	0	0	0.005312	0	0	0.005386
-Neurodegenerative Diseases	Environmental Information Processing	0	0.0001339	0.5338	0	0.008322	1.057	0	0.0001073	0.7185
-Cardiovascular Diseases	Environmental Information Processing	0	0	0	0	0	0	0	0	0
-Metabolic Diseases	Environmental Information Processing	0	0	0.2638	0	0	0.2004	0	0	0.5216
-Infectious Diseases	Environmental Information Processing	0.01947	0.1715	0.5493	0.2291	0.3827	0.6743	0.03657	0.1992	1.087
Not Mapped	Environmental Information Processing	7.066	7.516	8.042	11.78	12.65	13.8	7.935	8.266	8.742
-Not Mapped	Environmental Information Processing	7.066	7.516	8.042	11.78	12.65	13.8	7.935	8.266	8.742
TOTAL	-Signal Transduction	212	248.8	303.1	158.6	179	206.8	206.2	226.6	259.9
MAPPED	-Signal Transduction	194.5	228.2	278	138.9	156.8	181.2	188.4	207	237.5
Genetic Information Processing	-Signal Transduction	125.7	148.1	177.7	57.77	66.2	75.85	107.5	118.7	133.7
-Transcription	-Signal Transduction	3.553	4.973	5.382	3.677	4.02	5.031	3.787	4.387	4.964
-Translation	-Signal Transduction	106	124.3	151.9	43.49	49.39	56.8	88.8	98.13	112.1
-Folding, Sorting and Degradation	-Signal Transduction	10.18	13.63	17.19	6.903	8.561	10.74	10.43	12.52	16.33
-DNA Maintenance	-Signal Transduction	4.047	4.777	6.01	3.354	3.741	4.325	3.166	3.482	4.035
-RNA Family	-Signal Transduction	0	0	0	0	0	0	0	0	0
Environmental Information Processing	-Signal Transduction	2.48	2.736	3.115	1.658	1.753	1.858	2.241	2.364	2.564
-Signal Transduction	-Signal Transduction	1	1	1	1	1	1	1	1	1
-Signaling Molecules and Interaction	-Signal Transduction	1.48	1.736	2.115	0.6578	0.7531	0.8575	1.241	1.364	1.564
Cellular Processes	-Signal Transduction	15.66	18.52	22.29	19.36	21.81	25.46	14.48	15.84	18.16
-Cell structure	-Signal Transduction	14.81	17.38	21.17	18.2	20.54	23.73	13.67	15.02	17.23
-Crystallins	-Signal Transduction	0	0	0	0	0	0	0	0	0
-Stress Response	-Signal Transduction	0.00842	0.00988	0.01204	0.5426	0.6124	0.7076	0.01266	0.01391	0.01596
-Vesicular Transport	-Signal Transduction	0	0	0	0	0	0	0	0	0
-Cytoskeleton	-Signal Transduction	0.344	0.4037	0.4918	0.3164	0.3571	0.4126	0.3588	0.3943	0.4524
-Cell Motility	-Signal Transduction	0.02415	0.03932	0.2382	0.03016	0.04754	0.2126	0.006813	0.02446	0.0418
-Cell Growth and Death	-Signal Transduction	0.4323	0.5163	0.6009	0.2417	0.2836	0.393	0.3859	0.4352	0.565
-Cell Communication	-Signal Transduction	0	0	0	0	0	0	0	0	0
Metabolism	-Signal Transduction	48.01	58.05	70.87	56.47	66.05	76.18	60.42	68.6	78.04
-Membrane Transport	-Signal Transduction	8.778	10.86	13.04	11.44	13.61	15.39	12.61	13.88	15.9
-Central Carbon Metabolism	-Signal Transduction	5.908	8.287	9.471	7.777	9.425	11.31	5.723	8.107	9.205
-Energy Metabolism	-Signal Transduction	3.245	3.998	6.344	2.047	3.299	4.476	2.679	3.649	4.909
-Biosynthesis	-Signal Transduction	12.9	16.4	19.26	16.12	19.59	22.08	15.71	22.94	27.27
-Other Enzymes	-Signal Transduction	15.7	20.14	24	16.11	20.13	24.07	15.87	21.9	25.33
Organismal Systems	-Signal Transduction	0	0.005439	0.01323	0	0.01111	0.03401	0	0.003963	0.00891
-Immune System	-Signal Transduction	0	0	0	0	0	0	0	0	0
-Endocrine System	-Signal Transduction	0	0	0.006257	0	0	0.004692	0	0	0.004174
-Circulatory System	-Signal Transduction	0	0	0	0	0	0	0	0	0
-Digestive System	-Signal Transduction	0	0	0.0004053	0	0	0.01344	0	0	2.177e-06
-Excretory System	-Signal Transduction	0	0	0.006241	0	0	0.01168	0	0	0.004069
-Nervous System	-Signal Transduction	0	0	0	0	0	0	0	0	0
-Sensory System	-Signal Transduction	0	0	0	0	0	0	0	0	0
-Development	-Signal Transduction	0	0	0	0	0	0	0	0	0
-Environmental Adaptation	-Signal Transduction	0	0	0.004446	0	0	0.003683	0	0	0.003408
Human Diseases	-Signal Transduction	0.5493	1.132	2.639	0.7581	1.036	2.575	0.5094	1.523	3.739
-Cancers	-Signal Transduction	0	0.006636	0.008395	0	0.01305	0.01616	0	0.006738	0.008144
-Immune System Diseases	-Signal Transduction	0	0	0.01247	0	0	0.009867	0	0	0.014
-Neurodegenerative Diseases	-Signal Transduction	0	0.0003347	1.452	0	0.0138	1.788	0	0.0002439	1.657
-Cardiovascular Diseases	-Signal Transduction	0	0	0	0	0	0	0	0	0
-Metabolic Diseases	-Signal Transduction	0	0	0.7219	0	0	0.3408	0	0	1.197
-Infectious Diseases	-Signal Transduction	0.05328	0.5286	1.468	0.3896	0.7108	1.259	0.0839	0.5015	2.619
Not Mapped	-Signal Transduction	17.52	20.56	25.05	19.65	22.18	25.63	17.78	19.54	22.42
-Not Mapped	-Signal Transduction	17.52	20.56	25.05	19.65	22.18	25.63	17.78	19.54	22.42
TOTAL	-Signaling Molecules and Interaction	143.3	143.3	143.3	237.4	241.1	241.1	166.1	166.1	166.1
MAPPED	-Signaling Molecules and Interaction	131.4	131.5	131.5	208	211.3	211.3	151.8	151.8	151.8
Genetic Information Processing	-Signaling Molecules and Interaction	83.99	84.97	85.34	87.56	87.91	88.66	85.47	87.03	87.96
-Transcription	-Signaling Molecules and Interaction	2.388	2.422	2.992	5.222	5.707	6.006	2.99	3.128	3.389
-Translation	-Signaling Molecules and Interaction	71.6	71.81	71.98	65.2	66.11	66.42	71.5	71.67	71.96
-Folding, Sorting and Degradation	-Signaling Molecules and Interaction	6.79	7.502	8.401	10.46	11.48	12.8	8.118	9.237	10.76
-DNA Maintenance	-Signaling Molecules and Interaction	2.249	2.673	3.185	4.535	4.984	5.214	2.163	2.58	2.873
-RNA Family	-Signaling Molecules and Interaction	0	0	0	0	0	0	0	0	0
Environmental Information Processing	-Signaling Molecules and Interaction	1.463	1.556	1.667	2.152	2.327	2.497	1.625	1.71	1.786
-Signal Transduction	-Signaling Molecules and Interaction	0.4628	0.5556	0.6669	1.152	1.327	1.497	0.6249	0.7098	0.7858
-Signaling Molecules and Interaction	-Signaling Molecules and Interaction	1	1	1	1	1	1	1	1	1
Cellular Processes	-Signaling Molecules and Interaction	10.54	10.56	10.7	28.94	29.41	29.69	11.61	11.64	11.69
-Cell structure	-Signaling Molecules and Interaction	10.01	10.01	10.01	27.25	27.68	27.68	11.01	11.01	11.01
-Crystallins	-Signaling Molecules and Interaction	0	0	0	0	0	0	0	0	0
-Stress Response	-Signaling Molecules and Interaction	0.005691	0.005692	0.005692	0.8125	0.8252	0.8252	0.0102	0.0102	0.0102
-Vesicular Transport	-Signaling Molecules and Interaction	0	0	0	0	0	0	0	0	0
-Cytoskeleton	-Signaling Molecules and Interaction	0.2325	0.2326	0.2326	0.4738	0.4812	0.4812	0.2891	0.2892	0.2892
-Cell Motility	-Signaling Molecules and Interaction	0.01406	0.02622	0.1302	0.04199	0.07226	0.254	0.004996	0.01922	0.02612
-Cell Growth and Death	-Signaling Molecules and Interaction	0.2725	0.2883	0.3303	0.3333	0.3777	0.4768	0.2888	0.3136	0.3706
-Cell Communication	-Signaling Molecules and Interaction	0	0	0	0	0	0	0	0	0
Metabolism	-Signaling Molecules and Interaction	32.44	33.51	34.18	84.55	87.97	89.73	48.69	50.18	50.63
-Membrane Transport	-Signaling Molecules and Interaction	5.932	6.111	6.494	17.13	18.05	18.58	10.06	10.17	10.43
-Central Carbon Metabolism	-Signaling Molecules and Interaction	3.993	4.479	4.881	10.43	11.78	14.23	4.611	5.491	6.246
-Energy Metabolism	-Signaling Molecules and Interaction	1.886	2.229	3.102	2.96	4.71	5.501	2.05	2.533	3.393
-Biosynthesis	-Signaling Molecules and Interaction	8.082	9.028	9.814	23.26	25.45	28.36	12.01	17.25	17.72
-Other Enzymes	-Signaling Molecules and Interaction	9.815	11	11.76	23.58	26.94	29.51	12.47	14.41	19.38
Organismal Systems	-Signaling Molecules and Interaction	0	0.003005	0.006854	0	0.01689	0.03997	0	0.002747	0.005862
-Immune System	-Signaling Molecules and Interaction	0	0	0	0	0	0	0	0	0
-Endocrine System	-Signaling Molecules and Interaction	0	0	0.003005	0	0	0.005601	0	0	0.002747
-Circulatory System	-Signaling Molecules and Interaction	0	0	0	0	0	0	0	0	0
-Digestive System	-Signaling Molecules and Interaction	0	0	0.0002232	0	0	0.01783	0	0	1.597e-06
-Excretory System	-Signaling Molecules and Interaction	0	0	0.003627	0	0	0.01689	0	0	0.003114
-Nervous System	-Signaling Molecules and Interaction	0	0	0	0	0	0	0	0	0
-Sensory System	-Signaling Molecules and Interaction	0	0	0	0	0	0	0	0	0
-Development	-Signaling Molecules and Interaction	0	0	0	0	0	0	0	0	0
-Environmental Adaptation	-Signaling Molecules and Interaction	0	0	0.003005	0	0	0.005515	0	0	0.002746
Human Diseases	-Signaling Molecules and Interaction	0.2638	0.623	1.784	0.9568	1.282	3.856	0.3357	1.116	3.013
-Cancers	-Signaling Molecules and Interaction	0	0.003969	0.00397	0	0.01834	0.01863	0	0.005205	0.005206
-Immune System Diseases	-Signaling Molecules and Interaction	0	0	0.005771	0	0	0.01151	0	0	0.008751
-Neurodegenerative Diseases	-Signaling Molecules and Interaction	0	0.0002232	0.8439	0	0.02065	2.565	0	0.0001916	1.268
-Cardiovascular Diseases	-Signaling Molecules and Interaction	0	0	0	0	0	0	0	0	0
-Metabolic Diseases	-Signaling Molecules and Interaction	0	0	0.4158	0	0	0.479	0	0	0.9244
-Infectious Diseases	-Signaling Molecules and Interaction	0.03069	0.2538	0.8779	0.5562	0.8289	1.451	0.06482	0.3305	1.812
Not Mapped	-Signaling Molecules and Interaction	11.84	11.85	11.85	29.42	29.88	29.88	14.33	14.33	14.33
-Not Mapped	-Signaling Molecules and Interaction	11.84	11.85	11.85	29.42	29.88	29.88	14.33	14.33	14.33
TOTAL	Cellular Processes	13.37	13.54	13.59	8.107	8.181	8.205	14.17	14.26	14.3
MAPPED	Cellular Processes	12.26	12.42	12.47	7.103	7.167	7.188	12.95	13.03	13.07
Genetic Information Processing	Cellular Processes	7.843	7.997	8.067	2.955	2.993	3.038	7.326	7.479	7.534
-Transcription	Cellular Processes	0.2245	0.2293	0.2821	0.1769	0.1927	0.2041	0.2551	0.2694	0.2908
-Translation	Cellular Processes	6.709	6.78	6.814	2.231	2.246	2.258	6.128	6.142	6.179
-Folding, Sorting and Degradation	Cellular Processes	0.6429	0.7115	0.7927	0.3561	0.3938	0.4412	0.6992	0.7953	0.9204
-DNA Maintenance	Cellular Processes	0.2122	0.2513	0.3016	0.1537	0.1689	0.1792	0.185	0.2222	0.2467
-RNA Family	Cellular Processes	0	0	0	0	0	0	0	0	0
Environmental Information Processing	Cellular Processes	0.1367	0.1471	0.1578	0.07295	0.07826	0.08562	0.1389	0.1458	0.1534
-Signal Transduction	Cellular Processes	0.04324	0.05242	0.06314	0.03923	0.04464	0.05159	0.05343	0.06055	0.06749
-Signaling Molecules and Interaction	Cellular Processes	0.09328	0.09451	0.09484	0.03362	0.03397	0.03454	0.0853	0.08581	0.08609
Cellular Processes	Cellular Processes	1	1	1	1	1	1	1	1	1
-Cell structure	Cellular Processes	0.9337	0.9458	0.9491	0.9306	0.939	0.9418	0.9393	0.9449	0.948
-Crystallins	Cellular Processes	0	0	0	0	0	0	0	0	0
-Stress Response	Cellular Processes	0.0005309	0.0005378	0.0005397	0.02774	0.028	0.02808	0.0008704	0.0008756	0.0008784
-Vesicular Transport	Cellular Processes	0	0	0	0	0	0	0	0	0
-Cytoskeleton	Cellular Processes	0.02169	0.02197	0.02205	0.01618	0.01632	0.01637	0.02466	0.02481	0.02489
-Cell Motility	Cellular Processes	0.001334	0.002482	0.01217	0.001451	0.002455	0.008575	0.0004301	0.00165	0.002233
-Cell Growth and Death	Cellular Processes	0.02583	0.0273	0.03081	0.01151	0.01283	0.01603	0.02485	0.02693	0.03161
-Cell Communication	Cellular Processes	0	0	0	0	0	0	0	0	0
Metabolism	Cellular Processes	3.066	3.159	3.204	2.913	3.005	3.028	4.173	4.31	4.331
-Membrane Transport	Cellular Processes	0.5607	0.579	0.6058	0.5902	0.6141	0.6246	0.8608	0.8735	0.892
-Central Carbon Metabolism	Cellular Processes	0.3773	0.4249	0.4627	0.3603	0.4013	0.4822	0.3952	0.4729	0.5343
-Energy Metabolism	Cellular Processes	0.1787	0.2107	0.2894	0.1007	0.159	0.1878	0.1763	0.2182	0.2894
-Biosynthesis	Cellular Processes	0.7661	0.8562	0.917	0.7881	0.8662	0.955	1.027	1.485	1.521
-Other Enzymes	Cellular Processes	0.9155	1.043	1.109	0.7926	0.9227	1	1.071	1.24	1.663
Organismal Systems	Cellular Processes	0	0.0002817	0.0006497	0	0.0005738	0.001381	0	0.0002357	0.0005043
-Immune System	Cellular Processes	0	0	0	0	0	0	0	0	0
-Endocrine System	Cellular Processes	0	0	0.0002848	0	0	0.0001905	0	0	0.0002363
-Circulatory System	Cellular Processes	0	0	0	0	0	0	0	0	0
-Digestive System	Cellular Processes	0	0	2.115e-05	0	0	0.0006157	0	0	1.374e-07
-Excretory System	Cellular Processes	0	0	0.0003436	0	0	0.0005743	0	0	0.0002678
-Nervous System	Cellular Processes	0	0	0	0	0	0	0	0	0
-Sensory System	Cellular Processes	0	0	0	0	0	0	0	0	0
-Development	Cellular Processes	0	0	0	0	0	0	0	0	0
-Environmental Adaptation	Cellular Processes	0	0	0.0002808	0	0	0.0001886	0	0	0.0002349
Human Diseases	Cellular Processes	0.025	0.05909	0.1686	0.03242	0.04429	0.1328	0.02871	0.09612	0.2582
-Cancers	Cellular Processes	0	0.0003721	0.0003767	0	0.0006288	0.0006341	0	0.0004453	0.0004484
-Immune System Diseases	Cellular Processes	0	0	0.0005472	0	0	0.0003915	0	0	0.0007533
-Neurodegenerative Diseases	Cellular Processes	0	2.092e-05	0.07996	0	0.0007079	0.08773	0	1.644e-05	0.1091
