Numerator	Denominator	eco WeiLi old	eco WeiLi complete	eco WeiLi minimal	eco WeiLi without methionine
-Folding, Sorting and Degradation	Metabolism	0.1926	0.2592	0.1516	0.2221
-DNA Maintenance	Metabolism	0.0734	0.09321	0.06258	0.0589
-RNA Family	Metabolism	0	0	0	0
Environmental Information Processing	Metabolism	0.01227	0.02008	0.0175	0.01581
-Signal Transduction	Metabolism	0.01222	0.02004	0.01746	0.01579
-Signaling Molecules and Interaction	Metabolism	4.004e-05	3.657e-05	4.237e-05	1.744e-05
Cellular Processes	Metabolism	0.01499	0.02109	0.02315	0.01403
-Crystallins	Metabolism	0	0	0	0
-Stress Response	Metabolism	4.617e-05	0.0001741	0.009586	0.0002099
-Vesicular Transport	Metabolism	5.653e-06	2.208e-06	2.541e-06	3.286e-08
-Cytoskeleton	Metabolism	0.007288	0.007114	0.00559	0.005948
-Cell Motility	Metabolism	0.003159	0.003954	0.002906	0.0005366
-Cell Growth and Death	Metabolism	0.00473	0.01	0.005475	0.007496
-Cell Communication	Metabolism	0	0	0	0
Metabolism	Metabolism	1	1	1	1
-Membrane Transport	Metabolism	0.2295	0.1949	0.2144	0.2105
-Central Carbon Metabolism	Metabolism	0.193	0.1513	0.1513	0.1238
-Energy Metabolism	Metabolism	0.0816	0.09325	0.06478	0.06921
-Biosynthesis	Metabolism	0.3008	0.3231	0.3415	0.3835
-Other Enzymes	Metabolism	0.3261	0.3498	0.3096	0.3132
Organismal Systems	Metabolism	0.0006806	0.0003082	0.000638	0.0002406
-Immune System	Metabolism	0	0	0	0
-Endocrine System	Metabolism	0.0005432	0.0002207	0.0005747	0.0001868
-Circulatory System	Metabolism	0	0	0	0
-Digestive System	Metabolism	1.365e-05	6.827e-06	0.0002102	3.278e-08
-Excretory System	Metabolism	0	0	0	0
-Nervous System	Metabolism	0	0	0	0
-Sensory System	Metabolism	0	0	0	0
-Development	Metabolism	0	0	0	0
-Environmental Adaptation	Metabolism	0	0	0	0
Human Diseases	Metabolism	0.04358	0.04274	0.04112	0.04937
-Cancers	Metabolism	0.0001871	0.0001192	0.0002111	0.0001046
-Immune System Diseases	Metabolism	0.0001916	0.0002568	0.0002214	0.0002351
-Neurodegenerative Diseases	Metabolism	0.01897	0.02582	0.03004	0.02608
-Cardiovascular Diseases	Metabolism	0	0	0	0
-Metabolic Diseases	Metabolism	0.01962	0.01235	0.005476	0.01839
-Infectious Diseases	Metabolism	0.02434	0.01692	0.01133	0.02333
Not Mapped	Metabolism	0.3783	0.7043	0.9774	0.5855
-Not Mapped	Metabolism	0.3783	0.7043	0.9774	0.5855
TOTAL	-Membrane Transport	12.7	23.3	14.94	16.69
MAPPED	-Membrane Transport	11.01	19.44	10.12	13.77
Genetic Information Processing	-Membrane Transport	6.309	13.48	4.788	8.362
-Transcription	-Membrane Transport	0.2729	0.4909	0.3529	0.371
-Translation	-Membrane Transport	4.99	11.26	3.493	6.787
-Folding, Sorting and Degradation	-Membrane Transport	0.9206	1.463	0.7468	1.129
-DNA Maintenance	-Membrane Transport	0.3214	0.5314	0.3027	0.2845
-RNA Family	-Membrane Transport	0	0	0	0
Environmental Information Processing	-Membrane Transport	0.05545	0.1083	0.08685	0.07996
-Signal Transduction	-Membrane Transport	0.05527	0.1081	0.08665	0.07988
-Signaling Molecules and Interaction	-Membrane Transport	0.000177	0.0002008	0.0002086	8.702e-05
Cellular Processes	-Membrane Transport	0.06835	0.1158	0.113	0.07007
-Crystallins	-Membrane Transport	0	0	0	0
-Stress Response	-Membrane Transport	0.0002067	0.000956	0.0472	0.001047
-Vesicular Transport	-Membrane Transport	2.477e-05	1.299e-05	1.28e-05	1.679e-07
-Cytoskeleton	-Membrane Transport	0.03263	0.03906	0.02752	0.02968
-Cell Motility	-Membrane Transport	0.01395	0.02112	0.01399	0.002588
-Cell Growth and Death	-Membrane Transport	0.02157	0.05543	0.02689	0.03711
-Cell Communication	-Membrane Transport	0	0	0	0
Metabolism	-Membrane Transport	4.615	5.657	5.035	5.109
-Membrane Transport	-Membrane Transport	1	1	1	1
-Central Carbon Metabolism	-Membrane Transport	0.8909	0.8556	0.7606	0.6239
-Energy Metabolism	-Membrane Transport	0.3621	0.5387	0.3123	0.3366
-Biosynthesis	-Membrane Transport	1.3	1.646	1.612	1.806
-Other Enzymes	-Membrane Transport	1.467	1.858	1.51	1.514
Organismal Systems	-Membrane Transport	0.00298	0.00165	0.003094	0.00117
-Immune System	-Membrane Transport	0	0	0	0
-Endocrine System	-Membrane Transport	0.002385	0.00119	0.002837	0.0009337
-Circulatory System	-Membrane Transport	0	0	0	0
-Digestive System	-Membrane Transport	6.145e-05	3.616e-05	0.001009	1.585e-07
-Excretory System	-Membrane Transport	0	0	0	0
-Nervous System	-Membrane Transport	0	0	0	0
-Sensory System	-Membrane Transport	0	0	0	0
-Development	-Membrane Transport	0	0	0	0
-Environmental Adaptation	-Membrane Transport	0	0	0	0
Human Diseases	-Membrane Transport	0.1899	0.2263	0.1995	0.2386
-Cancers	-Membrane Transport	0.0008378	0.0006546	0.00103	0.0005222
-Immune System Diseases	-Membrane Transport	0.0008388	0.001364	0.001065	0.001135
-Neurodegenerative Diseases	-Membrane Transport	0.08509	0.1367	0.1445	0.1259
-Cardiovascular Diseases	-Membrane Transport	0	0	0	0
-Metabolic Diseases	-Membrane Transport	0.09052	0.06984	0.02783	0.09488
-Infectious Diseases	-Membrane Transport	0.1061	0.08962	0.05461	0.1128
Not Mapped	-Membrane Transport	1.693	3.867	4.813	2.921
-Not Mapped	-Membrane Transport	1.693	3.867	4.813	2.921
TOTAL	-Central Carbon Metabolism	19.64	37.85	24.25	33.5
MAPPED	-Central Carbon Metabolism	17.02	31.57	16.43	27.64
Genetic Information Processing	-Central Carbon Metabolism	9.401	21.8	7.809	16.84
-Transcription	-Central Carbon Metabolism	0.354	0.7661	0.5637	0.7741
-Translation	-Central Carbon Metabolism	7.715	18.35	5.689	13.65
-Folding, Sorting and Degradation	-Central Carbon Metabolism	1.29	2.063	1.091	2.195
-DNA Maintenance	-Central Carbon Metabolism	0.463	0.8008	0.4672	0.6125
-RNA Family	-Central Carbon Metabolism	0	0	0	0
Environmental Information Processing	-Central Carbon Metabolism	0.07578	0.1523	0.1277	0.1578
-Signal Transduction	-Central Carbon Metabolism	0.07544	0.152	0.1273	0.1576
-Signaling Molecules and Interaction	-Central Carbon Metabolism	0.0003093	0.0003274	0.0003633	0.0001746
Cellular Processes	-Central Carbon Metabolism	0.09101	0.1633	0.1891	0.1398
-Crystallins	-Central Carbon Metabolism	0	0	0	0
-Stress Response	-Central Carbon Metabolism	0.0003195	0.001553	0.07661	0.002102
-Vesicular Transport	-Central Carbon Metabolism	3.478e-05	1.965e-05	1.842e-05	3.688e-07
-Cytoskeleton	-Central Carbon Metabolism	0.05044	0.06345	0.04467	0.05956
-Cell Motility	-Central Carbon Metabolism	0.02156	0.033	0.02349	0.005411
-Cell Growth and Death	-Central Carbon Metabolism	0.02979	0.07816	0.04432	0.07317
-Cell Communication	-Central Carbon Metabolism	0	0	0	0
Metabolism	-Central Carbon Metabolism	7.049	8.997	8.128	10.08
-Membrane Transport	-Central Carbon Metabolism	1.55	1.694	1.679	2.091
-Central Carbon Metabolism	-Central Carbon Metabolism	1	1	1	1
-Energy Metabolism	-Central Carbon Metabolism	0.428	0.7162	0.5007	0.6267
-Biosynthesis	-Central Carbon Metabolism	2.014	2.57	2.537	3.722
-Other Enzymes	-Central Carbon Metabolism	2.267	2.892	2.516	3.459
Organismal Systems	-Central Carbon Metabolism	0.003323	0.001923	0.004268	0.001876
-Immune System	-Central Carbon Metabolism	0	0	0	0
-Endocrine System	-Central Carbon Metabolism	0.003323	0.001794	0.004268	0.001876
-Circulatory System	-Central Carbon Metabolism	0	0	0	0
-Digestive System	-Central Carbon Metabolism	9.092e-05	5.287e-05	0.001681	3.266e-07
-Excretory System	-Central Carbon Metabolism	0	0	0	0
-Nervous System	-Central Carbon Metabolism	0	0	0	0
-Sensory System	-Central Carbon Metabolism	0	0	0	0
-Development	-Central Carbon Metabolism	0	0	0	0
-Environmental Adaptation	-Central Carbon Metabolism	0	0	0	0
Human Diseases	-Central Carbon Metabolism	0.2327	0.331	0.3328	0.4953
-Cancers	-Central Carbon Metabolism	0.001078	0.000923	0.001715	0.001016
-Immune System Diseases	-Central Carbon Metabolism	0.001501	0.00231	0.001617	0.002648
-Neurodegenerative Diseases	-Central Carbon Metabolism	0.1315	0.2303	0.2401	0.2612
-Cardiovascular Diseases	-Central Carbon Metabolism	0	0	0	0
-Metabolic Diseases	-Central Carbon Metabolism	0.1016	0.08163	0.03658	0.1485
-Infectious Diseases	-Central Carbon Metabolism	0.13	0.131	0.09169	0.2341
Not Mapped	-Central Carbon Metabolism	2.618	6.282	7.812	5.863
-Not Mapped	-Central Carbon Metabolism	2.618	6.282	7.812	5.863
TOTAL	-Energy Metabolism	56.34	84.65	76.8	85.57
MAPPED	-Energy Metabolism	48.83	70.6	52.06	70.6
Genetic Information Processing	-Energy Metabolism	28.09	49.4	24.95	43.49
-Transcription	-Energy Metabolism	1.041	1.915	1.779	1.898
-Translation	-Energy Metabolism	22.12	41.15	17.99	34.85
-Folding, Sorting and Degradation	-Energy Metabolism	3.228	4.896	3.59	5.36
-DNA Maintenance	-Energy Metabolism	1.412	1.85	1.432	1.287
-RNA Family	-Energy Metabolism	0	0	0	0
Environmental Information Processing	-Energy Metabolism	0.1902	0.3411	0.365	0.3595
-Signal Transduction	-Energy Metabolism	0.1894	0.3404	0.364	0.359
-Signaling Molecules and Interaction	-Energy Metabolism	0.0007853	0.0007295	0.001154	0.0004461
Cellular Processes	-Energy Metabolism	0.2404	0.4024	0.5038	0.3185
-Crystallins	-Energy Metabolism	0	0	0	0
-Stress Response	-Energy Metabolism	0.0009168	0.003473	0.2427	0.005369
-Vesicular Transport	-Energy Metabolism	9.252e-05	4.352e-05	6.384e-05	8.401e-07
-Cytoskeleton	-Energy Metabolism	0.1447	0.1419	0.1415	0.1521
-Cell Motility	-Energy Metabolism	0.05143	0.07881	0.05869	0.01437
-Cell Growth and Death	-Energy Metabolism	0.05956	0.1783	0.1101	0.1615
-Cell Communication	-Energy Metabolism	0	0	0	0
Metabolism	-Energy Metabolism	19.84	20.32	25.32	25.66
-Membrane Transport	-Energy Metabolism	4.544	3.992	5.265	5.313
-Central Carbon Metabolism	-Energy Metabolism	2.936	2.634	3.466	2.311
-Energy Metabolism	-Energy Metabolism	1	1	1	1
-Biosynthesis	-Energy Metabolism	5.033	6.464	8.359	9.187
-Other Enzymes	-Energy Metabolism	6.172	6.968	7.142	7.88
Organismal Systems	-Energy Metabolism	0.009096	0.003395	0.01131	0.003476
-Immune System	-Energy Metabolism	0	0	0	0
-Endocrine System	-Energy Metabolism	0.009096	0.002505	0.01048	0.00289
-Circulatory System	-Energy Metabolism	0	0	0	0
-Digestive System	-Energy Metabolism	0.0002272	0.0001362	0.004246	7.6e-07
-Excretory System	-Energy Metabolism	0	0	0	0
-Nervous System	-Energy Metabolism	0	0	0	0
-Sensory System	-Energy Metabolism	0	0	0	0
-Development	-Energy Metabolism	0	0	0	0
-Environmental Adaptation	-Energy Metabolism	0	0	0	0
Human Diseases	-Energy Metabolism	0.7223	0.5914	0.9058	0.9671
-Cancers	-Energy Metabolism	0.002901	0.001485	0.004199	0.002242
-Immune System Diseases	-Energy Metabolism	0.003811	0.005115	0.005606	0.006032
-Neurodegenerative Diseases	-Energy Metabolism	0.3774	0.5119	0.6064	0.6036
-Cardiovascular Diseases	-Energy Metabolism	0	0	0	0
-Metabolic Diseases	-Energy Metabolism	0.2374	0.1199	0.1071	0.238
-Infectious Diseases	-Energy Metabolism	0.4829	0.2627	0.2691	0.5409
Not Mapped	-Energy Metabolism	7.511	14.05	24.74	14.98
-Not Mapped	-Energy Metabolism	7.511	14.05	24.74	14.98
TOTAL	-Biosynthesis	12.96	15.12	10.05	9.902
MAPPED	-Biosynthesis	11.23	12.61	6.809	8.169
Genetic Information Processing	-Biosynthesis	6.42	8.824	3.219	4.994
-Transcription	-Biosynthesis	0.2904	0.3375	0.2322	0.2293
-Translation	-Biosynthesis	5.101	7.32	2.356	4.034
-Folding, Sorting and Degradation	-Biosynthesis	0.7485	0.8852	0.4801	0.6339
-DNA Maintenance	-Biosynthesis	0.3212	0.3328	0.2003	0.1677
-RNA Family	-Biosynthesis	0	0	0	0
Environmental Information Processing	-Biosynthesis	0.04741	0.06165	0.05142	0.04647
-Signal Transduction	-Biosynthesis	0.04725	0.06152	0.05077	0.04642
-Signaling Molecules and Interaction	-Biosynthesis	0.0001806	0.0001325	0.0001415	5.162e-05
Cellular Processes	-Biosynthesis	0.06289	0.07151	0.07417	0.03893
-Crystallins	-Biosynthesis	0	0	0	0
-Stress Response	-Biosynthesis	0.0002109	0.0006202	0.03174	0.0006212
-Vesicular Transport	-Biosynthesis	2.17e-05	7.265e-06	7.638e-06	9.145e-08
-Cytoskeleton	-Biosynthesis	0.03329	0.02534	0.01851	0.0176
-Cell Motility	-Biosynthesis	0.01286	0.01379	0.009627	0.0018
-Cell Growth and Death	-Biosynthesis	0.01995	0.03422	0.01774	0.02055
-Cell Communication	-Biosynthesis	0	0	0	0
Metabolism	-Biosynthesis	4.512	3.571	3.334	2.966
-Membrane Transport	-Biosynthesis	1.035	0.6959	0.6916	0.6164
-Central Carbon Metabolism	-Biosynthesis	0.845	0.5198	0.472	0.3573
-Energy Metabolism	-Biosynthesis	0.3447	0.3373	0.216	0.1928
-Biosynthesis	-Biosynthesis	1	1	1	1
-Other Enzymes	-Biosynthesis	1.404	1.233	1.015	0.9288
Organismal Systems	-Biosynthesis	0.002543	0.001047	0.001957	0.00067
-Immune System	-Biosynthesis	0	0	0	0
-Endocrine System	-Biosynthesis	0.002537	0.0008448	0.00183	0.0005426
-Circulatory System	-Biosynthesis	0	0	0	0
-Digestive System	-Biosynthesis	5.668e-05	2.369e-05	0.0006924	8.775e-08
-Excretory System	-Biosynthesis	0	0	0	0
-Nervous System	-Biosynthesis	0	0	0	0
-Sensory System	-Biosynthesis	0	0	0	0
-Development	-Biosynthesis	0	0	0	0
-Environmental Adaptation	-Biosynthesis	0	0	0	0
Human Diseases	-Biosynthesis	0.1966	0.1496	0.1371	0.1464
-Cancers	-Biosynthesis	0.0007587	0.0004041	0.0006761	0.0003873
-Immune System Diseases	-Biosynthesis	0.000716	0.0008541	0.0006706	0.0006566
-Neurodegenerative Diseases	-Biosynthesis	0.07848	0.09037	0.09947	0.07637
-Cardiovascular Diseases	-Biosynthesis	0	0	0	0
-Metabolic Diseases	-Biosynthesis	0.08379	0.04243	0.01726	0.05255
-Infectious Diseases	-Biosynthesis	0.1098	0.05924	0.03777	0.0692
Not Mapped	-Biosynthesis	1.728	2.509	3.237	1.733
-Not Mapped	-Biosynthesis	1.728	2.509	3.237	1.733
TOTAL	-Other Enzymes	11.36	15.34	11.68	13.65
MAPPED	-Other Enzymes	9.849	12.8	7.918	11.26
Genetic Information Processing	-Other Enzymes	5.609	8.913	3.744	6.838
-Transcription	-Other Enzymes	0.1997	0.2879	0.2534	0.2636
-Translation	-Other Enzymes	4.446	7.429	2.756	5.592
-Folding, Sorting and Degradation	-Other Enzymes	0.7442	0.8496	0.5683	0.8581
-DNA Maintenance	-Other Enzymes	0.2597	0.3251	0.2285	0.2245
-RNA Family	-Other Enzymes	0	0	0	0
Environmental Information Processing	-Other Enzymes	0.04408	0.06455	0.06528	0.06515
-Signal Transduction	-Other Enzymes	0.04392	0.06442	0.06511	0.06507
-Signaling Molecules and Interaction	-Other Enzymes	0.0001604	0.0001328	0.0001631	7.115e-05
Cellular Processes	-Other Enzymes	0.05307	0.06727	0.08615	0.05378
-Crystallins	-Other Enzymes	0	0	0	0
-Stress Response	-Other Enzymes	0.0001849	0.0006294	0.03691	0.0008562
-Vesicular Transport	-Other Enzymes	2.268e-05	7.967e-06	1.018e-05	1.395e-07
-Cytoskeleton	-Other Enzymes	0.02919	0.02572	0.02152	0.02426
-Cell Motility	-Other Enzymes	0.01187	0.01286	0.01112	0.002085
-Cell Growth and Death	-Other Enzymes	0.01707	0.03219	0.01799	0.02817
-Cell Communication	-Other Enzymes	0	0	0	0
Metabolism	-Other Enzymes	4.028	3.596	3.957	4.205
-Membrane Transport	-Other Enzymes	0.8942	0.6513	0.8161	0.8472
-Central Carbon Metabolism	-Other Enzymes	0.7057	0.544	0.5917	0.4852
-Energy Metabolism	-Other Enzymes	0.302	0.3388	0.2363	0.2911
-Biosynthesis	-Other Enzymes	1.162	1.098	1.329	1.522
-Other Enzymes	-Other Enzymes	1	1	1	1
Organismal Systems	-Other Enzymes	0.002087	0.0009014	0.002297	0.000805
-Immune System	-Other Enzymes	0	0	0	0
-Endocrine System	-Other Enzymes	0.002087	0.0008162	0.002274	0.0007812
-Circulatory System	-Other Enzymes	0	0	0	0
-Digestive System	-Other Enzymes	5.246e-05	2.222e-05	0.0008019	1.276e-07
-Excretory System	-Other Enzymes	0	0	0	0
-Nervous System	-Other Enzymes	0	0	0	0
-Sensory System	-Other Enzymes	0	0	0	0
-Development	-Other Enzymes	0	0	0	0
-Environmental Adaptation	-Other Enzymes	0	0	0	0
Human Diseases	-Other Enzymes	0.1401	0.1214	0.1425	0.1576
-Cancers	-Other Enzymes	0.0006403	0.0003802	0.0006817	0.0002751
-Immune System Diseases	-Other Enzymes	0.0005875	0.0007341	0.0007757	0.0007655
-Neurodegenerative Diseases	-Other Enzymes	0.06376	0.08333	0.1052	0.09809
-Cardiovascular Diseases	-Other Enzymes	0	0	0	0
-Metabolic Diseases	-Other Enzymes	0.07171	0.04441	0.02096	0.07203
-Infectious Diseases	-Other Enzymes	0.07823	0.04805	0.03768	0.0745
Not Mapped	-Other Enzymes	1.515	2.546	3.764	2.389
-Not Mapped	-Other Enzymes	1.515	2.546	3.764	2.389
TOTAL	Organismal Systems	Inf	Inf	Inf	Inf
MAPPED	Organismal Systems	Inf	Inf	Inf	Inf
Genetic Information Processing	Organismal Systems	Inf	Inf	Inf	Inf
-Transcription	Organismal Systems	Inf	Inf	Inf	Inf
-Translation	Organismal Systems	Inf	Inf	Inf	Inf
-Folding, Sorting and Degradation	Organismal Systems	Inf	Inf	Inf	Inf
-DNA Maintenance	Organismal Systems	Inf	Inf	Inf	Inf
-RNA Family	Organismal Systems	NaN	NaN	NaN	NaN
Environmental Information Processing	Organismal Systems	Inf	Inf	Inf	Inf
-Signal Transduction	Organismal Systems	Inf	Inf	Inf	Inf
-Signaling Molecules and Interaction	Organismal Systems	Inf	Inf	Inf	Inf
Cellular Processes	Organismal Systems	Inf	Inf	Inf	Inf
-Crystallins	Organismal Systems	NaN	NaN	NaN	NaN
-Stress Response	Organismal Systems	Inf	Inf	Inf	Inf
-Vesicular Transport	Organismal Systems	NaN	NaN	NaN	NaN
-Cytoskeleton	Organismal Systems	Inf	Inf	Inf	Inf
-Cell Motility	Organismal Systems	Inf	Inf	Inf	Inf
-Cell Growth and Death	Organismal Systems	Inf	Inf	Inf	Inf
-Cell Communication	Organismal Systems	NaN	NaN	NaN	NaN
Metabolism	Organismal Systems	Inf	Inf	Inf	Inf
-Membrane Transport	Organismal Systems	Inf	Inf	Inf	Inf
-Central Carbon Metabolism	Organismal Systems	Inf	Inf	Inf	Inf
-Energy Metabolism	Organismal Systems	Inf	Inf	Inf	Inf
-Biosynthesis	Organismal Systems	Inf	Inf	Inf	Inf
-Other Enzymes	Organismal Systems	Inf	Inf	Inf	Inf
Organismal Systems	Organismal Systems	NaN	NaN	NaN	NaN
-Immune System	Organismal Systems	NaN	NaN	NaN	NaN
-Endocrine System	Organismal Systems	NaN	NaN	NaN	NaN
-Circulatory System	Organismal Systems	NaN	NaN	NaN	NaN
-Digestive System	Organismal Systems	NaN	NaN	NaN	NaN
-Excretory System	Organismal Systems	NaN	NaN	NaN	NaN
-Nervous System	Organismal Systems	NaN	NaN	NaN	NaN
-Sensory System	Organismal Systems	NaN	NaN	NaN	NaN
-Development	Organismal Systems	NaN	NaN	NaN	NaN
-Environmental Adaptation	Organismal Systems	NaN	NaN	NaN	NaN
Human Diseases	Organismal Systems	Inf	Inf	Inf	Inf
-Cancers	Organismal Systems	Inf	Inf	Inf	Inf
-Immune System Diseases	Organismal Systems	Inf	Inf	Inf	Inf
-Neurodegenerative Diseases	Organismal Systems	Inf	Inf	Inf	Inf
-Cardiovascular Diseases	Organismal Systems	NaN	NaN	NaN	NaN
-Metabolic Diseases	Organismal Systems	Inf	Inf	Inf	Inf
-Infectious Diseases	Organismal Systems	Inf	Inf	Inf	Inf
Not Mapped	Organismal Systems	Inf	Inf	Inf	Inf
-Not Mapped	Organismal Systems	Inf	Inf	Inf	Inf
TOTAL	-Immune System	Inf	Inf	Inf	Inf
MAPPED	-Immune System	Inf	Inf	Inf	Inf
Genetic Information Processing	-Immune System	Inf	Inf	Inf	Inf
-Transcription	-Immune System	Inf	Inf	Inf	Inf
-Translation	-Immune System	Inf	Inf	Inf	Inf
-Folding, Sorting and Degradation	-Immune System	Inf	Inf	Inf	Inf
-DNA Maintenance	-Immune System	Inf	Inf	Inf	Inf
-RNA Family	-Immune System	NaN	NaN	NaN	NaN
Environmental Information Processing	-Immune System	Inf	Inf	Inf	Inf
-Signal Transduction	-Immune System	Inf	Inf	Inf	Inf
-Signaling Molecules and Interaction	-Immune System	Inf	Inf	Inf	Inf
Cellular Processes	-Immune System	Inf	Inf	Inf	Inf
-Crystallins	-Immune System	NaN	NaN	NaN	NaN
-Stress Response	-Immune System	Inf	Inf	Inf	Inf
-Vesicular Transport	-Immune System	NaN	NaN	NaN	NaN
-Cytoskeleton	-Immune System	Inf	Inf	Inf	Inf
-Cell Motility	-Immune System	Inf	Inf	Inf	Inf
-Cell Growth and Death	-Immune System	Inf	Inf	Inf	Inf
-Cell Communication	-Immune System	NaN	NaN	NaN	NaN
Metabolism	-Immune System	Inf	Inf	Inf	Inf
-Membrane Transport	-Immune System	Inf	Inf	Inf	Inf
-Central Carbon Metabolism	-Immune System	Inf	Inf	Inf	Inf
-Energy Metabolism	-Immune System	Inf	Inf	Inf	Inf
-Biosynthesis	-Immune System	Inf	Inf	Inf	Inf
-Other Enzymes	-Immune System	Inf	Inf	Inf	Inf
Organismal Systems	-Immune System	NaN	NaN	NaN	NaN
-Immune System	-Immune System	NaN	NaN	NaN	NaN
-Endocrine System	-Immune System	NaN	NaN	NaN	NaN
-Circulatory System	-Immune System	NaN	NaN	NaN	NaN
-Digestive System	-Immune System	NaN	NaN	NaN	NaN
-Excretory System	-Immune System	NaN	NaN	NaN	NaN
-Nervous System	-Immune System	NaN	NaN	NaN	NaN
-Sensory System	-Immune System	NaN	NaN	NaN	NaN
-Development	-Immune System	NaN	NaN	NaN	NaN
-Environmental Adaptation	-Immune System	NaN	NaN	NaN	NaN
Human Diseases	-Immune System	Inf	Inf	Inf	Inf
-Cancers	-Immune System	NaN	NaN	NaN	NaN
-Immune System Diseases	-Immune System	NaN	NaN	NaN	NaN
-Neurodegenerative Diseases	-Immune System	Inf	Inf	Inf	Inf
-Cardiovascular Diseases	-Immune System	NaN	NaN	NaN	NaN
-Metabolic Diseases	-Immune System	NaN	NaN	NaN	NaN
-Infectious Diseases	-Immune System	Inf	Inf	Inf	Inf
Not Mapped	-Immune System	Inf	Inf	Inf	Inf
-Not Mapped	-Immune System	Inf	Inf	Inf	Inf
TOTAL	-Endocrine System	Inf	Inf	Inf	Inf
MAPPED	-Endocrine System	Inf	Inf	Inf	Inf
Genetic Information Processing	-Endocrine System	Inf	Inf	Inf	Inf
-Transcription	-Endocrine System	Inf	Inf	Inf	Inf
-Translation	-Endocrine System	Inf	Inf	Inf	Inf
-Folding, Sorting and Degradation	-Endocrine System	Inf	Inf	Inf	Inf
-DNA Maintenance	-Endocrine System	Inf	Inf	Inf	Inf
-RNA Family	-Endocrine System	NaN	NaN	NaN	NaN
Environmental Information Processing	-Endocrine System	Inf	Inf	Inf	Inf
-Signal Transduction	-Endocrine System	Inf	Inf	Inf	Inf
-Signaling Molecules and Interaction	-Endocrine System	Inf	Inf	Inf	Inf
Cellular Processes	-Endocrine System	Inf	Inf	Inf	Inf
-Crystallins	-Endocrine System	NaN	NaN	NaN	NaN
-Stress Response	-Endocrine System	Inf	Inf	Inf	Inf
-Vesicular Transport	-Endocrine System	NaN	NaN	NaN	NaN
-Cytoskeleton	-Endocrine System	Inf	Inf	Inf	Inf
-Cell Motility	-Endocrine System	Inf	Inf	Inf	Inf
-Cell Growth and Death	-Endocrine System	Inf	Inf	Inf	Inf
-Cell Communication	-Endocrine System	NaN	NaN	NaN	NaN
Metabolism	-Endocrine System	Inf	Inf	Inf	Inf
-Membrane Transport	-Endocrine System	Inf	Inf	Inf	Inf
-Central Carbon Metabolism	-Endocrine System	Inf	Inf	Inf	Inf
-Energy Metabolism	-Endocrine System	Inf	Inf	Inf	Inf
-Biosynthesis	-Endocrine System	Inf	Inf	Inf	Inf
-Other Enzymes	-Endocrine System	Inf	Inf	Inf	Inf
Organismal Systems	-Endocrine System	NaN	NaN	NaN	NaN
-Immune System	-Endocrine System	NaN	NaN	NaN	NaN
-Endocrine System	-Endocrine System	NaN	NaN	NaN	NaN
-Circulatory System	-Endocrine System	NaN	NaN	NaN	NaN
-Digestive System	-Endocrine System	NaN	NaN	NaN	NaN
-Excretory System	-Endocrine System	NaN	NaN	NaN	NaN
-Nervous System	-Endocrine System	NaN	NaN	NaN	NaN
-Sensory System	-Endocrine System	NaN	NaN	NaN	NaN
-Development	-Endocrine System	NaN	NaN	NaN	NaN
-Environmental Adaptation	-Endocrine System	NaN	NaN	NaN	NaN
Human Diseases	-Endocrine System	Inf	Inf	Inf	Inf
-Cancers	-Endocrine System	NaN	NaN	NaN	NaN
-Immune System Diseases	-Endocrine System	NaN	NaN	NaN	NaN
-Neurodegenerative Diseases	-Endocrine System	Inf	Inf	Inf	Inf
-Cardiovascular Diseases	-Endocrine System	NaN	NaN	NaN	NaN
-Metabolic Diseases	-Endocrine System	NaN	NaN	NaN	NaN
-Infectious Diseases	-Endocrine System	Inf	Inf	Inf	Inf
Not Mapped	-Endocrine System	Inf	Inf	Inf	Inf
-Not Mapped	-Endocrine System	Inf	Inf	Inf	Inf
TOTAL	-Circulatory System	Inf	Inf	Inf	Inf
MAPPED	-Circulatory System	Inf	Inf	Inf	Inf
Genetic Information Processing	-Circulatory System	Inf	Inf	Inf	Inf
-Transcription	-Circulatory System	Inf	Inf	Inf	Inf
-Translation	-Circulatory System	Inf	Inf	Inf	Inf
-Folding, Sorting and Degradation	-Circulatory System	Inf	Inf	Inf	Inf
-DNA Maintenance	-Circulatory System	Inf	Inf	Inf	Inf
-RNA Family	-Circulatory System	NaN	NaN	NaN	NaN
Environmental Information Processing	-Circulatory System	Inf	Inf	Inf	Inf
-Signal Transduction	-Circulatory System	Inf	Inf	Inf	Inf
-Signaling Molecules and Interaction	-Circulatory System	Inf	Inf	Inf	Inf
Cellular Processes	-Circulatory System	Inf	Inf	Inf	Inf
-Crystallins	-Circulatory System	NaN	NaN	NaN	NaN
-Stress Response	-Circulatory System	Inf	Inf	Inf	Inf
-Vesicular Transport	-Circulatory System	NaN	NaN	NaN	NaN
-Cytoskeleton	-Circulatory System	Inf	Inf	Inf	Inf
-Cell Motility	-Circulatory System	Inf	Inf	Inf	Inf
-Cell Growth and Death	-Circulatory System	Inf	Inf	Inf	Inf
-Cell Communication	-Circulatory System	NaN	NaN	NaN	NaN
Metabolism	-Circulatory System	Inf	Inf	Inf	Inf
-Membrane Transport	-Circulatory System	Inf	Inf	Inf	Inf
-Central Carbon Metabolism	-Circulatory System	Inf	Inf	Inf	Inf
-Energy Metabolism	-Circulatory System	Inf	Inf	Inf	Inf
