Numerator	Denominator	hsa Krizhanovsky 2013 Normal	hsa Krizhanovsky 2013 Senescent	hsa Krizhanovsky 2013 Normal a	hsa Krizhanovsky 2013 Senescent a	hsa Krizhanovsky 2013 Normal	hsa Krizhanovsky 2013 Senescent	hsa Krizhanovsky 2013 Normal a	hsa Krizhanovsky 2013 Senescent a	hsa Krizhanovsky 2013 Normal	hsa Krizhanovsky 2013 Senescent	hsa Krizhanovsky 2013 Normal a	hsa Krizhanovsky 2013 Senescent a
-Environmental Adaptation	-Signaling Molecules and Interaction	0	0.003279	0.1995	0	0.002153	0.1569	0	0.002991	0.1975	0	0.001783	0.1458
Human Diseases	-Signaling Molecules and Interaction	2.749	3.356	9.664	2.406	3.011	10.9	2.365	3.122	6.209	2.177	2.943	10.39
-Cancers	-Signaling Molecules and Interaction	0.04134	0.1076	0.43	0.03395	0.08722	0.4259	0.05057	0.09847	0.3605	0.04791	0.09412	0.3716
-Immune System Diseases	-Signaling Molecules and Interaction	0.1388	0.3278	0.8395	0.1239	0.3542	0.892	0.07865	0.2643	0.5553	0.1058	0.2981	0.7767
-Neurodegenerative Diseases	-Signaling Molecules and Interaction	0.4257	0.9272	1.844	0.2662	0.6445	1.415	0.4644	0.9117	1.902	0.2607	0.5458	1.184
-Cardiovascular Diseases	-Signaling Molecules and Interaction	0.4614	0.5973	1.538	0.4341	0.6173	1.69	0.2989	0.5374	0.9114	0.417	0.6461	1.589
-Metabolic Diseases	-Signaling Molecules and Interaction	0	0	0.2999	0	0	0.2933	0	0	0.2223	0	0	0.2657
-Infectious Diseases	-Signaling Molecules and Interaction	0.415	0.8598	6.224	0.3408	0.7068	7.392	0.4118	0.8937	3.928	0.3262	0.6745	7.202
Not Mapped	-Signaling Molecules and Interaction	5.75	7.536	11.19	4.668	6.091	10.55	5.735	7.695	9.407	4.358	5.901	9.339
-Not Mapped	-Signaling Molecules and Interaction	5.75	7.536	11.19	4.668	6.091	10.55	5.735	7.695	9.407	4.358	5.901	9.339
TOTAL	Cellular Processes	2.588	3.269	3.422	3.016	4.519	4.845	2.461	2.888	2.972	3.197	5.503	5.767
MAPPED	Cellular Processes	2.147	2.713	2.84	2.492	3.733	4.003	2.035	2.388	2.458	2.625	4.518	4.734
Genetic Information Processing	Cellular Processes	0.4436	0.6855	0.9493	0.5846	1.143	1.615	0.4084	0.5628	0.7117	0.6627	1.481	2.139
-Transcription	Cellular Processes	0.03188	0.03874	0.04082	0.04678	0.07002	0.07273	0.02519	0.02796	0.02906	0.05215	0.08849	0.09139
-Translation	Cellular Processes	0.156	0.1938	0.2052	0.217	0.3205	0.3566	0.1338	0.1532	0.1613	0.2357	0.4145	0.4794
-Folding, Sorting and Degradation	Cellular Processes	0.226	0.3402	0.3847	0.2854	0.5307	0.5955	0.1992	0.2901	0.3329	0.3129	0.6367	0.773
-DNA Maintenance	Cellular Processes	0.02954	0.09424	0.336	0.03539	0.1574	0.623	0.02903	0.06569	0.2193	0.03827	0.1903	0.8558
-RNA Family	Cellular Processes	0	0	0	0	0	0	0	0	0	0	0	0
Environmental Information Processing	Cellular Processes	0.05545	0.08107	0.1073	0.08197	0.1183	0.1658	0.0601	0.07383	0.1067	0.1137	0.143	0.2071
-Signal Transduction	Cellular Processes	0.001467	0.01259	0.03578	0.002131	0.01841	0.03947	0.001317	0.01293	0.0433	0.003074	0.02131	0.04067
-Signaling Molecules and Interaction	Cellular Processes	0.04001	0.07149	0.0787	0.0601	0.1123	0.1333	0.04444	0.06253	0.07265	0.08926	0.1331	0.172
Cellular Processes	Cellular Processes	1	1	1	1	1	1	1	1	1	1	1	1
-Crystallins	Cellular Processes	0	0	0	0	0	0	0	0	0	0	0	0
-Stress Response	Cellular Processes	0	0	0	0	0	0	0	0	0	0	0	0
-Vesicular Transport	Cellular Processes	0.02159	0.02462	0.03666	0.02258	0.027	0.04638	0.02123	0.02636	0.03667	0.02432	0.03308	0.0553
-Cytoskeleton	Cellular Processes	0.8696	0.8871	0.9117	0.8017	0.8243	0.876	0.8847	0.898	0.9138	0.7637	0.7977	0.8682
-Cell Motility	Cellular Processes	0	0	0	0	0	0	0	0	0	0	0	0
-Cell Growth and Death	Cellular Processes	0.00295	0.04726	0.0522	0.003942	0.06986	0.07978	0.003451	0.04592	0.04828	0.004302	0.08359	0.09898
-Cell Communication	Cellular Processes	0.01565	0.04186	0.05186	0.02432	0.06862	0.09477	0.01219	0.03108	0.04273	0.02501	0.07569	0.1066
Metabolism	Cellular Processes	0.259	0.3447	0.3869	0.3724	0.5175	0.5913	0.2157	0.3149	0.3263	0.419	0.6029	0.6855
-Membrane Transport	Cellular Processes	0.0001591	0.0005185	0.001297	0.0002315	0.0007569	0.002077	6.927e-05	0.0004731	0.00106	0.0002426	0.0005183	0.002058
-Central Carbon Metabolism	Cellular Processes	0.0348	0.08299	0.1452	0.04622	0.1259	0.2361	0.0286	0.06572	0.1225	0.05068	0.142	0.2653
-Energy Metabolism	Cellular Processes	0.0109	0.02523	0.04458	0.01202	0.03048	0.0612	0.008093	0.02343	0.03885	0.0134	0.03611	0.07039
-Biosynthesis	Cellular Processes	0.03635	0.04865	0.07404	0.04589	0.06366	0.0995	0.02965	0.03843	0.06385	0.04676	0.07278	0.1137
-Other Enzymes	Cellular Processes	0.1188	0.1532	0.2353	0.1604	0.2456	0.3096	0.102	0.1335	0.2206	0.1955	0.261	0.3586
Organismal Systems	Cellular Processes	0.07567	0.09702	0.2017	0.08873	0.1398	0.3056	0.07086	0.08557	0.1625	0.09979	0.1811	0.3932
-Immune System	Cellular Processes	0.007731	0.03157	0.04867	0.01324	0.04662	0.07647	0.00608	0.02803	0.04201	0.01716	0.0572	0.09836
-Endocrine System	Cellular Processes	0.003449	0.004997	0.02721	0.003784	0.006776	0.05004	0.003711	0.004819	0.01884	0.00443	0.008977	0.05627
-Circulatory System	Cellular Processes	0.01299	0.02532	0.06469	0.01503	0.02772	0.09557	0.01439	0.0271	0.04386	0.01931	0.03206	0.1326
-Digestive System	Cellular Processes	0.0003326	0.0007892	0.003167	0.000503	0.0009885	0.005293	0.0003081	0.0006732	0.001769	0.0005478	0.00125	0.005099
-Excretory System	Cellular Processes	0.001883	0.003442	0.01242	0.002379	0.004023	0.01521	0.001251	0.004461	0.01314	0.00246	0.004626	0.01897
-Nervous System	Cellular Processes	0.001433	0.00226	0.0558	0.002282	0.003953	0.08474	0.001102	0.002002	0.05179	0.002262	0.004544	0.1052
-Sensory System	Cellular Processes	0	0	0.0003834	0	0	0.0005559	0	0	0.0003301	0	0	0.0006455
-Development	Cellular Processes	0.001904	0.002554	0.02773	0.002835	0.0045	0.04599	0.001543	0.001884	0.02199	0.003193	0.00578	0.06084
-Environmental Adaptation	Cellular Processes	0	0.0002609	0.01426	0	0.0003225	0.01983	0	0.0002015	0.01235	0	0.0003488	0.02276
Human Diseases	Cellular Processes	0.2097	0.2524	0.4906	0.2853	0.3813	0.8059	0.1764	0.2103	0.3498	0.3045	0.4308	1.072
-Cancers	Cellular Processes	0.003052	0.00561	0.03293	0.004083	0.007885	0.04783	0.002914	0.005214	0.02619	0.006831	0.01145	0.04882
-Immune System Diseases	Cellular Processes	0.01105	0.02344	0.05449	0.01401	0.03891	0.09432	0.005923	0.01653	0.03235	0.01408	0.04681	0.1087
-Neurodegenerative Diseases	Cellular Processes	0.03042	0.04885	0.1205	0.03549	0.05398	0.1703	0.02979	0.04774	0.1134	0.03846	0.06124	0.1858
-Cardiovascular Diseases	Cellular Processes	0.03298	0.04409	0.07704	0.05485	0.07468	0.1293	0.02172	0.0362	0.04775	0.06511	0.09412	0.1707
-Metabolic Diseases	Cellular Processes	0	0	0.01853	0	0	0.03455	0	0	0.01269	0	0	0.04057
-Infectious Diseases	Cellular Processes	0.02967	0.06767	0.3282	0.04168	0.08903	0.5729	0.02587	0.0673	0.2212	0.04285	0.1135	0.7869
Not Mapped	Cellular Processes	0.4403	0.5562	0.5822	0.5243	0.7855	0.8423	0.4257	0.4997	0.5143	0.5725	0.9855	1.033
-Not Mapped	Cellular Processes	0.4403	0.5562	0.5822	0.5243	0.7855	0.8423	0.4257	0.4997	0.5143	0.5725	0.9855	1.033
TOTAL	-Crystallins	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
MAPPED	-Crystallins	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
Genetic Information Processing	-Crystallins	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Transcription	-Crystallins	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Translation	-Crystallins	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Folding, Sorting and Degradation	-Crystallins	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-DNA Maintenance	-Crystallins	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-RNA Family	-Crystallins	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Environmental Information Processing	-Crystallins	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Signal Transduction	-Crystallins	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Signaling Molecules and Interaction	-Crystallins	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
Cellular Processes	-Crystallins	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Crystallins	-Crystallins	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-Stress Response	-Crystallins	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-Vesicular Transport	-Crystallins	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Cytoskeleton	-Crystallins	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Cell Motility	-Crystallins	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-Cell Growth and Death	-Crystallins	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Cell Communication	-Crystallins	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
Metabolism	-Crystallins	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Membrane Transport	-Crystallins	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Central Carbon Metabolism	-Crystallins	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Energy Metabolism	-Crystallins	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Biosynthesis	-Crystallins	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Other Enzymes	-Crystallins	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
Organismal Systems	-Crystallins	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Immune System	-Crystallins	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Endocrine System	-Crystallins	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Circulatory System	-Crystallins	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Digestive System	-Crystallins	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Excretory System	-Crystallins	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Nervous System	-Crystallins	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Sensory System	-Crystallins	Inf	NaN	NaN	Inf	NaN	NaN	Inf	NaN	NaN	Inf	NaN	NaN
-Development	-Crystallins	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Environmental Adaptation	-Crystallins	Inf	Inf	NaN	Inf	Inf	NaN	Inf	Inf	NaN	Inf	Inf	NaN
Human Diseases	-Crystallins	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Cancers	-Crystallins	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Immune System Diseases	-Crystallins	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Neurodegenerative Diseases	-Crystallins	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Cardiovascular Diseases	-Crystallins	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Metabolic Diseases	-Crystallins	Inf	Inf	NaN	Inf	Inf	NaN	Inf	Inf	NaN	Inf	Inf	NaN
-Infectious Diseases	-Crystallins	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
Not Mapped	-Crystallins	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Not Mapped	-Crystallins	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
TOTAL	-Stress Response	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
MAPPED	-Stress Response	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
Genetic Information Processing	-Stress Response	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Transcription	-Stress Response	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Translation	-Stress Response	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Folding, Sorting and Degradation	-Stress Response	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-DNA Maintenance	-Stress Response	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-RNA Family	-Stress Response	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Environmental Information Processing	-Stress Response	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Signal Transduction	-Stress Response	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Signaling Molecules and Interaction	-Stress Response	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
Cellular Processes	-Stress Response	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Crystallins	-Stress Response	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-Stress Response	-Stress Response	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-Vesicular Transport	-Stress Response	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Cytoskeleton	-Stress Response	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Cell Motility	-Stress Response	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-Cell Growth and Death	-Stress Response	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Cell Communication	-Stress Response	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
Metabolism	-Stress Response	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Membrane Transport	-Stress Response	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Central Carbon Metabolism	-Stress Response	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Energy Metabolism	-Stress Response	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Biosynthesis	-Stress Response	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Other Enzymes	-Stress Response	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
Organismal Systems	-Stress Response	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Immune System	-Stress Response	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Endocrine System	-Stress Response	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Circulatory System	-Stress Response	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Digestive System	-Stress Response	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Excretory System	-Stress Response	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Nervous System	-Stress Response	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Sensory System	-Stress Response	Inf	NaN	NaN	Inf	NaN	NaN	Inf	NaN	NaN	Inf	NaN	NaN
-Development	-Stress Response	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Environmental Adaptation	-Stress Response	Inf	Inf	NaN	Inf	Inf	NaN	Inf	Inf	NaN	Inf	Inf	NaN
Human Diseases	-Stress Response	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Cancers	-Stress Response	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Immune System Diseases	-Stress Response	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Neurodegenerative Diseases	-Stress Response	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Cardiovascular Diseases	-Stress Response	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Metabolic Diseases	-Stress Response	Inf	Inf	NaN	Inf	Inf	NaN	Inf	Inf	NaN	Inf	Inf	NaN
-Infectious Diseases	-Stress Response	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
Not Mapped	-Stress Response	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Not Mapped	-Stress Response	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
TOTAL	-Vesicular Transport	59.21	114.3	153.3	59.09	139.9	186.5	55.76	95.63	135	52.98	138.9	190.4
MAPPED	-Vesicular Transport	49.14	94.87	127.3	48.81	115.6	154.1	46.11	79.09	111.7	43.49	114.1	156.3
Genetic Information Processing	-Vesicular Transport	13.74	24.64	34.71	17.27	34.76	50.77	12.54	19.09	26.33	18.91	37.64	54.15
-Transcription	-Vesicular Transport	0.6929	1.416	1.859	0.8803	2.198	2.868	0.5275	0.9546	1.339	0.8288	2.302	3.065
-Translation	-Vesicular Transport	3.55	6.917	9.379	4.387	10.47	13.59	2.999	5.184	7.48	4.452	11.75	14.24
-Folding, Sorting and Degradation	-Vesicular Transport	5.883	11.28	16.74	6.472	13.13	22.7	5.241	9.481	14.47	5.866	14.74	24.02
-DNA Maintenance	-Vesicular Transport	0.9152	4.339	12.42	1.045	6.018	20.21	0.8917	3.094	8.112	1.092	6.148	22.38
-RNA Family	-Vesicular Transport	0	0	0	0	0	0	0	0	0	0	0	0
Environmental Information Processing	-Vesicular Transport	1.552	2.926	3.902	1.769	3.576	5.352	1.385	2.886	3.602	1.54	3.953	5.861
-Signal Transduction	-Vesicular Transport	0.06307	0.32	1.173	0.09435	0.3943	1.042	0.05047	0.3531	1.506	0.1264	0.3729	0.9391
-Signaling Molecules and Interaction	-Vesicular Transport	1.277	2.276	3.383	1.467	3.082	5.007	1.081	2.096	2.91	1.275	3.339	5.471
Cellular Processes	-Vesicular Transport	17.3	38.26	46.04	12.2	32.69	39.71	18.76	35.71	46.69	9.187	28.54	33.54
-Crystallins	-Vesicular Transport	0	0	0	0	0	0	0	0	0	0	0	0
-Stress Response	-Vesicular Transport	0	0	0	0	0	0	0	0	0	0	0	0
-Vesicular Transport	-Vesicular Transport	1	1	1	1	1	1	1	1	1	1	1	1
-Cytoskeleton	-Vesicular Transport	15.37	33.27	41.09	9.967	26.32	33.38	16.85	31.81	42.08	7.016	24.41	27.66
-Cell Motility	-Vesicular Transport	0	0	0	0	0	0	0	0	0	0	0	0
-Cell Growth and Death	-Vesicular Transport	0.05105	1.58	2.159	0.04807	1.847	2.82	0.06474	1.557	2.08	0.03952	1.922	2.814
-Cell Communication	-Vesicular Transport	0.4848	1.366	1.984	0.7184	2.139	2.87	0.3744	1.062	1.498	0.7136	2.01	2.697
Metabolism	-Vesicular Transport	5.777	12.81	17.19	6.311	16.43	22.12	5.157	10.34	14.9	5.538	15.37	21.93
-Membrane Transport	-Vesicular Transport	0.003968	0.01876	0.05973	0.003856	0.02533	0.07945	0.002237	0.01413	0.04994	0.002843	0.01633	0.06649
-Central Carbon Metabolism	-Vesicular Transport	0.9362	2.827	5.556	1.134	3.479	7.719	0.729	2.301	4.649	0.9805	3.422	7.161
-Energy Metabolism	-Vesicular Transport	0.3242	0.9206	1.556	0.3553	0.9964	2.121	0.2483	0.7895	1.387	0.3824	0.9533	2.091
-Biosynthesis	-Vesicular Transport	0.9915	1.786	2.265	1.102	2.343	2.555	0.8087	1.351	1.955	1.004	2.151	2.559
-Other Enzymes	-Vesicular Transport	2.163	6.054	8.801	2.366	7.158	11.16	1.931	5.331	7.522	2.179	6.959	10.73
Organismal Systems	-Vesicular Transport	2.364	3.362	5.04	2.621	4.047	6.874	2.363	3.049	4.244	2.848	4.168	7.211
-Immune System	-Vesicular Transport	0.3581	1.169	1.977	0.5257	1.378	2.46	0.2839	0.9237	1.899	0.5757	1.485	2.594
-Endocrine System	-Vesicular Transport	0.09282	0.1512	1.105	0.09088	0.1705	1.854	0.09852	0.1554	0.673	0.0932	0.1832	1.772
-Circulatory System	-Vesicular Transport	0.3813	1.088	2.352	0.3563	1.177	3.113	0.4073	0.8425	1.471	0.3752	1.274	3.763
-Digestive System	-Vesicular Transport	0.0154	0.03313	0.0548	0.01978	0.03174	0.07926	0.01439	0.02556	0.0345	0.01837	0.02439	0.09425
-Excretory System	-Vesicular Transport	0.05353	0.1479	0.4752	0.0462	0.149	0.4872	0.05651	0.137	0.4985	0.03733	0.1457	0.5007
-Nervous System	-Vesicular Transport	0.04337	0.1047	0.9656	0.05276	0.157	1.033	0.03587	0.06219	0.9716	0.04389	0.1377	0.9662
-Sensory System	-Vesicular Transport	0	0	0.0116	0	0	0.01285	0	0	0.01065	0	0	0.01253
-Development	-Vesicular Transport	0.04419	0.09337	1.284	0.05654	0.1434	1.826	0.03534	0.06879	1.026	0.0531	0.1465	2.04
-Environmental Adaptation	-Vesicular Transport	0	0.01201	0.2673	0	0.01233	0.2714	0	0.009491	0.2436	0	0.01127	0.2381
Human Diseases	-Vesicular Transport	4.586	9.299	19.93	4.652	12.63	29.85	4.505	6.824	12.61	3.949	13.05	33.75
-Cancers	-Vesicular Transport	0.05281	0.2582	1.059	0.0498	0.2688	1.725	0.05467	0.2456	0.8043	0.06276	0.3171	1.651
-Immune System Diseases	-Vesicular Transport	0.2785	0.92	1.911	0.2718	1.417	2.563	0.1919	0.5564	1.164	0.2285	1.415	2.593
-Neurodegenerative Diseases	-Vesicular Transport	0.969	2.066	5.244	0.8204	2	6.412	0.9733	1.793	4.927	0.8705	1.794	5.618
-Cardiovascular Diseases	-Vesicular Transport	0.7629	2.007	2.998	0.9055	2.772	4.419	0.667	1.356	1.848	0.8238	3.041	4.903
-Metabolic Diseases	-Vesicular Transport	0	0	0.7114	0	0	0.9732	0	0	0.5608	0	0	0.9962
-Infectious Diseases	-Vesicular Transport	0.8092	1.792	13.33	0.9467	2.058	21.22	0.7055	1.675	8.515	0.9402	2.203	24.79
Not Mapped	-Vesicular Transport	10.08	19.45	26.09	10.27	24.32	32.42	9.647	16.55	23.36	9.487	24.88	34.1
-Not Mapped	-Vesicular Transport	10.08	19.45	26.09	10.27	24.32	32.42	9.647	16.55	23.36	9.487	24.88	34.1
TOTAL	-Cytoskeleton	2.838	3.648	3.822	3.386	5.374	5.827	2.693	3.186	3.3	3.614	6.817	7.404
MAPPED	-Cytoskeleton	2.355	3.028	3.172	2.797	4.44	4.814	2.227	2.635	2.729	2.967	5.596	6.078
Genetic Information Processing	-Cytoskeleton	0.4866	0.7613	1.067	0.6563	1.309	1.934	0.4469	0.6244	0.8016	0.7491	1.732	2.696
-Transcription	-Cytoskeleton	0.03497	0.04398	0.04601	0.05251	0.08511	0.08764	0.02756	0.03063	0.03256	0.05895	0.1128	0.1167
-Translation	-Cytoskeleton	0.1711	0.2169	0.2309	0.2436	0.3879	0.436	0.1465	0.17	0.178	0.2665	0.5266	0.6242
-Folding, Sorting and Degradation	-Cytoskeleton	0.2481	0.3827	0.4293	0.3204	0.6407	0.7138	0.221	0.3166	0.3673	0.3604	0.8281	0.9836
-DNA Maintenance	-Cytoskeleton	0.0324	0.1027	0.375	0.03973	0.1803	0.7696	0.03177	0.07055	0.242	0.04326	0.2223	1.104
-RNA Family	-Cytoskeleton	0	0	0	0	0	0	0	0	0	0	0	0
Environmental Information Processing	-Cytoskeleton	0.06304	0.08902	0.1221	0.09956	0.1329	0.2012	0.06749	0.08221	0.1191	0.1433	0.1788	0.2467
-Signal Transduction	-Cytoskeleton	0.001629	0.01419	0.04072	0.002432	0.02219	0.04789	0.001461	0.01435	0.04871	0.003541	0.02665	0.05098
-Signaling Molecules and Interaction	-Cytoskeleton	0.04549	0.08137	0.08669	0.07299	0.1261	0.1663	0.0499	0.07035	0.07951	0.1125	0.1533	0.2247
Cellular Processes	-Cytoskeleton	1.089	1.126	1.148	1.123	1.205	1.245	1.074	1.109	1.126	1.13	1.25	1.306
-Crystallins	-Cytoskeleton	0	0	0	0	0	0	0	0	0	0	0	0
-Stress Response	-Cytoskeleton	0	0	0	0	0	0	0	0	0	0	0	0
-Vesicular Transport	-Cytoskeleton	0.02366	0.02798	0.04173	0.02578	0.03279	0.05626	0.0228	0.02979	0.04125	0.02801	0.04	0.06932
-Cytoskeleton	-Cytoskeleton	1	1	1	1	1	1	1	1	1	1	1	1
-Cell Motility	-Cytoskeleton	0	0	0	0	0	0	0	0	0	0	0	0
-Cell Growth and Death	-Cytoskeleton	0.003321	0.05379	0.05992	0.004823	0.08475	0.09933	0.003843	0.05111	0.05438	0.005633	0.1048	0.1289
-Cell Communication	-Cytoskeleton	0.01716	0.04719	0.05963	0.0273	0.08269	0.1086	0.01334	0.03448	0.04589	0.02827	0.09464	0.1246
Metabolism	-Cytoskeleton	0.2947	0.3827	0.4418	0.4517	0.6332	0.709	0.2427	0.3405	0.3689	0.4737	0.7894	0.8608
