Numerator	Denominator	Valgepea data mu 0 11	Valgepea data mu 0 21	Valgepea data mu 0 31	Valgepea data mu 0 40	Valgepea data mu 0 48
-Biosynthesis	Environmental Information Processing	11.36	17.38	22.08	28.77	33.2
-Other Enzymes	Environmental Information Processing	4.142	5.567	6.145	6.646	7.65
Organismal Systems	Environmental Information Processing	0	0	0	0	0
-Immune System	Environmental Information Processing	0	0	0	0	0
-Endocrine System	Environmental Information Processing	0	0	0	0	0
-Circulatory System	Environmental Information Processing	0	0	0	0	0
-Digestive System	Environmental Information Processing	0	0	0	0	0
-Excretory System	Environmental Information Processing	0	0	0	0	0
-Nervous System	Environmental Information Processing	0	0	0	0	0
-Sensory System	Environmental Information Processing	0	0	0	0	0
-Development	Environmental Information Processing	0	0	0	0	0
-Environmental Adaptation	Environmental Information Processing	0	0	0	0	0
Human Diseases	Environmental Information Processing	1.597e-05	1.794e-05	1.659e-05	1.702e-05	1.736e-05
-Cancers	Environmental Information Processing	0	0	0	0	0
-Immune Diseases	Environmental Information Processing	0	0	0	0	0
-Neurodegenerative Diseases	Environmental Information Processing	0	0	0	0	0
-Substance Dependence	Environmental Information Processing	0	0	0	0	0
-Cardiovascular Diseases	Environmental Information Processing	0	0	0	0	0
-Endocrine and Metabolic Diseases	Environmental Information Processing	0	0	0	0	0
-Infectious Diseases	Environmental Information Processing	0	0	0	0	0
-Drug resistance	Environmental Information Processing	1.597e-05	1.794e-05	1.659e-05	1.702e-05	1.736e-05
Not Mapped	Environmental Information Processing	7.06	7.775	8.65	9.328	10.36
-Not Mapped	Environmental Information Processing	7.06	7.775	8.65	9.328	10.36
TOTAL	-Signal Transduction	81.14	108.4	133.6	158.8	182.2
MAPPED	-Signal Transduction	74.03	100.6	124.9	149.4	171.8
Genetic Information Processing	-Signal Transduction	31.34	44.67	59.38	74.4	91.91
-Transcription	-Signal Transduction	3.99	5.541	6.662	7.41	8.496
-Translation	-Signal Transduction	19.18	28.07	39.42	51.82	66.14
-Folding, Sorting and Degradation	-Signal Transduction	6.144	8.421	10.31	12.02	13.88
-DNA Maintenance	-Signal Transduction	2.031	2.646	2.983	3.149	3.391
-RNA Family	-Signal Transduction	8.036e-06	8.969e-06	8.297e-06	8.509e-06	8.68e-06
Environmental Information Processing	-Signal Transduction	1.006	1	1	1	1
-Signal Transduction	-Signal Transduction	1	1	1	1	1
-Signaling Molecules and Interaction	-Signal Transduction	0.006324	2.691e-05	2.489e-05	2.553e-05	2.604e-05
Cellular Processes	-Signal Transduction	0.9706	1.023	1.218	1.402	1.533
-Cell Structure	-Signal Transduction	0.09972	0.2936	0.3755	0.4281	0.3938
-Crystallins	-Signal Transduction	0	0	0	0	0
-Vesicular transport	-Signal Transduction	0.001615	0.001623	0.002041	0.002093	0.002135
-Cytoskeleton	-Signal Transduction	0.3105	0.4024	0.4499	0.5062	0.5725
-Cell Motility	-Signal Transduction	0.3404	0.0004485	0.0004148	0.0004255	0.000434
-Cell Growth and Death	-Signal Transduction	0.2183	0.3248	0.3902	0.4651	0.5643
-Cellular Community	-Signal Transduction	0	0	0	0	0
Metabolism	-Signal Transduction	40.71	53.89	63.31	72.63	77.37
-Membrane Transport	-Signal Transduction	8.394	10.16	11.55	11.92	10.89
-Central Carbon Metabolism	-Signal Transduction	15.15	18.36	20.42	21.82	21.97
-Energy Metabolism	-Signal Transduction	1.573	2.425	3.115	3.477	3.654
-Biosynthesis	-Signal Transduction	11.43	17.38	22.08	28.77	33.2
-Other Enzymes	-Signal Transduction	4.169	5.567	6.145	6.646	7.65
Organismal Systems	-Signal Transduction	0	0	0	0	0
-Immune System	-Signal Transduction	0	0	0	0	0
-Endocrine System	-Signal Transduction	0	0	0	0	0
-Circulatory System	-Signal Transduction	0	0	0	0	0
-Digestive System	-Signal Transduction	0	0	0	0	0
-Excretory System	-Signal Transduction	0	0	0	0	0
-Nervous System	-Signal Transduction	0	0	0	0	0
-Sensory System	-Signal Transduction	0	0	0	0	0
-Development	-Signal Transduction	0	0	0	0	0
-Environmental Adaptation	-Signal Transduction	0	0	0	0	0
Human Diseases	-Signal Transduction	1.607e-05	1.794e-05	1.659e-05	1.702e-05	1.736e-05
-Cancers	-Signal Transduction	0	0	0	0	0
-Immune Diseases	-Signal Transduction	0	0	0	0	0
-Neurodegenerative Diseases	-Signal Transduction	0	0	0	0	0
-Substance Dependence	-Signal Transduction	0	0	0	0	0
-Cardiovascular Diseases	-Signal Transduction	0	0	0	0	0
-Endocrine and Metabolic Diseases	-Signal Transduction	0	0	0	0	0
-Infectious Diseases	-Signal Transduction	0	0	0	0	0
-Drug resistance	-Signal Transduction	1.607e-05	1.794e-05	1.659e-05	1.702e-05	1.736e-05
Not Mapped	-Signal Transduction	7.105	7.776	8.65	9.328	10.36
-Not Mapped	-Signal Transduction	7.105	7.776	8.65	9.328	10.36
TOTAL	-Signaling Molecules and Interaction	12830	4027000	5366000	6219000	6996000
MAPPED	-Signaling Molecules and Interaction	11710	3738000	5018000	5854000	6598000
Genetic Information Processing	-Signaling Molecules and Interaction	4956	1660000	2386000	2914000	3530000
-Transcription	-Signaling Molecules and Interaction	630.9	205900	267700	290300	326300
-Translation	-Signaling Molecules and Interaction	3033	1043000	1584000	2030000	2540000
-Folding, Sorting and Degradation	-Signaling Molecules and Interaction	971.6	313000	414100	470800	533000
-DNA Maintenance	-Signaling Molecules and Interaction	321.2	98330	119900	123400	130200
-RNA Family	-Signaling Molecules and Interaction	0.001271	0.3333	0.3333	0.3333	0.3333
Environmental Information Processing	-Signaling Molecules and Interaction	159.1	37170	40180	39170	38400
-Signal Transduction	-Signaling Molecules and Interaction	158.1	37160	40180	39170	38400
-Signaling Molecules and Interaction	-Signaling Molecules and Interaction	1	1	1	1	1
Cellular Processes	-Signaling Molecules and Interaction	153.5	38010	48940	54920	58870
-Cell Structure	-Signaling Molecules and Interaction	15.77	10910	15090	16770	15120
-Crystallins	-Signaling Molecules and Interaction	0	0	0	0	0
-Vesicular transport	-Signaling Molecules and Interaction	0.2554	60.33	82	82	82
-Cytoskeleton	-Signaling Molecules and Interaction	49.1	14950	18080	19830	21980
-Cell Motility	-Signaling Molecules and Interaction	53.83	16.67	16.67	16.67	16.67
-Cell Growth and Death	-Signaling Molecules and Interaction	34.52	12070	15680	18220	21670
-Cellular Community	-Signaling Molecules and Interaction	0	0	0	0	0
Metabolism	-Signaling Molecules and Interaction	6438	2003000	2544000	2845000	2971000
-Membrane Transport	-Signaling Molecules and Interaction	1327	377400	463900	466900	418300
-Central Carbon Metabolism	-Signaling Molecules and Interaction	2395	682500	820300	854900	843800
-Energy Metabolism	-Signaling Molecules and Interaction	248.8	90130	125200	136200	140300
-Biosynthesis	-Signaling Molecules and Interaction	1808	645900	887300	1127000	1275000
-Other Enzymes	-Signaling Molecules and Interaction	659.2	206900	246900	260400	293800
Organismal Systems	-Signaling Molecules and Interaction	0	0	0	0	0
-Immune System	-Signaling Molecules and Interaction	0	0	0	0	0
-Endocrine System	-Signaling Molecules and Interaction	0	0	0	0	0
-Circulatory System	-Signaling Molecules and Interaction	0	0	0	0	0
-Digestive System	-Signaling Molecules and Interaction	0	0	0	0	0
-Excretory System	-Signaling Molecules and Interaction	0	0	0	0	0
-Nervous System	-Signaling Molecules and Interaction	0	0	0	0	0
-Sensory System	-Signaling Molecules and Interaction	0	0	0	0	0
-Development	-Signaling Molecules and Interaction	0	0	0	0	0
-Environmental Adaptation	-Signaling Molecules and Interaction	0	0	0	0	0
Human Diseases	-Signaling Molecules and Interaction	0.002541	0.6667	0.6667	0.6667	0.6667
-Cancers	-Signaling Molecules and Interaction	0	0	0	0	0
-Immune Diseases	-Signaling Molecules and Interaction	0	0	0	0	0
-Neurodegenerative Diseases	-Signaling Molecules and Interaction	0	0	0	0	0
-Substance Dependence	-Signaling Molecules and Interaction	0	0	0	0	0
-Cardiovascular Diseases	-Signaling Molecules and Interaction	0	0	0	0	0
-Endocrine and Metabolic Diseases	-Signaling Molecules and Interaction	0	0	0	0	0
-Infectious Diseases	-Signaling Molecules and Interaction	0	0	0	0	0
-Drug resistance	-Signaling Molecules and Interaction	0.002541	0.6667	0.6667	0.6667	0.6667
Not Mapped	-Signaling Molecules and Interaction	1123	289000	347500	365400	397900
-Not Mapped	-Signaling Molecules and Interaction	1123	289000	347500	365400	397900
TOTAL	Cellular Processes	83.6	105.9	109.6	113.3	118.8
MAPPED	Cellular Processes	76.28	98.34	102.5	106.6	112.1
Genetic Information Processing	Cellular Processes	32.29	43.68	48.74	53.07	59.95
-Transcription	Cellular Processes	4.111	5.417	5.469	5.286	5.542
-Translation	Cellular Processes	19.76	27.44	32.37	36.97	43.14
-Folding, Sorting and Degradation	Cellular Processes	6.331	8.233	8.461	8.573	9.054
-DNA Maintenance	Cellular Processes	2.093	2.587	2.449	2.246	2.212
-RNA Family	Cellular Processes	8.279e-06	8.769e-06	6.811e-06	6.07e-06	5.662e-06
Environmental Information Processing	Cellular Processes	1.037	0.9777	0.821	0.7134	0.6523
-Signal Transduction	Cellular Processes	1.03	0.9777	0.821	0.7133	0.6523
-Signaling Molecules and Interaction	Cellular Processes	0.006516	2.631e-05	2.043e-05	1.821e-05	1.699e-05
Cellular Processes	Cellular Processes	1	1	1	1	1
-Cell Structure	Cellular Processes	0.1027	0.287	0.3083	0.3054	0.2568
-Crystallins	Cellular Processes	0	0	0	0	0
-Vesicular transport	Cellular Processes	0.001664	0.001587	0.001676	0.001493	0.001393
-Cytoskeleton	Cellular Processes	0.3199	0.3934	0.3694	0.3611	0.3734
-Cell Motility	Cellular Processes	0.3507	0.0004385	0.0003406	0.0003035	0.0002831
-Cell Growth and Death	Cellular Processes	0.2249	0.3176	0.3203	0.3318	0.3681
-Cellular Community	Cellular Processes	0	0	0	0	0
Metabolism	Cellular Processes	41.95	52.69	51.97	51.81	50.46
-Membrane Transport	Cellular Processes	8.649	9.929	9.479	8.503	7.106
-Central Carbon Metabolism	Cellular Processes	15.6	17.95	16.76	15.57	14.33
-Energy Metabolism	Cellular Processes	1.621	2.371	2.557	2.48	2.383
-Biosynthesis	Cellular Processes	11.78	16.99	18.13	20.52	21.65
-Other Enzymes	Cellular Processes	4.295	5.443	5.045	4.741	4.99
Organismal Systems	Cellular Processes	0	0	0	0	0
-Immune System	Cellular Processes	0	0	0	0	0
-Endocrine System	Cellular Processes	0	0	0	0	0
-Circulatory System	Cellular Processes	0	0	0	0	0
-Digestive System	Cellular Processes	0	0	0	0	0
-Excretory System	Cellular Processes	0	0	0	0	0
-Nervous System	Cellular Processes	0	0	0	0	0
-Sensory System	Cellular Processes	0	0	0	0	0
-Development	Cellular Processes	0	0	0	0	0
-Environmental Adaptation	Cellular Processes	0	0	0	0	0
Human Diseases	Cellular Processes	1.656e-05	1.754e-05	1.362e-05	1.214e-05	1.132e-05
-Cancers	Cellular Processes	0	0	0	0	0
-Immune Diseases	Cellular Processes	0	0	0	0	0
-Neurodegenerative Diseases	Cellular Processes	0	0	0	0	0
-Substance Dependence	Cellular Processes	0	0	0	0	0
-Cardiovascular Diseases	Cellular Processes	0	0	0	0	0
-Endocrine and Metabolic Diseases	Cellular Processes	0	0	0	0	0
-Infectious Diseases	Cellular Processes	0	0	0	0	0
-Drug resistance	Cellular Processes	1.656e-05	1.754e-05	1.362e-05	1.214e-05	1.132e-05
Not Mapped	Cellular Processes	7.32	7.602	7.101	6.654	6.759
-Not Mapped	Cellular Processes	7.32	7.602	7.101	6.654	6.759
TOTAL	-Cell Structure	813.6	369.1	355.7	370.9	462.6
MAPPED	-Cell Structure	742.4	342.7	332.6	349.1	436.3
Genetic Information Processing	-Cell Structure	314.3	152.2	158.1	173.8	233.4
-Transcription	-Cell Structure	40.01	18.87	17.74	17.31	21.58
-Translation	-Cell Structure	192.3	95.61	105	121.1	168
-Folding, Sorting and Degradation	-Cell Structure	61.61	28.69	27.45	28.07	35.25
-DNA Maintenance	-Cell Structure	20.37	9.013	7.944	7.356	8.611
-RNA Family	-Cell Structure	8.058e-05	3.055e-05	2.209e-05	1.988e-05	2.204e-05
Environmental Information Processing	-Cell Structure	10.09	3.407	2.663	2.336	2.54
-Signal Transduction	-Cell Structure	10.03	3.406	2.663	2.336	2.54
-Signaling Molecules and Interaction	-Cell Structure	0.06342	9.166e-05	6.628e-05	5.963e-05	6.613e-05
Cellular Processes	-Cell Structure	9.733	3.484	3.244	3.275	3.893
-Cell Structure	-Cell Structure	1	1	1	1	1
-Crystallins	-Cell Structure	0	0	0	0	0
-Vesicular transport	-Cell Structure	0.0162	0.00553	0.005435	0.00489	0.005423
-Cytoskeleton	-Cell Structure	3.114	1.371	1.198	1.182	1.454
-Cell Motility	-Cell Structure	3.414	0.001528	0.001105	0.0009938	0.001102
-Cell Growth and Death	-Cell Structure	2.189	1.107	1.039	1.086	1.433
-Cellular Community	-Cell Structure	0	0	0	0	0
Metabolism	-Cell Structure	408.3	183.6	168.6	169.7	196.5
-Membrane Transport	-Cell Structure	84.18	34.6	30.75	27.84	27.66
-Central Carbon Metabolism	-Cell Structure	151.9	62.56	54.37	50.98	55.8
-Energy Metabolism	-Cell Structure	15.78	8.262	8.296	8.121	9.279
-Biosynthesis	-Cell Structure	114.6	59.2	58.81	67.2	84.31
-Other Enzymes	-Cell Structure	41.8	18.96	16.36	15.53	19.43
Organismal Systems	-Cell Structure	0	0	0	0	0
-Immune System	-Cell Structure	0	0	0	0	0
-Endocrine System	-Cell Structure	0	0	0	0	0
-Circulatory System	-Cell Structure	0	0	0	0	0
-Digestive System	-Cell Structure	0	0	0	0	0
-Excretory System	-Cell Structure	0	0	0	0	0
-Nervous System	-Cell Structure	0	0	0	0	0
-Sensory System	-Cell Structure	0	0	0	0	0
-Development	-Cell Structure	0	0	0	0	0
-Environmental Adaptation	-Cell Structure	0	0	0	0	0
Human Diseases	-Cell Structure	0.0001612	6.111e-05	4.419e-05	3.975e-05	4.409e-05
-Cancers	-Cell Structure	0	0	0	0	0
-Immune Diseases	-Cell Structure	0	0	0	0	0
-Neurodegenerative Diseases	-Cell Structure	0	0	0	0	0
-Substance Dependence	-Cell Structure	0	0	0	0	0
-Cardiovascular Diseases	-Cell Structure	0	0	0	0	0
-Endocrine and Metabolic Diseases	-Cell Structure	0	0	0	0	0
-Infectious Diseases	-Cell Structure	0	0	0	0	0
-Drug resistance	-Cell Structure	0.0001612	6.111e-05	4.419e-05	3.975e-05	4.409e-05
Not Mapped	-Cell Structure	71.25	26.49	23.04	21.79	26.31
-Not Mapped	-Cell Structure	71.25	26.49	23.04	21.79	26.31
TOTAL	-Crystallins	Inf	Inf	Inf	Inf	Inf
MAPPED	-Crystallins	Inf	Inf	Inf	Inf	Inf
Genetic Information Processing	-Crystallins	Inf	Inf	Inf	Inf	Inf
-Transcription	-Crystallins	Inf	Inf	Inf	Inf	Inf
-Translation	-Crystallins	Inf	Inf	Inf	Inf	Inf
-Folding, Sorting and Degradation	-Crystallins	Inf	Inf	Inf	Inf	Inf
-DNA Maintenance	-Crystallins	Inf	Inf	Inf	Inf	Inf
-RNA Family	-Crystallins	Inf	Inf	Inf	Inf	Inf
Environmental Information Processing	-Crystallins	Inf	Inf	Inf	Inf	Inf
-Signal Transduction	-Crystallins	Inf	Inf	Inf	Inf	Inf
-Signaling Molecules and Interaction	-Crystallins	Inf	Inf	Inf	Inf	Inf
Cellular Processes	-Crystallins	Inf	Inf	Inf	Inf	Inf
-Cell Structure	-Crystallins	Inf	Inf	Inf	Inf	Inf
-Crystallins	-Crystallins	NaN	NaN	NaN	NaN	NaN
-Vesicular transport	-Crystallins	Inf	Inf	Inf	Inf	Inf
-Cytoskeleton	-Crystallins	Inf	Inf	Inf	Inf	Inf
-Cell Motility	-Crystallins	Inf	Inf	Inf	Inf	Inf
-Cell Growth and Death	-Crystallins	Inf	Inf	Inf	Inf	Inf
-Cellular Community	-Crystallins	NaN	NaN	NaN	NaN	NaN
Metabolism	-Crystallins	Inf	Inf	Inf	Inf	Inf
-Membrane Transport	-Crystallins	Inf	Inf	Inf	Inf	Inf
-Central Carbon Metabolism	-Crystallins	Inf	Inf	Inf	Inf	Inf
-Energy Metabolism	-Crystallins	Inf	Inf	Inf	Inf	Inf
-Biosynthesis	-Crystallins	Inf	Inf	Inf	Inf	Inf
-Other Enzymes	-Crystallins	Inf	Inf	Inf	Inf	Inf
Organismal Systems	-Crystallins	NaN	NaN	NaN	NaN	NaN
-Immune System	-Crystallins	NaN	NaN	NaN	NaN	NaN
-Endocrine System	-Crystallins	NaN	NaN	NaN	NaN	NaN
-Circulatory System	-Crystallins	NaN	NaN	NaN	NaN	NaN
-Digestive System	-Crystallins	NaN	NaN	NaN	NaN	NaN
-Excretory System	-Crystallins	NaN	NaN	NaN	NaN	NaN
-Nervous System	-Crystallins	NaN	NaN	NaN	NaN	NaN
-Sensory System	-Crystallins	NaN	NaN	NaN	NaN	NaN
-Development	-Crystallins	NaN	NaN	NaN	NaN	NaN
-Environmental Adaptation	-Crystallins	NaN	NaN	NaN	NaN	NaN
Human Diseases	-Crystallins	Inf	Inf	Inf	Inf	Inf
-Cancers	-Crystallins	NaN	NaN	NaN	NaN	NaN
-Immune Diseases	-Crystallins	NaN	NaN	NaN	NaN	NaN
-Neurodegenerative Diseases	-Crystallins	NaN	NaN	NaN	NaN	NaN
-Substance Dependence	-Crystallins	NaN	NaN	NaN	NaN	NaN
-Cardiovascular Diseases	-Crystallins	NaN	NaN	NaN	NaN	NaN
-Endocrine and Metabolic Diseases	-Crystallins	NaN	NaN	NaN	NaN	NaN
-Infectious Diseases	-Crystallins	NaN	NaN	NaN	NaN	NaN
-Drug resistance	-Crystallins	Inf	Inf	Inf	Inf	Inf
Not Mapped	-Crystallins	Inf	Inf	Inf	Inf	Inf
-Not Mapped	-Crystallins	Inf	Inf	Inf	Inf	Inf
TOTAL	-Vesicular transport	50240	66750	65440	75840	85320
MAPPED	-Vesicular transport	45840	61960	61200	71390	80460
Genetic Information Processing	-Vesicular transport	19410	27520	29090	35540	43040
-Transcription	-Vesicular transport	2470	3413	3264	3540	3979
-Translation	-Vesicular transport	11870	17290	19320	24760	30980
-Folding, Sorting and Degradation	-Vesicular transport	3804	5187	5050	5741	6500
-DNA Maintenance	-Vesicular transport	1258	1630	1462	1504	1588
-RNA Family	-Vesicular transport	0.004975	0.005525	0.004065	0.004065	0.004065
Environmental Information Processing	-Vesicular transport	623	616	490	477.7	468.3
-Signal Transduction	-Vesicular transport	619.1	616	490	477.7	468.3
-Signaling Molecules and Interaction	-Vesicular transport	3.915	0.01657	0.0122	0.0122	0.0122
Cellular Processes	-Vesicular transport	600.9	630	596.8	669.7	718
-Cell Structure	-Vesicular transport	61.74	180.8	184	204.5	184.4
-Crystallins	-Vesicular transport	0	0	0	0	0
-Vesicular transport	-Vesicular transport	1	1	1	1	1
-Cytoskeleton	-Vesicular transport	192.2	247.8	220.4	241.8	268.1
-Cell Motility	-Vesicular transport	210.8	0.2762	0.2033	0.2033	0.2033
-Cell Growth and Death	-Vesicular transport	135.2	200.1	191.2	222.2	264.3
-Cellular Community	-Vesicular transport	0	0	0	0	0
Metabolism	-Vesicular transport	25210	33200	31020	34700	36230
-Membrane Transport	-Vesicular transport	5197	6256	5657	5694	5102
-Central Carbon Metabolism	-Vesicular transport	9377	11310	10000	10430	10290
-Energy Metabolism	-Vesicular transport	974	1494	1526	1661	1711
-Biosynthesis	-Vesicular transport	7077	10710	10820	13740	15550
-Other Enzymes	-Vesicular transport	2581	3429	3011	3175	3583
Organismal Systems	-Vesicular transport	0	0	0	0	0
-Immune System	-Vesicular transport	0	0	0	0	0
-Endocrine System	-Vesicular transport	0	0	0	0	0
-Circulatory System	-Vesicular transport	0	0	0	0	0
-Digestive System	-Vesicular transport	0	0	0	0	0
-Excretory System	-Vesicular transport	0	0	0	0	0
-Nervous System	-Vesicular transport	0	0	0	0	0
-Sensory System	-Vesicular transport	0	0	0	0	0
-Development	-Vesicular transport	0	0	0	0	0
-Environmental Adaptation	-Vesicular transport	0	0	0	0	0
Human Diseases	-Vesicular transport	0.00995	0.01105	0.00813	0.00813	0.00813
-Cancers	-Vesicular transport	0	0	0	0	0
-Immune Diseases	-Vesicular transport	0	0	0	0	0
-Neurodegenerative Diseases	-Vesicular transport	0	0	0	0	0
-Substance Dependence	-Vesicular transport	0	0	0	0	0
-Cardiovascular Diseases	-Vesicular transport	0	0	0	0	0
-Endocrine and Metabolic Diseases	-Vesicular transport	0	0	0	0	0
-Infectious Diseases	-Vesicular transport	0	0	0	0	0
-Drug resistance	-Vesicular transport	0.00995	0.01105	0.00813	0.00813	0.00813
Not Mapped	-Vesicular transport	4399	4790	4238	4456	4853
-Not Mapped	-Vesicular transport	4399	4790	4238	4456	4853
TOTAL	-Cytoskeleton	261.3	269.3	296.8	313.7	318.2
MAPPED	-Cytoskeleton	238.4	250	277.6	295.2	300.1
Genetic Information Processing	-Cytoskeleton	100.9	111	132	147	160.5
-Transcription	-Cytoskeleton	12.85	13.77	14.81	14.64	14.84
-Translation	-Cytoskeleton	61.77	69.75	87.62	102.4	115.5
-Folding, Sorting and Degradation	-Cytoskeleton	19.79	20.93	22.91	23.74	24.25
-DNA Maintenance	-Cytoskeleton	6.542	6.576	6.63	6.222	5.923
-RNA Family	-Cytoskeleton	2.588e-05	2.229e-05	1.844e-05	1.681e-05	1.516e-05
Environmental Information Processing	-Cytoskeleton	3.241	2.485	2.223	1.976	1.747
-Signal Transduction	-Cytoskeleton	3.221	2.485	2.223	1.976	1.747
-Signaling Molecules and Interaction	-Cytoskeleton	0.02037	6.687e-05	5.532e-05	5.043e-05	4.549e-05
Cellular Processes	-Cytoskeleton	3.126	2.542	2.707	2.77	2.678
-Cell Structure	-Cytoskeleton	0.3212	0.7296	0.8346	0.8458	0.6878
-Crystallins	-Cytoskeleton	0	0	0	0	0
-Vesicular transport	-Cytoskeleton	0.005202	0.004035	0.004536	0.004135	0.00373
-Cytoskeleton	-Cytoskeleton	1	1	1	1	1
-Cell Motility	-Cytoskeleton	1.096	0.001115	0.000922	0.0008405	0.0007581
-Cell Growth and Death	-Cytoskeleton	0.7031	0.8073	0.8673	0.9188	0.9856
-Cellular Community	-Cytoskeleton	0	0	0	0	0
Metabolism	-Cytoskeleton	131.1	133.9	140.7	143.5	135.1
-Membrane Transport	-Cytoskeleton	27.04	25.24	25.66	23.55	19.03
-Central Carbon Metabolism	-Cytoskeleton	48.78	45.64	45.38	43.11	38.38
-Energy Metabolism	-Cytoskeleton	5.067	6.028	6.924	6.868	6.382
-Biosynthesis	-Cytoskeleton	36.82	43.19	49.09	56.83	57.99
-Other Enzymes	-Cytoskeleton	13.43	13.84	13.66	13.13	13.36
Organismal Systems	-Cytoskeleton	0	0	0	0	0
-Immune System	-Cytoskeleton	0	0	0	0	0
-Endocrine System	-Cytoskeleton	0	0	0	0	0
-Circulatory System	-Cytoskeleton	0	0	0	0	0
-Digestive System	-Cytoskeleton	0	0	0	0	0
-Excretory System	-Cytoskeleton	0	0	0	0	0
-Nervous System	-Cytoskeleton	0	0	0	0	0
-Sensory System	-Cytoskeleton	0	0	0	0	0
-Development	-Cytoskeleton	0	0	0	0	0
-Environmental Adaptation	-Cytoskeleton	0	0	0	0	0
Human Diseases	-Cytoskeleton	5.176e-05	4.458e-05	3.688e-05	3.362e-05	3.032e-05
-Cancers	-Cytoskeleton	0	0	0	0	0
-Immune Diseases	-Cytoskeleton	0	0	0	0	0
-Neurodegenerative Diseases	-Cytoskeleton	0	0	0	0	0
-Substance Dependence	-Cytoskeleton	0	0	0	0	0
-Cardiovascular Diseases	-Cytoskeleton	0	0	0	0	0
-Endocrine and Metabolic Diseases	-Cytoskeleton	0	0	0	0	0
-Infectious Diseases	-Cytoskeleton	0	0	0	0	0
-Drug resistance	-Cytoskeleton	5.176e-05	4.458e-05	3.688e-05	3.362e-05	3.032e-05
Not Mapped	-Cytoskeleton	22.88	19.32	19.23	18.43	18.1
-Not Mapped	-Cytoskeleton	22.88	19.32	19.23	18.43	18.1
TOTAL	-Cell Motility	238.3	241600	321900	373200	419800
MAPPED	-Cell Motility	217.5	224300	301100	351200	395900
Genetic Information Processing	-Cell Motility	92.07	99620	143100	174900	211800
-Transcription	-Cell Motility	11.72	12360	16060	17420	19580
-Translation	-Cell Motility	56.34	62580	95040	121800	152400
-Folding, Sorting and Degradation	-Cell Motility	18.05	18780	24850	28250	31980
-DNA Maintenance	-Cell Motility	5.967	5900	7191	7402	7813
-RNA Family	-Cell Motility	2.36e-05	0.02	0.02	0.02	0.02
Environmental Information Processing	-Cell Motility	2.956	2230	2411	2350	2304
-Signal Transduction	-Cell Motility	2.938	2230	2411	2350	2304
-Signaling Molecules and Interaction	-Cell Motility	0.01858	0.06	0.06	0.06	0.06
Cellular Processes	-Cell Motility	2.851	2281	2936	3295	3532
-Cell Structure	-Cell Motility	0.2929	654.6	905.2	1006	907.3
-Crystallins	-Cell Motility	0	0	0	0	0
-Vesicular transport	-Cell Motility	0.004745	3.62	4.92	4.92	4.92
-Cytoskeleton	-Cell Motility	0.9121	897.2	1085	1190	1319
-Cell Motility	-Cell Motility	1	1	1	1	1
-Cell Growth and Death	-Cell Motility	0.6413	724.3	940.6	1093	1300
-Cellular Community	-Cell Motility	0	0	0	0	0
Metabolism	-Cell Motility	119.6	120200	152600	170700	178300
-Membrane Transport	-Cell Motility	24.66	22650	27830	28020	25100
-Central Carbon Metabolism	-Cell Motility	44.49	40950	49220	51290	50630
-Energy Metabolism	-Cell Motility	4.621	5408	7509	8171	8419
-Biosynthesis	-Cell Motility	33.58	38750	53240	67620	76490
-Other Enzymes	-Cell Motility	12.25	12410	14810	15620	17630
Organismal Systems	-Cell Motility	0	0	0	0	0
-Immune System	-Cell Motility	0	0	0	0	0
-Endocrine System	-Cell Motility	0	0	0	0	0
-Circulatory System	-Cell Motility	0	0	0	0	0
-Digestive System	-Cell Motility	0	0	0	0	0
-Excretory System	-Cell Motility	0	0	0	0	0
-Nervous System	-Cell Motility	0	0	0	0	0
-Sensory System	-Cell Motility	0	0	0	0	0
-Development	-Cell Motility	0	0	0	0	0
-Environmental Adaptation	-Cell Motility	0	0	0	0	0
Human Diseases	-Cell Motility	4.721e-05	0.04	0.04	0.04	0.04
-Cancers	-Cell Motility	0	0	0	0	0
-Immune Diseases	-Cell Motility	0	0	0	0	0
-Neurodegenerative Diseases	-Cell Motility	0	0	0	0	0
-Substance Dependence	-Cell Motility	0	0	0	0	0
-Cardiovascular Diseases	-Cell Motility	0	0	0	0	0
-Endocrine and Metabolic Diseases	-Cell Motility	0	0	0	0	0
-Infectious Diseases	-Cell Motility	0	0	0	0	0
-Drug resistance	-Cell Motility	4.721e-05	0.04	0.04	0.04	0.04
Not Mapped	-Cell Motility	20.87	17340	20850	21920	23880
-Not Mapped	-Cell Motility	20.87	17340	20850	21920	23880
TOTAL	-Cell Growth and Death	371.7	333.6	342.3	341.4	322.9
MAPPED	-Cell Growth and Death	339.1	309.7	320.1	321.3	304.5
Genetic Information Processing	-Cell Growth and Death	143.6	137.5	152.2	160	162.9
-Transcription	-Cell Growth and Death	18.28	17.06	17.07	15.93	15.06
-Translation	-Cell Growth and Death	87.85	86.4	101	111.4	117.2
-Folding, Sorting and Degradation	-Cell Growth and Death	28.15	25.92	26.41	25.84	24.6
-DNA Maintenance	-Cell Growth and Death	9.304	8.145	7.645	6.771	6.009
-RNA Family	-Cell Growth and Death	3.681e-05	2.761e-05	2.126e-05	1.83e-05	1.538e-05
Environmental Information Processing	-Cell Growth and Death	4.61	3.079	2.563	2.15	1.772
-Signal Transduction	-Cell Growth and Death	4.581	3.078	2.563	2.15	1.772
