K07541	PigX:Q8TBF5
K06232	Gas1:P54826
K14157	AasS:Q9UDR5
K00781	St3Gal3:Q5T4Y1
K00088	ImpDh1:P20839
K12383	Gm2A:P17900
K04257	Or4D5:Q8NGN0
K15303	AKR7A2:Q53GA4
K11418	HdaC11:Q96DB2
K05850	Atp2b2:Q4J699
K07964	HpsE:A9JIG7
K09228	Znf177:Q13360
K11584	Ppp2r5c:Q13362
K02152	Atp6v1g2:Q2L6F8
K11648	SmaRcb1:Q17S11
K10225	FadS3:Q9Y5Q0
K09036	MafB:Q9Y5Q3
K12397	Ap3B2:Q13367
K13280	Sec11a:P67812
K01369	LgmN:Q99538
K04355	BdnF:P23560
K08008	Nox3:Q9HBY0
K10366	Dmd:P11532
K08467	Gpr157:Q5UAW9
K06547	AlcAm:Q6PEY4
K07377	NrxN1:A4FVB9
K04931	KcnS1:Q96KK3
K04631	GnaT2:Q5T697
K11251	HisT1h2ah:Q96KK5
K13823	Hbb:P68871
K07374	TubA3e:Q6PEY2
K04682	E2f4:Q16254
K02966	Rps19:B0ZBD0
K07442	TrmT61a:Q96FX7
K10136	PerP:Q96FX8
K12488	AsaP1:Q9ULH1
K12460	KidIns220:Q9ULH0
K11341	YeaTs4:O95619
K02977	Rps27a:B2RDW1
K03984	SerPina1:E9KL23
K08462	Gpr125:Q8IWK6
K05000	KcnJ6:P48051
K04998	KcnJ4:P48050
K01298	Cpa2:P48052
K04312	Gpr4:P46093
K08453	Gpr110:A0PJH0
K05200	GriA4:P48058
K08550	Esr1:P03372
K01186	Neu1:Q5JQI0
K10838	Xpc:B4DIP3
K03242	Eif2s3:P41091
K14358	ScrN1:B4DIP5
K07526	SrgAp2:A2RUF3
K00923	Pik3c2b:A2RUF7
K09228	Zfp57:Q9NU63
K04978	TrpM3:Q9HCF6
K11825	Ap2B1:Q96EL6
K09228	Znf790:Q6PG37
K07187	Irs1:P35568
K12845	Nhp2l1:P55769
K04993	McoLn2:Q8IZK6
K06244	LamB3:Q13751
K06246	LamC2:Q13753
K10339	Asb17:Q8WXJ9
K13210	FubP3:A3KFK8
K11374	Elp2:B4DTG0
K08794	CamK1g:Q96NX5
K06712	Btn3a1:E9PGB4
K08554	EsrRg:E9PGB7
K08734	Mlh1:B4DQ11
K08534	RorC:P51449
K04364	Grb2:B0LPF3
K03021	PolR3b:Q9NW08
K09576	FkbP11:E9PAR0
K10512	ZbtB40:Q9NUA8
K08633	AdaMts19:Q8TE59
K12883	NcbP2:E9PAR5
K09409	FoxP2:Q8N6B6
K04838	Scn5a:E9PHB6
K09228	Znf415:Q09FC8
K08557	Ar:Q9NUA2
K09431	Etv1:E9PHB1
K01332	C2:B4DV20
K06106	CttN:Q96H99
K09239	HivEp2:P31629
K06125	Coq2:Q96H96
K12805	NlrC4:B3KTF0
K01892	HarS2:P49590
K06855	MapK4:P31152
K00789	Mat2a:P31153
K08526	RxrG:P48443
K01481	PadI2:Q9Y2J8
K04257	Or14c36:Q8NHC7
K04257	Or10j5:Q8NHC4
K04257	Or14a16:Q8NHC5
K00129	AldH3b2:P48448
K01852	Lss:P48449
K04890	KcnC4:Q03721
K14165	Epm2a:O95278
K09044	Atf5:Q9Y2D1
K01672	Ca5B:Q9Y2D0
K00780	St3Gal1:Q11201
K03122	StoN1:Q9Y6Q2
K00781	St3Gal3:Q11203
K09067	AscL4:Q6XD76
K00791	TriT1:Q53F11
K03671	Txn:P10599
K03494	St3Gal4:Q11206
K06467	Cd22:Q0EAF5
K01555	Fah:P16930
K04348	Ppp3ca:A8W6Z7
K06107	Epb41l3:Q9Y2J2
K02738	PsmB6:Q6IAT9
K08575	CapN6:Q9Y6Q1
K03063	PsmC4:A8K2M0
K10838	Xpc:Q01831
K09391	E2f8:A0AVK6
K06712	Btn1a1:Q4VAN2
K09568	FkbP1a:P62942
K13178	Ddx17:Q92841
K12568	MybPc3:A5PL00
K02928	Rpl41:P62945
K06712	Btn2a2:B4DE97
K03849	Alg8:Q9BVK2
K15374	TRAK2:Q9BVK6
K11836	Usp13:Q92995
K02353	Dvl3:Q92997
K11304	Kat5:Q92993
K06794	NcaN:O14594
K05408	Ccl3l1:P16619
K06094	LlgL2:A0PJJ0
K01672	Ca3:P07451
K15619	SPINT1, HAI, HAI1, MANSC2:B5ME67
K08062	RfxAnk:O14593
K11844	Usp45:Q70EL2
hsa_B8ZZJ2	B8ZZJ2:B8ZZJ2
K13212	Luc7l2:Q9Y383
K10578	Ube2j1:Q9Y385
K11856	Usp43:Q70EL4
K07923	Rab38:P57729
K06751	Hla-g:Q6DU14
K16186	RRAGD, RAGD, bA11D8.2.1:Q6NYC8-1
K13162	PcbP4:P57723
K13162	PcbP3:P57721
K12180	CopS7a:A8K9A6
K03983	SerPinf2:B4E1B7
K14012	NsfL1c:Q53FE8
K07522	NtnG1:Q5IEC8
K09109	MycN:P04198
K08418	Gpr78:Q96P69
K07522	NtnG1:Q5IEC3
K05508	Cx3Cl1:A0N0N7
K10171	Tlr10:Q9BXR5
K14539	LSG1:Q86UT8
K00773	QtrT1:Q9BXR0
K15620	GOLPH3L, GPP34R:Q49A88-3
K02873	Rpl13:B4DLX3
K08269	Ulk2:Q8IYT8
K12653	NlrX1:Q86UT6
K08829	Mak:P20794
K09564	PpiE:Q3S611
K04632	GnaS:Q5JWF2
K03111	SSBP1, Mt-SSB, SOSS-B1, SSBP, mtSSB:O00410-3
K08443	Emr2:Q9UHX3
hsa_Q5JWF8	ACL10:Q5JWF8
K10061	CleC4g:Q6UXB4
K02927	Uba52:Q3MIH3
K06252	Tnn:Q9UQP3
K01065	AoaH:P28039
K08203	Slc22a6:Q4U2R8
K08337	Atg7:B4E170
K03962	NduFb6:Q5VYT2
K15306	RANBP1:O75575
K06722	Cd302:Q8IX05
K05866	Cdc25b:B3KS38
K13166	SugP2:Q8IX01
K05221	P2rX6:Q32MB6
K02925	Rpl3:B3KS36
K15365	RMI2, BLAP18, C16orf75:B4DH24
K06586	ItgA10:O75578
K04558	SncAip:Q9Y6H5
K09228	Znf420:Q8TAQ5
K04897	KcnE3:Q9Y6H6
K11649	SmaRcc2:Q8TAQ2
K10429	Map1a:P78559
K00518	Sod3:P08294
K05514	Ccl20:P78556
K05076	Il13ra1:P78552
K10317	FbxO42:Q6P3S6
K08871	Brd2:A2AAU0
K12389	Cln3:Q549S9
K12311	Man2b1:A8K6A7
K02833	HraS:P01112
K07828	NraS:P01111
K05423	Csf3:A8MXR7
K07827	KraS:P01116
K05767	IqgAp2:Q59HA3
K01866	YarS:P54577
K00719	B3gAlnt1:O75752
K04459	DusP4:Q13115
K13209	EwsR1:Q96FE8
K10751	ChaF1b:Q13112
K07374	TubA1b:P68363
K01328	F12:Q8IZZ5
hsa_Q8TC94	ActL9:Q8TC94
K08044	AdcY4:Q86TZ7
K06478	PtpRc:Q0VAE8
K09209	Klf10:Q13118
K03539	Rpp30:E9PB02
K12493	ArfGap3:E9PB03
K08554	EsrRg:B7Z5E9
K15615	SIX4:Q93073
hsa_Q562Q3	Q562Q3:Q562Q3
K05414	IfnA13:E9PB07
hsa_Q562Q1	Q562Q1:Q562Q1
hsa_Q562Q0	Q562Q0:Q562Q0
K00016	LdhA:B7Z5E3
K04667	InhBa:P08476
K08581	CapN13:Q6MZZ7
K11653	AriD1b:Q8NFD5
K09236	TshZ2:Q9NRE2
K08004	Mmp26:Q9NRE1
K14409	SMG7:Q9Y262
K10415	DynC1i1:Q8N542
K04624	Tas1r1:Q7RTX1
K04370	MapKsp1:Q9UHA4
K01104	PtpN3:B7ZA03
K08190	Slc16a14:Q7RTX9
K12886	HnrNpk:P61978
K13094	Rbm5:P52756
K02729	PsmA5:P28066
K11163	DhrS1:Q96LJ7
K10395	Kif21a:F5H0C3
K04863	CacNb2:Q59H42
K06252	Tnn:B3KXB6
K10483	BtbD11:B3KXB0
K09309	Nkx1-2:Q9UD57
K05112	EphB3:P54753
K09558	Bag4:O95429
K00799	GstA4:Q6P4G1
K05106	EphA5:P54756
K07864	RhoJ:Q9H4E5
K09782	AreG:P15514
K13716	OtuD1:Q5VV17
K05285	PigN:O95427
K13340	Pex26:Q7Z2D7
K10369	SviL:O95425
K00814	Gpt2:Q8TD30
K01889	FarSa:Q6IBR2
K04190	CxcR5:A0N0R2
K14567	UTP14C:Q9NX95-1
K01062	PafAh1b2:Q6IBR6
K09079	NeuRod4:Q8IW56
K02128	Atp5g3:P48201
K01120	Pde2a:Q8IW54
K09409	FoxP4:Q8IW55
hsa_B4DTI0	B4DTI0:B4DTI0
K03781	Cat:P04040
K05107	EphA6:Q9UF33
K05660	AbcB5:F8QQP8
K04257	Or5H2:Q8NGV7
K05484	Il1F6:Q9UHA7
K09183	GatA5:Q9BWX5
K06791	IgsF11:Q5DX21
K06712	Btn3a2:A8K4B5
K04733	IraK4:B2RAP9
K02912	Rpl32:P62910
K04638	Ift57:Q9NWB7
K13173	ArgLu1:Q9NWB6
K04535	GnaZ:P19086
K04631	GnaT2:P19087
K08793	Stk32b:Q9NY57
K00460	AloX15:P16050
K00079	Cbr3:O75828
K06692	PsmD5:Q16401
K13781	Slc7a8:Q9UHI5
K13131	Ddx20:Q9UHI6
K08617	AdaMts1:Q9UHI8
K04257	Or2J2:O76002
K05239	Tac1:P20366
K00699	Ugt2b17:O75795
K06712	ErmAp:Q96PL5
K07604	Krt17:Q14666
K15414	C1QBP:Q02978
K07431	Cyp8b1:Q9UNU6
K12333	Adm:P35318
K05654	Tap2:Q03519
K10590	TriP12:Q14669
K10756	Rfc5:F8W9B4
K11204	GclC:Q14TF0
K09171	NfiX:Q14938
K07366	GraP2:O75791
K06047	Ttl:Q8NG68
K08857	Nek11:Q8NG66
K04257	Or2L2:Q8NH16
K01335	Cfb:P00751
K04257	Or8U1:Q8NH10
K08052	Nf1:Q14931
K09869	Aqp8:O94778
K10585	Ube2z:Q9H832
K06560	Mrc1:P22897
K00476	AspH:Q12797
K01197	HyaL1:Q12794
K00643	AlaS2:P22557
K08870	Twf1:Q12792
K11660	Mta2:O94776
K04936	KcnMa1:Q12791
K00461	AloX5:P09917
K14217	IfiT1:P09914
K07987	RaeT1g:Q6H3X3
K06465	Cd19:P15391
K05423	Csf3:P09919
K03505	PolD4:Q6NSD7
K08537	Nr1H4:B6ZGS9
K09403	FoxJ3:Q9UPW0
K08387	P2rY11:Q96G91
K00905	BckDk:Q96G95
K07418	Cyp2j2:P51589
K09228	Znf331:Q9NQX6
K10357	Myo5c:Q9NQX4
K00016	LdhA:B4DKQ2
K00569	TpmT:P51580
K13153	SnrNp25:Q9BV90
K12490	AraP2:A7E2A5
K08775	BrcA2:P51587
K10477	BtbD2:Q9BX70
K14739	MT1E:Q9H4K7
K10311	FbxO34:Q9NWN3
K04622	GprC6a:Q5T6X5
K03174	TraF3:A6NHG8
K10740	Rpa3:A4D105
K13755	Pde1a:P54750
K11089	TroVe2:Q86WL3
K07844	RasD2:Q96D21
K04515	CamK2a:Q9UQM7
K09301	HoxA1:P49639
K04649	Ube2k:P61086
K07833	Rit2:Q99578
K10579	Ube2m:P61081
K08429	Gpr141:Q7Z602
K09404	FoxK1:P85037
K05031	CftR:P13569
K01530	Atp9b:Q7Z3J4
K04503	CcnD1:Q6FI00
K12888	HnrNpu:Q96BA7
K14739	MT2A:Q7Z3J2
K09224	Zic3:O60481
K10755	Rfc2:Q75MT5
K06713	IcoS:Q9Y6W8
K04892	KcnD2:Q9NZV8
K06572	PlxNc1:O60486
K09228	Zim2:Q9NZV7
K04459	DusP10:Q9Y6W6
K09230	ZscAn4:Q8NAM6
K01329	Cma1:P23946
K06448	Cd1E:A2RRL5
K06689	Ube2e1:C9J8K2
K00654	SptLc1:Q96IX6
K05604	CndP1:Q96KN2
K00893	Dck:F5CTF3
K08402	Gpr109b:E9PI97
K09228	Znf708:P17019
K11431	SetD7:Q8WTS6
K12737	Cwc27:Q6UX04
K07607	PrpH2:P23942
K15612	LMO2, RBTN2, RBTNL1, RHOM2, TTG2:B3KUF5
K11169	DhrS13:Q6UX07
K05050	CxcR2:P25025
K04175	CxcR1:P25024
K06081	PvrL1:Q15223
K09228	Znf12:P17014
K09228	Znf14:P17017
K11660	Mta1:Q13330
K09508	DnaJb2:Q53QD7
K14378	TreM2:Q5TCX1
K15728	LPIN1:Q9BPZ3
K15759	IMPAD1:Q9Y5V0
K01090	Ppm1e:Q8WY54
K01737	Pts:Q03393
K09374	Lhx3:F1T0D5
K01191	Man2c1:Q9NTJ4
K09326	Otx2:F1T0D1
K05413	Cd86:A8K632
K10667	Rnf8:O76064
K05622	Tgm5:O43548
K09374	Lhx3:F1T0D9
K00657	Sat1:Q6ICU9
K00222	Tm7Sf2:O76062
K00498	Cyp11a1:P05108
K09226	Zic5:Q96T25
K00682	GgcT:B8ZZN4
K01047	Pla2g2e:Q9NZK7
K08863	Plk4:O00444
K12016	TriM40:Q5SRJ6
K03991	Mbl2:Q5SQS3
K06493	ItgB3:P05106
K06464	ItgB2:P05107
K01120	Pde7a:Q13946
K09658	Dpm2:Q5XKK9
K03960	NduFb4:O95168
K03964	NduFb8:O95169
K08341	GabArap:O95166
K03947	NduFa3:O95167
K01599	UroD:P06132
K00699	Ugt2b4:P06133
K09313	Cux1:Q13948
K11373	IkbKap:O95163
K04257	Or2A12:A4D2G4
K10880	XrcC3:O43542
K09216	OvoL2:Q9BRP0
K02728	PsmA4:Q567Q5
K08842	TesK2:Q5T422
K12958	Cav2:P51636
K14739	MT1F, MT1:O14523-2
K14294	WibG:Q9BRP8
K11424	Nsd1:Q96L73
K04459	DusP2:Q05923
K13358	Slc9a3r2:D3DU85
K10244	EloVl5:F6SH78
K02213	Cdc6:Q99741
K05750	NckAp1l:P55160
K05681	AbcG2:Q9UNQ0
K05447	Il28a:Q45KQ8
K08759	ApoC3:P02656
K09063	Tcf4:P15884
K11466	ScmL4:Q8N228
K02981	Rps2:P15880
K12457	Ntf4:P34130
K01008	SepHs1:D3DRS9
K08829	Mak:F8VBW7
K05424	Lep:A4D0Y8
K04257	Or10a3:P58181
K10888	FanCa:O15360
K03989	C4b:Q6U2E9
K08179	Slc16a1:P53985
K11599	PomP:Q9Y244
K13119	Fam50b:Q9Y247
K04456	Akt3:Q9Y243
K07928	Rab40al:P0C0E4
K11446	Kdm5c:F5H3T1
K10733	GinS2:Q9Y248
K03354	AnaPc7:Q69YV3
K10891	FanCd2:Q9BXW9
K00699	Ugt1a4:P22310
K04631	GnaT1:P11488
K03178	Uba1:P22314
K12813	Dhx16:Q5SQH4
K06709	Kdm4c:B4E239
K14288	XpoT:A8KA19
K08057	CalR:P27797
K09378	ZfhX3:Q8N2Y6
K11778	DhdDs:B7ZB20
K11284	TspY3:Q01534
K13119	Fam50a:Q14320
K05190	GabRr1:P24046
K09635	TmpRss4:B7Z8X1
K05509	Ccl8:P80075
K05637	LamA2:P24043
K11262	AcaCa:Q7Z5W8
K12494	Psd3:B3KRC4
K14212	Imp5:Q8IUH8
K01054	MglL:B3KRC2
K06067	HdaC1:Q6IT96
K15759	IMPAD1, GPAPP, IMP_3, IMP-3, IMPA3:Q5T7A9
K09275	GrhL2:Q6ISB3
K13354	Slc25a17:O43808
K12335	NppB:P16860
K10352	Myh11:Q3MNF1
K10352	Myh11:Q3MNF0
K00476	AspH:B7ZM95
K05736	Pak7:B0AZM9
K00725	B4gAlnt1:Q8N636
K11469	RybP:Q8N488
K04257	Or8B4:Q96RC9
K04534	GnaO1:P09471
K09097	ArnT:B0AZM1
K08498	Stx6:O43752
K11850	Usp26:Q9BXU7
K13402	MthFd1l:B7ZM99
K12304	CanT1:Q8WVQ1
K00383	Gsr:C8KIL9
K00383	Gsr:C8KIL8
K02259	Cox15:Q7KZN9
K06094	LlgL1:Q15334
K06512	LilRb2:A2IXV5
K04636	Gna14:B1ALW3
K13091	Rbm39:Q14498
K09040	Nfe2l1:Q14494
K00752	Has3:O00219
K02910	Rpl31:Q6IRZ0
K10312	FbxO36:Q8NEA4
K09232	GliS3:Q8NEA6
K05208	GriN1:Q9UPF9
K04413	MinK1:Q8N4C8
K08487	Stx19:Q8N4C7
K09228	Znf331:Q68D63
K04257	Or2W1:Q9Y3N9
K14401	CPSF1:B4DE40
K05074	Il15ra:Q3B769
K02599	NotCh1:P46531
K01120	Pde8b:B3KN77
K06087	CldN18:P56856
K04257	Or9Q2:Q8NGE9
K10207	Hsd17b3:Q6FH62
K09223	Gfi1b:Q5VTD9
K00992	OasL:B3KN79
K05423	Csf3:Q6FH65
K05056	Il11ra:Q5VZ79
K10091	LgaLs4:Q6FHZ4
K06110	ExoC3:Q6P2E8
K06810	Cdh16:B4DPA8
K09228	Znf333:Q6P2E6
K06712	Btn3a2:F5H791
K09236	TshZ1:Q6ZSZ6
K06529	SemA7a:O75326
K05513	Ccl27:Q5VZ77
K04153	Htr1f:P30939
K07916	Rab7l1:C9JE77
K11252	HIST2H2BF:Q8IVI9
K01165	RnaSel:Q05823
K05495	Gdf1:P27539
K00901	DgkZ:E9PPW4
K04608	Grm6:O15303
K13868	Slc7a9:P82251
K04710	CERS5:Q96IZ6-1
K07412	Cyp2b6:P20813
K09865	Aqp2:P41181
K07414	Cyp2d6:Q6NWU0
K07424	Cyp3a5:P20815
K01837	BpgM:A4D1N9
K09208	Klf14:A4D1N0
K06630	YwhAz:P63104
K05127	Ptk7:Q13308
K03875	Skp2:Q13309
K13191	Rbm16:Q8NDE9
K12876	Rbm8a:Q9Y5S9
K08008	Nox1:Q9Y5S8
K04883	KcnAb2:Q13303
K11584	Ppp2r5a:B7Z7L2
K00326	Cyb5r3:B7Z7L3
K04971	TrpV2:Q9Y5S1
K04585	Pth1r:Q0VGD7
K06240	LamA3:B0YJ33
K06821	PlxNb3:F5H773
K09267	Sox21:Q9Y651
K09417	Hsf4:Q9ULV5
K11647	SmaRca4:B1A8Z4
K02354	Fzd4:Q9ULV1
K10357	Myo5b:Q9ULV0
K11647	SmaRca4:B1A8Z5
K12567	Ttn:A6NKB1
K04389	FasLg:P48023
K01173	EndOd1:O94919
K04707	CblC:Q9ULV8
K05638	Nfe2l2:Q16236
K04673	BmpR1a:P36894
K13567	AcvR1b:P36896
K04674	TgfBr1:P36897
K10078	ChoDl:Q9H9P2
K00920	Pip4k2c:Q8TBX8
K00109	L2hGdh:Q9H9P8
K00297	MthFr:Q8IU67
K04680	Id2:Q02363
K12899	SrsF11:Q8IWE6
K00869	Mvk:B2RDU6
K04515	CamK2a:Q8IWE0
K04404	Tab2:B4DIR9
K09353	Lbx2:Q6XYB7
K13166	SugP2:A8K5G0
K05119	Alk:B6D4Y2
K01245	AdpRh:P54922
K12807	NaiP:B7ZLE8
K05738	Myl1:P05976
K10333	Asb11:Q8WXH4
K04697	SocS4:Q8WXH5
K07928	Rab40a:Q8WXH6
K00306	PipOx:Q9P0Z9
K03029	PsmD4:P55036
K08339	Atg5:A9UGY9
K05013	ClcN4:A1L3U1
K00472	P4hA1:Q5VSQ6
K06628	Cdc45:B4DDU3
K09289	NcoA4:Q13772
K09377	CsrP1:Q5U0J2
K05870	CreB1:Q5U0J5
K13242	Nos3:A0S0A7
K14560	IMP3:C9J6Z2
K12168	HecW2:Q9P2P5
K12348	AsaH1:Q53H01
K13305	NedD4l:B7Z6K0
K01887	RarS2:Q5T160
K03023	PolR3c:Q9BUI4
K10587	Ube3a:Q9BUI6
K06091	Mpp5:Q658X5
K02953	Rps13:P62277
K02980	Rps29:P62273
K04169	GrpR:P30550
K04166	AgtR1:P30556
K09299	Zeb1:P37275
K10647	Mid2:Q9UJV3
K04854	CacNa1g:Q19R03
K04854	CacNa1g:Q19R02
K09549	PfdN2:B1AQP2
K04854	CacNa1g:Q19R08
K12490	AraP3:Q8WWN8
K00261	GluD1:P00367
K12336	NppC:E5LCN7
K04676	SmaD9:O15198
K05498	Bmp15:O95972
K04440	MapK9:P45984
K04430	Map2k4:P45985
K05114	EphB6:O15197
K04440	MapK8:P45983
K05438	Gh1:A6NEF6
K10478	BtbD3:Q9Y2F9
K08474	Tas2r39:P59534
K05439	Prl:Q5THQ0
K07424	Cyp3a43:Q9HB55
K05051	TaaR5:D8KZS1
K10166	Tbx21:Q9UL17
K01403	Mmp9:P14780
K09366	Pou4f1:Q01851
K02725	PsmA1:B4E0X6
K08509	SnaP47:Q5SQN1
K09063	Tcf4:E9PH57
K08148	Slc2a11:E9PH55
K04273	LpaR6:F2YGU4
K05771	Nr3C1:E5KQF6
K08407	Gpr52:F2YGU0
K08534	RorC:Q6I9R9
K05771	Nr3C1:E5KQF5
K08527	RarA:Q6I9R7
K08767	AngPtl4:A8MY84
K11669	Ino80e:Q8NBZ0
K08678	Uxs1:Q8NBZ7
K12493	ArfGap2:B4DX29
K05862	VdaC1:P21796
K09498	Cct6b:B4DX20
K09270	Sox7:Q9BT81
K08396	MrgPrx4:Q96LA9
K09541	CryAa:P02489
K08282	Cit:O14578
K10415	DynC1i1:O14576
K10053	RunX1t1:Q06455
K03265	Etf1:Q96CG1
K08043	AdcY3:B3KT86
K10513	ZbtB41:Q5SVQ8
K08822	Gsk3a:P49840
K08880	Stk19:P49842
K03131	Taf6:P49848
K11858	Usp48:Q86UV5
K12024	TriM74:Q86UV6
K12024	TriM73:Q86UV7
K08474	Tas2r43:P59537
K17637	EXOC2, SEC5, SEC5L1, Sec5p:Q8N3Z3-1
K04394	CasP4:A2NHM0
K06458	Cd8A:Q6ZVS2
K08601	CylD:Q9NQC7
K01900	SucLa2:Q9Y4T0
K12021	TriM45:Q9H8W5
K08268	Hif1a:C0LZJ3
K08024	HheX:B1AQ17
K12470	Sh3Kbp1:Q5JPT6
K12470	Sh3Kbp1:Q5JPT4
K12470	Sh3Kbp1:Q5JPT5
K08126	Ogn:P20774
K09379	ZfhX2:Q9C0A1
K04504	PpaRd:B4E3V3
K04257	Or6B2:Q6IFH4
K01482	DdaH1:B4E3V1
K11465	ScmL2:Q9UQR0
K00976	FpgT:B4DRX2
K06210	NmnAt3:B3KVR6
K02433	QRSL1, GatA:Q9NV79-2
K02874	MRPL14, L14mt, L32mt, MRP-L14, MRP-L32, MRPL32, RMPL32, RPML32:B4DTR0
K14401	CPSF1, CPSF160, HSU37012, P/cl.18:P29374-1
K04263	PtgIr:P43119
K04249	TshR:A0PJU7
K09699	DBT, BCATE2, BCKAD-E2, BCKADE2, E2, E2B:A9J7P3
K10299	FbxO16:Q8IX29
K09342	Nkx2-1:P43699
K13159	HnrNpl:A6NIT8
K12016	TriM40:Q6P9F5
K04259	PtgEr2:P43116
K06685	MOB1B, MATS2, MOB4A, MOBKL1A:Q9GZV1-2
K09228	Znf671:Q8TAW3
K12900	SrsF10:B4DJP9
K05438	Csh1:A8K6C2
K03131	Taf6l:Q9Y6J9
K14165	StyXl1:Q9Y6J8
K01047	Pla2g6:O60733
K04896	KcnE2:Q9Y6J6
K06671	StaG1:Q6P275
K06702	Cd93:Q9NPY3
K06059	AdaM17:P78536
K05121	Tek:Q59HG2
K11447	Kdm6a:Q59HG3
K06526	Eng:P17813
K10395	Kif4a:Q59HG1
K05203	GriK3:A9Z1Z8
K03512	PolL:A8K860
K12897	Tra2a:Q549U1
K09662	GcnT3:O95395
K01836	Pgm3:O95394
K11996	MocS3:O95396
K12819	Slu7:O95391
K05497	Gdf11:O95390
K05503	Bmp10:O95393
K01228	MogS:Q58F09
K13159	HnrNpl:Q6NTA2
K00670	Naa15:Q58F05
K05248	Uts2:O95399
K10281	FbxL15:Q9H469
K08960	CsnK1e:P49674
K04410	Pak2:Q13177
K03125	Taf1l:Q8IZX4
K02375	Fzd8:Q9H461
K07202	PpaRgc1a:Q4W5M7
K11417	SirT7:Q9NRC8
K09228	Znf878:C9JN71
K05227	Edn3:P14138
K09089	Hes4:E9PB28
hsa_Q562W4	Q562W4:Q562W4
hsa_Q562W7	Q562W7:Q562W7
K06756	NrcAm:E9PDA4
K02903	Rpl28:E9PB24
hsa_Q562W8	Q562W8:Q562W8
K08063	RfxAp:O00287
K09355	Pbx3:E9PB27
K09228	Znf431:Q8TF32
K05640	GfaP:P14136
K06115	SptBn5:Q9NRC6
K05736	Pak7:Q9P286
K06487	ItgAv:B7ZLX0
K08805	DclK2:Q8N568
K06841	SemA5b:Q9P283
K09620	Klk11:Q0WXX5
K14286	AgxT2l2:A8K7P6
K09294	HoxC9:Q8N561
K08282	Mst4:Q9P289
K04913	KcnK2:Q6ZW95
K08597	SenP8:Q96LD8
K10392	Kif13a:F2Z382
K12023	TriM47:Q96LD4
K09318	Vax2:Q9UIW0
K15613	MEIS1:A2VDJ0-3
K13499	ChsY3:Q70JA7
K01053	RGN, GNL, RC, SMP30:B5BU38
K01530	Atp8b3:Q6ZUX8
K08844	LrrK2:Q17RV3
K07868	RhoBtb1:O94844
K04257	Or5M1:Q8NGP8
K01711	GmdS:O60547
K11674	McrS1:Q96EZ8
K12491	AgaP2:Q99490
K05412	Cd80:A0N0P2
K10155	Irf8:Q02556
K10408	DnaH3:Q8TD57
K10695	Rnf2:Q99496
K03164	Top2b:Q02880
K12670	DdoSt:P39656
K08529	RarG:A8K3H3
K05109	EphA8:P29322
K08608	AdaM19:Q9H013
K04632	GnaS:A6NI00
K12019	TriM64b:A6NI03
K10138	IgfBp3:B3KPF0
K08628	AdaMts14:Q5T4G1
K04257	Or5Ar1:Q8NGP9
K15293	UNC13B:B3KPF3
K01068	AcoT1:Q86TX2
K00485	Fmo5:Q53H53
K00858	NadK:Q5QPS4
K06115	SptB:Q86TX9
K09192	Sp2:Q02086
hsa_Q6RFH5	PLEKHO2:Q6RFH5
K01332	C2:B4DPF3
K13720	NaaA:Q02083
K05048	Slc6a15:Q9H9F5
K09261	Mef2b:Q02080
K03232	Eef1d:B2RAR6
K06778	PtpRs:Q59FX6
K04418	Map3k10:Q02779
K05705	Yes1:P07947
K10313	FbxO38:Q6PIJ6
K09580	P4hB:P07237
K05636	LamB1:P07942
K06256	Cd44:P16070
K08811	TssK3:Q96PN8
K05051	TaaR9:Q96RI9
K05854	Lyn:P07948
K05126	Ret:P07949
K06237	Col4a4:P53420
K04261	PtgEr4:A0PJF5
K03991	Mbl2:P11226
K09336	Vsx2:P58304
K05421	ClcF1:B4DNT4
K02320	PolA1:P09884
K05448	Pgf:Q86TW6
K08474	Tas2r45:P59539
K16185	RRAGA, FIP-1, FIP1, RAGA:Q7Z2F1
K03103	MinPp1:Q9UNW1
K06258	Sv2B:Q7L1I2
K06636	Smc1a:Q14683
K08799	MelK:Q14680
K01069	HagH:Q16775
K09061	C2oRf3:P16383
K04299	P2rY14:A5JUU3
K04314	PrlHr:A5JUU5
K09299	Zeb1:Q2KJ05
K05267	Npb:Q8NG41
K04875	KcnA2:P16389
K06069	PrkCz:E9PCW2
K13187	Rbm4b:Q9BQ04
K13910	Prh2:P02810
K13914	StaTh:A6NKE9
K07831	MraS:O14807
K05051	TaaR5:O14804
K03018	PolR3a:O14802
K11840	Usp24:Q9UPU5
K01197	HyaL4:Q2M3T9
K12586	ExoSc8:Q96B26
K05731	TiaM2:B3KW11
K08025	Mnx1:P50219
K12384	ScaRb2:Q53Y63
K07963	TriM23:P36406
K07944	Arl3:P36405
K07943	Arl2:P36404
K02620	Tcf7:P36402
K03652	Mpg:Q5J9I4
K12386	CtnS:O60931
K03469	RnaSeh1:O60930
K10867	Nbn:O60934
K04846	Scn2b:O60939
K08123	KerA:O60938
K11432	PrdM2:B1AJZ4
K13806	DAGLB, DAGLBETA, KCCR13L:B1AJZ2
K12490	AraP1:B2RTS2
K09228	Znf772:Q68DY9
K08739	Mlh3:Q2M1Z1
K02369	ExtL2:Q9UBQ6
K00015	GrhPr:Q9UBQ7
K12801	CarD8:B7Z4A2
K02128	Atp5g2:Q06055
K00901	DgkG:P49619
K04008	Cd59:Q6FHM9
