K01369	DelTa-vpe
K01768	-
K09577	-
K09571	Rof1
K09572	-
K01761	AtmGl
K01760	Cbl
K01763	-
K01762	Acs9 Acs8 Acs5 Acs4 Acs7 Acs6 Acs11 Acs2 Acs1
K09578	-
K01764	-
K02492	HemA1 HemA2 HemA3
K02496	-
K14416	AT5G10630
K14411	AT4G26650 AT5G55550 AT4G14300 AT5G47620 AT3G07810 AT4G36960 AT2G33410
K14410	-
K07209	-
K12817	AT1G54590 AT1G03140
hsa_Q9Y614	-
K09419	-
K09418	-
K12813	Esp3 AT4G16680
K12812	-
K12811	AT3G09620 AT1G20920
K09411	-
K12819	Smp1 SMP2 AT3G45950
K09414	-
K03545	-
K03544	ClpX
K03542	Npq4
K03541	PsbR
sce_YHR211W	-
hsa_Q53GK6	-
K03849	-
K03723	-
K03721	-
K03720	-
K03724	-
K13144	-
K12670	Dgl1
K08891	-
K08893	-
K11096	AT2G47640 AT3G62840
K11097	AT4G30330 AT2G18740
K11094	U2b''
K11095	AT4G03120
K11092	U2a'
K11093	U1-70k
K11090	-
K11091	U1A
K11098	RuxF AT2G14285
K11099	SNRNP-G AT3G11500
K08768	-
K08769	-
K08762	-
K08761	-
K08766	-
K08764	-
K08765	-
K10413	-
K10415	-
K10414	-
K10417	-
K10416	-
K10419	-
K10418	-
K11320	-
K11321	-
K11322	-
K11324	-
K11329	-
K00150	-
K00157	-
K00156	-
K00158	-
K09380	-
K09385	-
K14312	Nup155
K14313	AT3G16310
K14310	AT5G51200
K14311	-
K14316	-
K14317	-
K14314	EMB3012
K14315	-
K14318	MOS7
K14319	RANGAP1 RANGAP2
K04095	-
hsa_Q96LK1	-
K01578	AT4G04320
K02008	-
K05059	-
K05058	-
K02002	-
K13333	-
K13335	Sse1
K13337	PEX19-1 PEX19-2
K13336	PEX3 PEX3-1
K13339	Pex6
K13338	Pex1
K15405	CYP96A15
K15404	CER1
K15406	WSD1
K15401	CYP86A1
K15400	AT5G41040
K15403	HTH
K15409	-
K16819	-
K16817	-
K16816	-
K12339	-
K12318	-
K12319	-
K12316	-
K12317	-
K12311	-
K12312	-
K12313	-
K03064	Rpt4a AT1G45000
K03065	Rpt5a Rpt5b
K03066	Rpt6a AT5G20000
K03060	-
K03061	AT1G53780 Rpt1a
K03062	AT2G20140 Rpt2a
K08956	FtsH10 FtsH3
K11665	Ino80
K11664	Swc2
K03068	-
K11660	-
K11663	Sef
K11662	AtaRp6
K13809	-
K13806	-
K13805	-
K13804	-
K13803	-
K13802	-
K13800	Pyr6 AT4G25280 AT3G60180
K06659	-
K06128	-
K06129	-
K06126	AT3G24200
K06655	-
K06124	-
K06125	AtpPt1
K06650	-
K06651	-
K04440	-
K04447	-
K17497	-
K04333	-
K00006	AT5G40610
K11400	-
K11402	-
K11405	-
K11404	-
K11407	Hda05 Hda18
K00797	SpdS3 SpdS2 SpdS1 Acl5
sce_YMR006C	-
K02470	-
K07529	-
K07528	-
K07299	-
K07298	-
K07525	-
K07296	-
K07295	-
K07526	-
K07293	-
K07520	-
K07835	-
K07834	-
K10756	EMB2775 RFC3
K10205	-
K10206	Agd2
K10755	EMB1968 RFC2
K10752	Msi3 Msi2 Fve Nfc5 Msi1
K10753	Asf1b Sga2
K10750	-
K10751	Fas2
K01966	-
K01965	-
K01963	-
K01962	Cac3
K01961	Cac2
K01969	MccB
K01968	MCCA
K07748	3BETAHSD/D1
K11839	-
K01298	-
K03878	AT2G07785
K01291	-
K01293	-
K01294	-
K01297	-
K02922	AT1G52300 AT3G16080 AT1G15250
K02923	AT2G43460 AT3G59540
K02920	AT5G02450 AT3G53740 AT2G37600
K05601	-
K05606	-
K05607	AT4G16800
K05604	-
K05605	AT4G31810 AT2G30660 AT3G60510 AT2G30650 AT1G06550 Chy1
K05609	Uch3
K00214	-
K00215	AT2G44040 AT3G59890 Crr1
K00213	Dwf5
K00211	-
K00218	Por_c PorA PorB
K00219	-
K04515	-
K04514	-
K01740	-
K04511	-
K04510	-
K04513	-
K04512	-
K01749	HemC
K09708	-
sce_YOR383C	-
K09595	AtsPp
K09593	-
K09590	Br6Ox1
K09591	Det2
K14432	EEL AREB3 ABF2 ABF3 GBF4 ABF1 AT5G44080 ABF4
K14431	TGA6 AT1G08320 AT1G77920 PAN AT5G06839 TGA1
K08187	-
K06816	-
K12871	AT3G05070
K12870	AT3G18790
K12873	AT4G21110
K12872	AT1G07360 AT5G07060 AT2G29580
K12875	AT4G39680
K12874	EMB2765
K12877	MagO
K12876	Y14
K12879	THO2
K12878	THO1
K03521	-
K03522	ETFALPHA
K03527	Hdr
K03526	Hds
K03528	-
K02210	Prl
K02211	-
K02212	MCM4
K02213	-
K02215	-
K02216	-
K02217	-
K02218	Ckl2 Ckl10
K02219	-
K16174	-
K16175	-
K16172	-
K06497	-
K07198	-
K07199	-
sce_YGR282C	-
K07195	-
K07196	-
K07197	-
K07190	-
K07191	-
K07192	-
K07193	-
K07990	-
K08744	Cls
K08745	-
K08746	-
K08740	Msh4
K08743	-
K08748	-
K06823	-
K09834	Vte1
K10439	-
K06820	-
K09832	CYP710A4 CYP710A3 CYP710A2 CYP710A1
K09839	Npq1
K09838	Aba1
eco_b2665	-
K11343	-
K11341	Gas41
K11344	-
K10697	-
K10696	Hub1
K10695	RinG1b
K10693	-
K10691	Big
K00175	-
K00174	-
hsa_F8VSD1	-
K04078	Cpn10
K04079	Hsp81.4 HSP90.1 Hsp81-3 HSP81-2
K04077	HSP60-3A AT1G26230 HSP60-2 CPN60B AT5G56500 AT3G13470 Hsp60
K04072	-
hsa_Q9P1U1	-
K14592	-
K05030	-
K05034	-
K14840	-
K13648	GauT12 GauT13 GauT10 GauT11 GauT14 Lgt5 GauT15 Qua1 GauT9 GauT1 GauT2 GauT3 GauT4 GauT6 GauT7
K13645	-
K13644	-
K13647	-
K13646	-
K13643	-
K15428	-
hsa_Q53FS0	-
K15422	AT5G09290 SAL2 AT5G63990
K15420	-
K03259	Eif4e eIF4E3 AT1G29550 NcbP
K02027	-
K02021	AtaTh12
K02020	-
ath_AT1G22400	UGT85A1
K02029	-
K03885	NDB4 Nda2 Ndb1 Ndb2 Ndb3
hsa_C9JFL5	-
K03088	-
K03086	-
K03087	-
K03084	-
K03083	AtsK42 Sk13
K13863	-
K06108	-
K06109	-
K12190	AT5G04920
K12191	Vps2.1 VPS2.2
K12196	AT1G08270 Skd1
K12197	VPS46.2 VPS46.1
K12194	Snf7.2 Snf7.1
K12195	VPS20.2 VPS20.1
K06100	AT1G27595 ESP4
K06102	-
K12199	AT4G26750
K06106	-
K06107	-
K04858	-
K04859	-
K11647	AtcHr12
K11644	Snl4 Snl3
K11643	Pkl
sce_YDR130C	-
K11649	Chb3
K11648	Bsh
K10594	-
K10595	-
K10596	-
K10597	AT5G15400
K10590	Kak UPL4
K10591	Upl5
K10592	Upl2 UPL1
K10593	-
K10598	PUB49
K10599	MAC3A MAC3B
K12736	Cyp71
K12735	Cyp59
K12732	-
K12733	AT2G36130
sce_YNR067C	-
K07509	-
K07508	-
K16343	-
K16342	-
K16341	-
K16340	-
K11427	-
K11426	Sdg37
K16344	-
K11429	-
K11428	-
K10771	-
K10772	AT4G36050
K10773	-
K10775	Pal1 Pal3 Pal2 Pal4
K10776	-
K10777	AtlIg4
K00140	AldH6b2
K01900	AT2G20420
K01903	-
K01902	-
K01904	4cl5 4cl3 4cl2 4cl1 AT4G05160 AcoS5
K01907	-
K14289	Hst
K01908	-
K00411	AT5G13430 AT5G13440
K07763	-
K07760	CdkE CdkB1
K07767	Erh3
K07766	-
K07765	-
K07769	-
K00413	AT3G27240 AT5G40810
hsa_B4DT29	-
K02516	Skb1
K04684	-
K04681	-
K04680	-
K04682	-
K04688	-
K09025	-
K09023	-
K09020	-
K09021	-
K02908	AT1G77940 AT3G18740 AT1G36240
K02909	-
K02904	AT5G65220
K02905	AT3G06680 AT3G06700
K02906	AT2G43030 RPL3P
K02907	AT5G55140
K02900	Rpl27ab AT1G70600
K02901	AT3G22230 AT2G32220 AT4G15000
K02902	-
K02903	AT4G29410 AT2G19730
K00230	-
K00231	PpoX HemG2
K00232	Acx4 Acx5 Acx6 Acx1 Acx2 Acx3
K00234	Sdh1-1 Sdh1-2
K00235	Sdh2-2 Sdh2-3 Sdh2-1
K00236	-
K00237	-
K00239	-
K14686	-
K04539	-
K04538	-
K04537	-
K04536	Agb1
K01015	-
K04534	-
K04533	-
K04532	Axr1 Axl
K01011	AtrDh2 Mst1
K14455	-
K14454	-
K14459	-
K13403	-
K12859	Yls8
K12858	AT1G28180 AT2G33730
K12852	Mee5 AT5G25230
K12850	AtsRl1
K12857	AT2G43770
K12856	AT4G38780 Sus2
K12855	EMB2770
K12854	emb1507 AT2G42270
K03509	PolH
K03501	-
K03500	-
K03506	-
K03505	PolD4
K03504	PolD3
K02272	-
K02270	-
K02271	-
K02275	-
sce_YGR113W	-
K13456	Rin4
K13106	-
K13459	Rps2
K13105	-
K13102	-
K13103	-
K13100	-
K13101	Mos2
K11293	HirA
K12505	-
K12504	-
K12501	AthSt AT3G11950
K12500	-
K17751	-
K12502	Apg1
sce_YPL255W	-
K06596	-
K06594	-
sce_YLR110C	-
K07976	Ara-5 Ara-2 RabC2a RabB1c RabA4d RabA4b Lip1 AtrAb8a AtrAbg3a AtgB2 Rha1 RabG3b RabG3e AtrAb7a AtrAb1a RabA5e Ara6 Ara7 Ara4 Rab6a AtrAba4c AtfP8
K07977	AtaRf1 ArfA1d Arf1a1c AtsAr2 AtaRfb1b
K07974	-
K07975	AraC9 Rop1 Rop2 AraC2 AraC3 AraC1 Rop9 AraC5 Rop10 AraC10 AraC6
K07972	-
K07970	-
K10903	-
K10902	-
K10901	RECQI1 RecQ4a RecQl3
K10908	Sca3
K09812	-
sce_YML104C	-
K11365	-
K11366	Ubp22
K11367	Chr5
K11360	-
K11361	-
K11362	-
K11363	-
K11368	-
bsu_BSU07440	-
K10014	-
K10017	-
K10011	-
K10010	-
K10013	-
K10012	-
K04237	-
K04233	-
K15628	-
K15625	-
K15627	-
K15620	-
K15623	-
K15622	-
K13667	-
K01466	AtaLn
K01464	PYD2
K01465	Pyr4
K01462	Pdf1a Pdf1b
K01463	Ilr1 Ill1
K01460	-
K01468	-
K01469	Oxp1
K09255	-
K09250	CsdP1
hsa_P62736	-
K09259	-
K01543	-
K02041	-
K02040	-
K05011	-
K05546	Gcs1 Rsw3
K02045	-
K08020	-
K05543	-
K02049	-
K02048	-
K05019	AT5G62290
K05662	-
K02943	AT2G27710 AT3G28500 AT3G44590 AT5G40040 AT2G27720
K17108	-
K05665	-
K05666	-
K14710	-
K02947	AT5G41520 AT5G52650 AT4G25740
K06162	-
K06163	-
K06166	-
K09647	-
K06164	-
K09645	ScpL50
K09648	AT3G08980
K03175	-
K11954	-
K10348	-
K04839	-
K11992	-
K11997	-
K11996	Cnx5
K06787	-
K15787	UGT78D1
K10578	Ubc32
K10579	AT2G18600 RCE1
K10576	Ubc5 Ubc6
K10577	Sce1
K10575	Ubc13 Ubc14 Ubc7
K10572	AT1G22100 IPK1
K10573	Ubc1 AtuBc2 Ubc3
K06788	-
K10571	Det1
K16679	-
K16678	-
K07562	AT2G03820
K13885	-
K10719	-
K10712	AT3G58670 AT2G42670 AT5G15120
K10717	Cyp735a1 Cyp735a2
K01929	-
K01928	-
spo_SPAC24B11.11c	-
K01923	Pur7
K01922	AT5G02080 COAB
K01921	-
K01920	Gsh2
K01925	-
K01924	-
K11560	-
K01068	AT1G01710
K16942	-
hsa_P0CG38	-
K12755	-
hsa_P0CG39	-
K05838	-
K15294	-
K15296	-
K15290	-
K15292	-
K15293	-
K00780	-
K00784	Trz4 Trz3
K00787	Fps2 Fps1
K00036	G6pD1 G6pD2 G6pD3 G6pD4 G6pD5 G6pD6
K00789	Sam-2 SAM1 Mat3 Mto3
K00034	-
K00033	AT5G41670 AT1G64190 AT3G02360
K00030	IDH-V Idh2 Idh1 IDH-IV IDH-VI IDH-III
K00031	IcdH cICDH AT5G14590
K01259	Pip
K01258	-
K01255	AT4G30910 AT4G30920 AT2G24200
K01254	AT5G13520
K01257	-
K01256	AT1G63770
K01251	MEE58 SahH2
K01250	-
K01253	-
K09001	-
K08238	Xxt5 Xt1 Xt2
K08232	AtmDar1 AtmDar2 MdaR4 MDAR6 MdhAr
K08233	Mes3 Mes9 Mes5 Acl
K08235	Xtr6 Xtr7 Xtr4 Xth33 ExgT-a3 Xtr3 Xth21 Xth20 Xth9 Xtr8 Xtr9 Xth18 Xth3 Xth19 MerI5b Tch4 Xth17 Xtr2
K08237	Gt72b1
K00259	-
K00252	-
K00253	Ivd
K00251	-
K00254	PyrD
K00255	-
K01079	Psp
K01078	Pap3
K04550	-
K04552	-
K04555	-
K04554	Ubc33 Ubc34
K01077	-
K04556	-
K02929	AT4G14320 AT3G23390
K01062	-
K11483	-
K02784	-
hsa_Q9Y615	-
K12816	AT1G10580
K12815	EMB3011
K01787	-
K01785	AT3G17940 AT3G47800
K01784	Uge3 Uge2 Uge1 Uge5 Rhd1
K01783	AT3G01850 Rpe AT1G63290
K01782	-
K02527	KDTA
K02524	-
K02522	-
K02523	-
K02520	-
eco_b4243	-
K02258	AT1G02410
K02259	Cox15
K05208	-
K03781	Cat1 Cat2 Cat3
K03783	-
K03782	-
K03785	-
K03784	-
K03787	AT4G14930 AT1G72880
K03788	-
K13129	-
K13430	Pbs1
K13431	AT4G30600
K13126	PAB7 PAB6 PAB5 PAB4 PAB3 PAB2 PAB1 PAB8 AT3G52150
K13127	-
K01067	-
sce_YDR077W	-
hsa_Q562N1	-
K03124	AT3G29380 AtpBrp TfiIb AT3G57370 AT3G10330
hsa_Q562N3	-
hsa_Q562N2	-
K03121	-
K03120	Tbp2 Tbp1
K03123	AT4G24440
K03122	AT1G07480 AT1G07470
K08836	-
hsa_Q562N8	-
K08834	-
K03129	TAF4B TAF4
K03128	Taf2
K08831	-
K12525	-
K12524	AK-HSDH_I AK-HSDH_II
K12529	-
K12528	-
K16066	-
K16065	-
K07953	SAR1B SARA1A AT3G62560
K08780	-
sce_YMR294W	-
sce_YGR279C	-
K10960	AT1G74470
K10967	-
K09873	DelTa-tip Tip1 Tip3 Tip2 Tip5 Tip4
K09872	Pip1a Pip3 Pip1c Pip2 Pip2e Pip1b Pip2a Pip2b Rd28 Pip1
K09875	Sip2 Sip1a
K09874	Nlm1 Nip7 Nip6 Nip5 Nip4 Nip2 Nip1
K06316	AT5G07630
K11380	-
hsa_C9JUM1	-
K10381	-
K10380	-
K10389	TubG1 Gcp2
K04035	Crd1
K10038	-
K10036	-
K10034	-
K15605	-
hsa_Q53G99	-
K10537	-
K13600	Ch1
K13606	NOL NYC1
K15464	-
K05787	-
K05789	-
K05788	-
sce_YAL047C	-
K01440	-
K01442	-
K01443	-
K01444	AT5G61540
K01446	-
K01448	-
K09275	-
K09272	AthMg
K08008	-
K08007	-
K02067	-
K02065	-
K02064	-
K03331	-
K12958	-
K12957	-
hsa_Q562W8	-
K14735	-
K14736	-
K14737	-
K14738	-
K14739	-
K06148	-
K09669	-
K09664	-
K06145	-
K09667	Sec
K06140	-
K09662	-
K17388	-
K17387	-
K11502	-
K11979	-
K11600	Rrp41
K11971	Nhl8
K10558	-
K10551	-
K10555	-
K12779	-
K12773	-
K02469	-
K07235	-
K07541	AT5G46850
hsa_G3V1Y1	-
sce_YOL069W	-
K10734	Ttn10
K10735	Sld5
K10736	Mcm10
K10737	Mcm8
K10730	-
K10732	Psf1
K10733	Psf2
K00011	AT2G37790
K00012	Ugd1 AT5G15490 AT3G01010 AT3G29360 AT5G39320
K00013	AthDh
K00014	-
K10739	Rpa2
K00016	AT4G17260
K09062	-
K09063	-
K09060	Obf5 Tga4 AhbP-1b Gbf3 Gbf2
K08252	-
K08253	-
K00274	-
K00275	-
K00276	AT2G42490
K00277	-
K00272	-
K00273	-
K00278	Ao
K00279	Ckx7 Ckx4 Ckx5 Ckx2 Ckx3 Ckx1
K15816	LUP1
K01277	-
K01275	-
K01271	-
K01270	-
K01279	-
K01278	-
K05197	-
K05195	-
K05198	-
K05199	-
K00906	-
K00907	-
K00904	-
K00900	F2kP
K00901	AtdGk2 Dgk1
K00909	-
hsa_P68133	-
K04572	-
K04571	-
K04570	-
K04577	-
K04575	-
K04574	-
K01059	-
K02500	-
K02501	-
K02502	-
K02503	-
K05224	-
spo_SPCC613.04c	-
K01008	-
sce_YKR083C	-
K13414	MekK1
K13415	Bri1
K13416	Bak1
K13141	-
K13411	-
K13412	CdpK19 Cpk14 Cpk15 Cpk13 Cpk30 Cpk31 Cpk33 Cpk2 Cpk23 Cpk22 Cpk21 Cpk20 Cpk27 Cpk26 Cpk24 CDPK2 Cpk4 Cpk5 Cpk6 Cpk7 Cpk1 CdpK9 CdpK6 Cpk9 CDPK1
K13413	AtmKk4 AtmKk5
K13418	SerK1
hsa_L0R5C4	-
hsa_Q562L9	-
hsa_Q562L3	-
hsa_Q562L2	-
hsa_Q562L6	-
hsa_Q562L5	-
K08818	-
K08819	CdkC
K03109	AT3G49100
K03108	AT1G67680 AT1G67650
K03107	AT5G61970
K03106	AT5G49500 AT1G48900 CPSRP54 ATHSRP54A
K03105	AT1G48160
K03104	AT2G43640
K08814	-
K08815	-
K08816	-
K03100	PlsP1 TPP
K06551	-
K06550	-
K06558	-
K06089	-
K06088	-
K06081	-
K06083	-
K06082	-
K06084	-
K06087	-
K06086	-
K09851	-
spo_SPCC1739.11c	-
K00489	-
K00488	-
K00487	C4h
K00486	-
K00485	-
K07684	-
K07685	-
K07687	-
K07936	Ran-1 AtrAn4 Ran3 Ran2
K07937	-
K07689	-
K04012	-
eco_b1376	-
K10054	-
K10056	-
K01120	-
K05750	-
K13627	-
K13624	-
spo_SPCC576.03c	-
K15485	-
K05768	-
K05765	Adf1
K05767	-
K08585	-
K05760	-
K05763	-
K05762	-
K01428	-
K01420	-
K01426	-
K01427	Ure
K01424	-
K01425	-
K09218	-
K09213	-
K09215	-
K09216	-
K08069	-
K14283	-
K14284	-
K14285	Ntl Ntf2a
K14538	AT3G07050
K14539	AT2G27200 AT1G08410
K14536	AT3G22980
K14537	AT1G52980
K14535	AT5G60340
K08065	-
K14530	-
K08066	-
K12972	-
K12975	-
K14759	AT1G68890
K14752	-
K14753	-
K14757	-
K14754	-
sce_YLR037C	-
sce_YKL042W	-
K03352	-
K03353	APC6
K03350	Cdc27a Hbt
K03351	AT4G21530
K03357	APC10
K03354	AT2G39090 AT4G10000
K03355	Apc8
K03359	-
K12229	-
K08056	-
K11957	-
K16676	-
K11955	-
K16674	-
K11953	-
K16672	-
K11951	-
K11950	-
K11959	-
K11958	-
K02723	PsbY
K13882	-
hsa_B7ZAP6	-
K13889	-
K12754	-
K12404	-
K12756	-
K12757	-
K12750	-
K12751	-
K12752	-
K12758	-
K12759	-
K08059	-
K12155	Cyp79f2
K07213	-
K07210	-
K11758	-
K11481	-
K16451	-
K11488	-
sce_YJL042W	-
K14525	-
K14296	-
K14294	Pym
K08669	-
K14293	AT5G53480
K08660	-
K10532	-
K10536	EMB1873
K14291	-
K14522	-
K11225	-
K11224	-
K11227	-
hsa_Q562W9	-
K11221	-
K11220	-
K11223	-
hsa_Q562W2	-
hsa_Q562W3	-
hsa_Q562W6	-
K11228	-
hsa_Q562W4	-
hsa_Q562W5	-
K00072	-
K00070	-
K00071	AthSd2
K00076	-
K00077	-
K00074	AT3G15290
K00075	-
K00078	-
K00079	-
K02291	PSY
K09046	-
K09043	-
K02297	-
K08271	-
K08272	-
K00299	-
K00297	MthFr1 MthFr2
K00294	AldH12a1
K00295	-
K00293	-
K00290	-
K14939	-
K01210	-
K01213	AT3G07850 Pga4
K02740	-
sce_YOR382W	-
K00920	-
K00921	FAB1D FAB1A FAB1C FAB1B
K00922	-
K00923	-
K00924	Crk Cki1 Bin2 Cpk17 CdkB2 Cpk34 Cpk32 AtmPk17 Ckl13 CipK23 Clv1 Acr4 Apk2a AtsK11 AtsK32 SrpK4 Ckl8 Ckl3 Ckl6 Ckl4 Hsl1 Tmk1 Ost1
K00925	-
K00926	-
K00927	Pgk AT1G56190 Pgk1
K00928	Ak3 CARAB-AK-LYS AK-LYS1
K04599	-
K04596	-
K15839	-
K15348	-
K02298	-
K02290	-
K02563	AT1G73740
K02292	-
K02293	Pds3
K02295	Uvr3
K02564	-
K02565	-
K13169	-
K13164	-
K13165	-
K13162	-
K13163	-
spo_SPAC1F5.04c	-
K08873	-
K08870	-
K08876	-
K08874	-
K08875	-
K08878	-
mpn_MPN294	-
K03168	-
K03163	-
K03165	TOP3A AT2G32000
K03164	TopIi
K06530	-
K06533	-
K06532	-
K12568	-
K12563	-
K12562	-
K12561	-
K12567	-
K12566	-
K11038	-
sce_YJL160C	-
sce_YMR157C	-
sce_YDR106W	-
K02163	-
sce_YNL066W	-
K07918	-
K07668	-
K07664	-
K07917	-
K07662	-
K07660	-
K07661	-
K02957	AT5G59850 RPS15A rps15ab rps15ae RPS15AD AT2G39590
sce_YFL037W	-
K02955	AT3G52580 AT2G36160 AT3G11510
K05673	-
K05747	-
K05746	-
K05744	-
K05743	-
K05742	-
K05740	-
K09182	-
K09184	-
K09187	-
K09186	-
K08592	Esd4
K08596	-
K04436	-
K04437	-
K04432	-
K01153	-
K04430	-
K04431	-
K01408	-
K01409	-
K04438	-
K04439	-
K09237	-
K05679	-
K05678	-
K08042	-
K05520	-
K07836	-
K05529	-
K05528	-
K14510	CTR1
K14513	EIN2
K14514	EIN3 EIL2 EIL1
K14515	EBF2 EBF1
K05948	-
K01754	Omr1
K04507	-
K02175	-
K02177	-
K04505	-
K02170	-
K02178	-
K01752	-
K03374	-
K03376	-
K03805	-
K03372	-
K03801	AT4G31050 Lip2
K17697	-
K17698	-
K17699	-
K10807	Rnr1
eco_b1836	-
K10370	-
K10803	ATXRCC1
K13205	-
K13203	-
K10373	-
K13209	-
K13208	-
hsa_F8WB63	-
K08171	-
K08601	-
K08606	-
K06276	Pdk1
K06274	-
K06275	-
K06272	-
K06273	-
K06270	-
K06271	-
K06278	-
K06279	-
K11205	-
K11204	-
hsa_Q562U0	-
hsa_Q562U1	-
hsa_Q562U2	-
K00058	AT3G19480 Eda9 PgdH
K00059	AT5G18210 AT3G04000 AT4G13180 AT3G03980 AT1G24360
K00728	-
K00729	AT2G39630
K00726	Cgl1
K00725	-
K00051	AT5G58330
K00720	-
K00721	AT1G20575
hsa_G5E9R0	-
K14188	-
K14187	-
K01239	-
K01238	BglU32 BglU31 BglU27
K01899	AT5G23250 AT5G08300
K04605	-
K01896	-
K01895	ACS
K01230	MNS1 MNS2 MNS3
K01237	BglU28 BglU29 Pen2
K04600	-
K01890	AT1G72550
K02768	-
K02769	-
K02760	-
K00948	PRS2 AT2G35390 AT2G44530
K00949	Tpk2
K00942	AT3G06200 AGK2
K00943	ZEU1
K00940	NdpK2 NDPK3 AT4G23900 NDPK1 AT1G17410
K00941	-
K00946	-
K00944	-
K00945	-
K01097	-
K01092	IMPL1
K01091	AT5G36790 PGLP1
K01090	KapP Ahg1 Abi2 Abi1 Bsl1 TopP5 TopP3 Ppx1 Ppx2
K01099	-
K01098	-
K15360	-
K15361	-
hsa_B4DWQ5	-
K15365	-
sce_YJL159W	-
K03495	-
K03494	-
K02540	MCM2
sce_YDR071C	-
K02542	MCM6
K02543	-
K17065	-
K17063	-
K03635	AT2G43760 Cnx7
K03142	Gtf2h2
K03141	AT1G55750 AT3G61420
K03140	-
K03147	ThiC
K03146	-
K03144	AT4G17020
K08854	-
K03149	-
K08857	Nek6 AtnEk2 AtnEk1 AtnEk5 AtnEk4 AtnEk3
K08850	AtaUr1 AtaUr3 AtaUr2
K08852	-
K08853	-
K06519	-
K06045	-
K06041	-
K06514	-
K09892	-
K07910	-
K07648	-
K07390	-
K10895	-
K10896	-
K10891	-
K07026	-
K10099	-
K01395	-
K01392	-
K01393	-
K02981	AT2G41840 AT1G59359 Xw6 AT1G58684 AT3G57490 AT1G58983
K05720	-
K07665	-
K05725	-
K05726	-
K05729	-
K05728	-
K00555	-
K00557	-
K00551	-
K00550	-
K00553	-
K00552	-
K00559	Smt1
K00558	Met1 Mee57 DnmT2 Dmt2 AT4G08990 Cmt1 Cmt2 Cmt3
K04410	-
K04411	-
K04412	-
K01173	-
K04414	-
K01176	Amy1
K01177	Ct-Bmy BAM1 BAM2
K01179	GH9A4 GH9B17 GH9B18
sce_YGL061C	-
K02983	AT5G56670 AT4G29390 AT2G19750
K14572	AT1G67120
K14573	AT2G21440
K05099	-
K14571	CDC48C
K14574	AT1G43860
K14575	-
K05093	-
K05091	-
K05090	-
K05096	-
K05094	-
K11653	-
spo_SPCC1223.02	-
K02159	-
K02157	-
K02156	-
K02155	AVA-P1 Ava-p2 VHA-C3 Ava-p4 AT2G16510
K02154	Vha-a1 Vha-a3 Vha-a2
K02153	-
K02152	VMA10 Vag2 VatG3
K02151	AT4G02620
K02150	Vha-e3 Vha-e2 Tuf
K08957	-
K03063	Rpt3
K03828	-
K08958	-
K03821	-
K03824	-
K12799	-
K01231	GmiI
K12795	Sgt1a Sgt1b
K12796	-
K07258	-
hsa_Q6S8J3	-
K07253	-
K07252	AT5G03080
K07250	-
K14498	SNRK2.5 SNRK2.7 SNRK2.1 SNRK2.3 SNRK2.2 SNRK2.9 AT1G78290 SNRK2.10 AT1G10940
K06252	-
K06254	-
K06255	-
K06709	-
K06258	-
K06259	-
K06704	-
K06700	AT3G53970
K06657	-
K06123	-
K11269	-
K11268	-
hsa_Q562S4	-
hsa_Q562S5	-
hsa_Q562S2	-
hsa_Q562S0	-
K11262	Acc1
hsa_Q562S8	-
K10790	-
eco_b0897	-
K00700	Sbe2.2 Sbe2.1
K10798	App AT5G22470 ParP2
K00703	Ssi1 AtsS2
K00705	Dpe2 Dpe1
K00706	-
sce_YBR301W	-
K10134	-
K10139	-
K04623	-
sce_YJL026W	-
sce_YLR286C	-
K00965	AT5G18200
K00966	AT1G74910 AT3G55590
K00967	PecT1
K00962	AT5G14580 Rif10
K00963	Ugp UGP2
hsa_A8K3K1	-
K14966	-
K00968	Cct1
K14962	AT5G14530
K15309	-
K15303	-
K15306	-
K15307	-
K15304	-
K15305	-
K02435	-
K09372	-
K09373	-
K08367	-
K02700	-
K02701	PsaN
K02706	PsbD
K02707	PsbE
K02704	PsbB
K02705	PsbC
K02708	PsbF
K02709	PsbH
eco_b3510	-
K01611	Bud2 SamDc
K01610	Pck2 Pck1
K01613	Psd3 PSD2 Psd1
K01619	-
K01618	-
K02831	-
K02833	-
K02835	Apg3
K05288	AT5G17250
K02837	-
K02838	Rrf
K05284	Pnt1
K05285	AT3G01380
K05282	Yap169 Ga20ox1
K05280	Tt7
sce_YNL327W	-
K03610	-
K06067	Hda17 Hda9 Hda7 Hda6 Hd1
K06066	-
K06065	-
K06064	-
K06063	SKIP
K06062	Hag1
K06069	-
K06068	-
sce_YLR040C	-
K16794	-
K16795	-
K12475	-
K12474	-
K12477	-
K12476	-
K12471	AT5G11710 AT3G59290 AT2G43160
K12470	-
K12473	-
K12472	-
K12479	VPS45
K12478	-
K11076	-
K11072	-
K11073	-
K09188	-
K10306	-
spo_SPBC244.01c	-
K15173	-
K05749	PIR121
K05748	-
K05916	-
K05917	CYP51G1
K00392	Sir
K00390	-
K01885	AT5G26710 Ers
K01379	-
K01373	-
K01370	-
K01371	-
K01227	AT5G05460 AT3G11040
K05879	-
K05878	-
K05875	-
K05702	-
K05701	-
K05876	-
K05871	-
K05870	-
K05705	-
K05704	-
K00574	-
K00573	PimT2
K15795	TPS13
K01118	-
K01119	-
K01405	-
K01112	-
K01110	PTEN1 AtpEn2 AtpEn3
K15799	AT5G44630
K01114	NPC3 NPC2 NPC1 NPC6 NPC5 Npc4
