SACOL2702	hisD	K00013	histidinol dehydrogenase 
SACOL1103	pdhB	K00162	pyruvate dehydrogenase complex E1 component subunit beta 
SACOL0837	gapR	K05311	glycolytic operon regulator
SACOL1285	nusA	K02600	transcription elongation factor NusA
SACOL1523	recQ2	K03654	ATP-dependent DNA helicase RecQ 
SACOL0838	gapA1	K00134	glyceraldehyde 3-phosphate dehydrogenase 
SACOL0839	pgk	K00927	phosphoglycerate kinase 
SACOL2685	cap1C	K01104	capsular polysaccharide biosynthesis protein Cap1C
SACOL1448	sucB	K00658	dihydrolipoamide succinyltransferase 
SACOL1449	sucA	K00164	2-oxoglutarate dehydrogenase E1 component 
SACOL2721	nixA	K07241	high-affinity nickel-transport protein
SACOL2689	icaA	K11936	N-glycosyltransferase
SACOL0536	ksgA	K02528	dimethyladenosine transferase 
SACOL0533	metS	K01874	methionyl-tRNA synthetase 
SACOL0539	purR	K09685	pur operon repressor
SACOL0538	ipk	K00919	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase 
SACOL2054	rpoF	K03090	RNA polymerase sigma factor SigB
SACOL2055	rsbW	K04757	serine-protein kinase RsbW 
SACOL2050	ilvA2	K01754	threonine dehydratase 
SACOL2117	fbaA	K01624	fructose-bisphosphate aldolase 
SACOL2116	murAB	K00790	UDP-N-acetylglucosamine 1-carboxyvinyltransferase 
SACOL1873	epiF	K01990	epidermin immunity protein F
SACOL2113	rho	K03628	transcription termination factor Rho
SACOL2112	rpmE2	K02909	50S ribosomal protein L31
SACOL2111	tdk	K00857	thymidine kinase 
SACOL2110	prfA	K02835	peptide chain release factor 1
SACOL1255	rimM	K02860	16S rRNA-processing protein RimM
SACOL1571	accC	K01961	acetyl-CoA carboxylase biotin carboxylase subunit 
SACOL0222	ldh1	K00016	L-lactate dehydrogenase 
SACOL1238	rpmB	K02902	50S ribosomal protein L28
SACOL0887	sei	K11040	enterotoxin type I
SACOL0886	sek	K11040	enterotoxin
SACOL1235	rpe	K01783	ribulose-phosphate 3-epimerase 
SACOL0015	rplI	K02939	50S ribosomal protein L9
SACOL0016	dnaB	K02314	replicative DNA helicase 
SACOL1736	fpg	K10563	formamidopyrimidine-DNA glycosylase 
SACOL0151	cap5P	K01791	UDP-N-acetylglucosamine 2-epimerase Cap5P 
SACOL0019	yycF	K07668	DNA-binding response regulator YycF
SACOL0400	ulaA	K03475	PTS system ascorbate-specific transporter subunit IIC
SACOL0407	glpT	K02445	glycerol-3-phosphate transporter
SACOL1280	cdsA	K00981	phosphatidate cytidylyltransferase 
SACOL1624	era	K03595	GTP-binding protein Era
SACOL1625	cdd	K01489	cytidine deaminase 
SACOL1626	dgkA	K00901	diacylglycerol kinase 
SACOL1622	glyS	K01880	glycyl-tRNA synthetase 
SACOL1937	pepS	K01269	aminopeptidase PepS 
SACOL1831	tal	K00616	translaldolase 
SACOL1837	metK	K00789	S-adenosylmethionine synthetase 
SACOL2652	clfB	K14192	clumping factor B
SACOL0124	deoB	K01839	phosphopentomutase 
SACOL0121	deoD1	K03784	purine nucleoside phosphorylase 
SACOL0123	deoC1	K01619	deoxyribose-phosphate aldolase 
SACOL1289	rbfA	K02834	ribosome-binding factor A
SACOL2577	crtM	K10208	dehydrosqualene synthase 
SACOL2576	crtN	K10209	squalene synthase 
SACOL1719	hemA	K02492	glutamyl-tRNA reductase 
SACOL1490	pbp2	K05366	penicillin-binding protein 2
SACOL1497	papS	K00974	tRNA CCA-pyrophosphorylase 
SACOL1496	birA	K03524	birA bifunctional protein
SACOL1494	asnC	K01893	asparaginyl-tRNA synthetase 
SACOL1710	valS	K01873	valyl-tRNA synthetase 
SACOL1714	hemL1	K01845	glutamate-1-semialdehyde aminotransferase 
SACOL1715	hemB	K01698	delta-aminolevulinic acid dehydratase 
SACOL1716	hemD	K01719	uroporphyrinogen III synthase 
SACOL1717	hemC	K01749	porphobilinogen deaminase 
SACOL1650	nadD	K00969	nicotinate (nicotinamide) nucleotide adenylyltransferase
SACOL1652	aroE	K00014	shikimate 5-dehydrogenase 
SACOL1655	mtn	K01243	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
SACOL1304	recA	K03553	recombinase A
SACOL2508	galU	K00963	UTP-glucose-1-phosphate uridylyltransferase 
SACOL2509	fnbB	K13733	fibronectin binding protein B
SACOL1080	purM	K01933	phosphoribosylaminoimidazole synthetase 
SACOL1081	purN	K11175	phosphoribosylglycinamide formyltransferase 
SACOL1082	purH	K00602	bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase
SACOL1083	purD	K01945	phosphoribosylamine--glycine ligase 
SACOL2712	drp35	K02352	drP35 protein
SACOL2719	rarD	K05786	rarD protein
SACOL0877	gcvH	K02437	glycine cleavage system protein H
SACOL0873	aroD	K03785	3-dehydroquinate dehydratase 
SACOL1408	trpB	K01696	tryptophan synthase subunit beta 
SACOL1409	trpA	K01695	tryptophan synthase subunit alpha 
SACOL0971	rexA	K16898	exonuclease RexA
SACOL1159	sdhA	K00239	succinate dehydrogenase flavoprotein subunit 
SACOL1404	trpG	K01658	anthranilate synthase component II 
SACOL1405	trpD	K00766	anthranilate phosphoribosyltransferase 
SACOL1406	trpC	K01609	indole-3-glycerol-phosphate synthase 
SACOL1407	trpF	K01817	N-(5'-phosphoribosyl)anthranilate isomerase 
SACOL1401	tyrA	K04517	prephenate dehydrogenase 
SACOL1150	rnhC	K03471	ribonuclease HIII 
SACOL1403	trpE	K01657	anthranilate synthase component I 
SACOL1016	fabI	K00208	enoyl-ACP reductase 
SACOL1013	mgtE	K06213	magnesium transporter
SACOL1399	dmpI	K01821	4-oxalocrotonate tautomerase 
SACOL1011	ppnK	K00858	inorganic polyphosphate/ATP-NAD kinase 
SACOL1010	relA1	K07816	GTP pyrophosphokinase 
SACOL1396	fmtC	K14205	fmtC protein
SACOL1397	msrA	K07304	methionine sulfoxide reductase A 
SACOL1390	parC	K02621	DNA topoisomerase IV subunit A 
SACOL2092	murAA	K00790	UDP-N-acetylglucosamine 1-carboxyvinyltransferase 
SACOL2628	betB	K00130	betaine aldehyde dehydrogenase 
SACOL2091	fabZ	K02372	(3R)-hydroxymyristoyl-ACP dehydratase 
SACOL2096	atpG	K02115	F0F1 ATP synthase subunit gamma 
SACOL2097	atpA	K02111	F0F1 ATP synthase subunit alpha 
SACOL2094	atpC	K02114	F0F1 ATP synthase subunit epsilon
SACOL2095	atpD	K02112	F0F1 ATP synthase subunit beta 
SACOL2623	mqo2	K00116	malate:quinone oxidoreductase 
SACOL2622	fdaB	K01623	fructose-1,6-bisphosphate aldolase 
SACOL2627	betA	K00108	choline dehydrogenase 
SACOL2154	rocF	K01476	arginase 
SACOL2398	nirB	K00362	nitrite reductase [NAD(P)H], large subunit 
SACOL2253	femX	K11693	femX protein
SACOL2393	narJ	K00373	respiratory nitrate reductase subunit delta
SACOL2392	narI	K00374	respiratory nitrate reductase subunit gamma 
SACOL2395	narG	K00370	respiratory nitrate reductase subunit alpha 
SACOL2394	narH	K00371	respiratory nitrate reductase subunit beta 
SACOL2397	nirD	K00363	nitrite reductase [NAD(P)H], small subunit 
SACOL1790	murC	K01924	UDP-N-acetylmuramate--L-alanine ligase 
SACOL1279	uppS	K00806	UDP pyrophosphate synthase 
SACOL1278	frr	K02838	ribosome recycling factor
SACOL1320	glpK	K00864	glycerol kinase 
SACOL1272	codY	K03706	transcriptional repressor CodY
SACOL1271	hslU	K03667	ATP-dependent protease ATP-binding subunit HslU
SACOL1270	hslV	K01419	ATP-dependent protease peptidase subunit
SACOL1277	pyrH	K09903	uridylate kinase 
SACOL1276	tsf	K02357	elongation factor Ts
SACOL1274	rpsB	K02967	30S ribosomal protein S2
SACOL1478	ald1	K00259	alanine dehydrogenase 
SACOL1572	accB	K02160	acetyl-CoA carboxylase, biotin carboxyl carrier protein
SACOL2659	aur	K01401	zinc metalloproteinase aureolysin 
SACOL2654	arcC2	K00926	carbamate kinase 
SACOL2655	arcD	K03758	arginine/ornithine antiporter
SACOL2656	arcB2	K00611	ornithine carbamoyltransferase 
SACOL2657	arcA	K01478	arginine deiminase 
SACOL1477	ilvA1	K01754	threonine dehydratase 
SACOL1974	nadE	K01916	NAD synthetase 
SACOL1977	pheA	K04518	prephenate dehydratase 
SACOL1970	sspB2	K08258	cysteine protease precursor SspB
SACOL0118	sodA1	K04564	superoxide dismutase 
SACOL1383	mscL	K03282	large-conductance mechanosensitive channel
SACOL1871	epiG	K01992	epidermin immunity protein F
SACOL1515	engA	K03977	GTP-binding protein EngA
SACOL2029	cscA	K01193	sucrose-6-phosphate hydrolase 
SACOL2026	agrA	K07707	accessory gene regulator protein A
SACOL2025	argC2	K07706	accessory gene regulator protein C
SACOL2024	agrD	K07800	accessory gene regulator protein D
SACOL2023	agrB	K07813	accessory gene regulator protein B
SACOL2022	hld	K11039	delta-hemolysin
SACOL0833	clpP	K01358	ATP-dependent Clp protease proteolytic subunit 
SACOL1173	hlY	K11032	alpha-hemolysin precursor
SACOL1565	argR	K03402	arginine repressor
SACOL1888	hemH	K01772	ferrochelatase 
SACOL1889	hemE	K01599	uroporphyrinogen decarboxylase 
SACOL0576	cysS	K01883	cysteinyl-tRNA synthetase 
SACOL0575	cysE	K00640	serine acetyltransferase 
SACOL0574	gltX	K09698	glutamyl-tRNA synthetase 
SACOL1880	lukD	K11038	leukotoxin LukD
SACOL1881	lukE	K11038	leukotoxin LukE
SACOL0276	yukA	K03466	diarrheal toxin
SACOL1887	hemG	K00231	protoporphyrinogen oxidase 
SACOL0693	tagA	K05946	teichoic acid biosynthesis protein
SACOL0758	fruK	K00882	1-phosphofructokinase 
SACOL2119	pyrG	K01937	CTP synthetase 
SACOL0020	yycG	K07652	sensory box histidine kinase YycG
SACOL0698	tagD	K00980	glycerol-3-phosphate cytidylyltransferase 
SACOL0699	pbp4	K07258	penicillin-binding protein 4
SACOL0754	norA	K08153	multi drug resistance protein (norA)
SACOL0451	ahpF	K03387	alkyl hydroperoxide reductase subunit F
SACOL0452	ahpC	K03386	alkyl hydroperoxide reductase subunit C
SACOL1619	dnaG	K02316	DNA primase 
SACOL1618	rpoD	K03086	RNA polymerase sigma factor RpoD
SACOL0458	xpt	K03816	xanthine phosphoribosyltransferase 
SACOL1614	nfo	K01151	endonuclease IV 
SACOL0593	fusA	K02355	elongation factor G
SACOL0592	rpsG	K02992	30S ribosomal protein S7
SACOL1758	ald2	K00259	alanine dehydrogenase 
SACOL0594	tuf	K02358	elongation factor Tu 
SACOL0572	radA	K04485	DNA repair protein RadA
SACOL0050	pls	K14195	methicillin-resistant surface protein
SACOL0937	dltC	K14188	D-alanine--poly(phosphoribitol) ligase subunit 2 
SACOL0936	dltB	K03739	DltB protein
SACOL0935	dltA	K03367	D-alanine--poly(phosphoribitol) ligase subunit 1 
SACOL0627	ung	K03648	uracil-DNA glycosylase 
SACOL0626	thiD1	K00868	phosphomethylpyrimidine kinase 
SACOL2340	gltS	K03312	sodium:glutamate symporter
SACOL0938	dltD	K03740	DltD protein
SACOL0622	atoB	K00626	acetyl-CoA acetyltransferase
SACOL1328	glnR	K03713	glutamine synthetase
SACOL1721	clpX	K03544	ATP-dependent protease ATP-binding subunit ClpX
SACOL1052	menD	K02551	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase 
SACOL1057	sspA	K01318	V8 protease 
SACOL1056	sspB1	K13715	cysteine protease precursor SspB
SACOL1727	infC	K02520	translation initiation factor IF-3
SACOL1054	menB	K01661	naphthoate synthase 
SACOL1729	thrS	K01868	threonyl-tRNA synthetase 
SACOL1351	cls1	K06131	cardiolipin synthetase 
SACOL1686	hisS	K01892	histidyl-tRNA synthetase 
SACOL1685	aspS	K01876	aspartyl-tRNA synthetase 
SACOL2539	srtA	K07284	sortase
SACOL1689	relA2	K00951	GTP pyrophosphokinase 
SACOL2664	manA2	K01809	mannose-6-phosphate isomerase 
SACOL2194	hysA	K01727	hyaluronate lyase 
SACOL2218	adk	K00939	adenylate kinase 
SACOL2219	secY	K03076	preprotein translocase subunit SecY
SACOL0994	oppF	K10823	oligopeptide ABC transporter ATP-binding protein
SACOL2214	rpsK	K02948	30S ribosomal protein S11
SACOL2215	rpsM	K02952	30S ribosomal protein S13
SACOL2740	rpmH	K02914	50S ribosomal protein L34
SACOL2217	infA	K02518	translation initiation factor IF-1
SACOL2210	cbiO	K16787	cobalt transporter ATP-binding subunit
SACOL2211	cbiO	K16786	cobalt transporter ATP-binding subunit
SACOL2199	budB	K01652	acetolactate synthase 
SACOL2213	rpoA	K03040	DNA-directed RNA polymerase subunit alpha 
SACOL0691	sirR	K03709	iron-dependent repressor
SACOL1764	thiI	K03151	thiamine biosynthesis protein ThiI
SACOL2698	hisA	K01814	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase 
SACOL2699	hisH	K02501	imidazole glycerol phosphate synthase subunit HisH 
SACOL1538	scpA	K05896	hypothetical protein
SACOL0801	murB	K00075	UDP-N-acetylenolpyruvoylglucosamine reductase 
SACOL1534	srrB	K07651	sensor histidine kinase SrrB
SACOL1535	srrA	K07775	DNA-binding response regulator SrrA
SACOL1536	rluB	K06178	ribosomal large subunit pseudouridine synthase B 
SACOL1537	scpB	K06024	segregation and condensation protein B
SACOL2694	geh	K01046	lipase 
SACOL2696	hisI	K11755	bifunctional phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP 
SACOL2697	hisF	K02500	imidazole glycerol phosphate synthase subunit HisF
SACOL1435	lysA	K01586	diaminopimelate decarboxylase 
SACOL2282	ureC	K01428	urease subunit alpha 
SACOL1125	ctaB	K02301	protoheme IX farnesyltransferase 
SACOL2280	ureA	K01430	urease subunit gamma 
SACOL1431	dapB	K00215	dihydrodipicolinate reductase 
SACOL1430	dapA	K01714	dihydrodipicolinate synthase 
SACOL1432	dapD	K00674	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase 
SACOL2323	hutI	K01468	imidazolonepropionase 
SACOL2324	hutU	K01712	urocanate hydratase 
SACOL2326	fosB	K11210	fosfomycin resistance protein FosB
SACOL2327	hutG	K01479	formimidoylglutamase 
SACOL0240	ispD	K00991	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase 
SACOL2069	kdpF	K01545	K+-transporting ATPase, F subunit 
SACOL2068	kdpA	K01546	potassium-transporting ATPase subunit A 
SACOL0245	lytS	K07704	sensor histidine kinase LytS
SACOL0247	lrgA	K05338	murein hydrolase regulator LrgA
SACOL0246	lytR	K07705	two-component response regulator
SACOL0248	lrgB	K05339	antiholin-like protein LrgB
SACOL2061	acpS	K00997	4'-phosphopantetheinyl transferase 
SACOL2060	alr	K01775	alanine racemase 
SACOL2067	kdpB	K01547	potassium-transporting ATPase subunit B 
SACOL2066	kdpC	K01548	potassium-transporting ATPase subunit C 
SACOL2100	atpE	K02110	F0F1 ATP synthase subunit C 
SACOL2101	atpB	K02108	F0F1 ATP synthase subunit A 
SACOL2104	upp	K00761	uracil phosphoribosyltransferase 
SACOL2105	glyA	K00600	serine hydroxymethyltransferase 
SACOL2261	moaA	K03639	molybdenum cofactor biosynthesis protein A
SACOL2263	moaD	K03636	molybdopterin converting factor subunit 1
SACOL2262	mobA	K03752	molybdopterin-guanine dinucleotide biosynthesis protein MobA
SACOL2264	moaE	K03635	molybdenum cofactor biosynthesis protein E
SACOL2267	moaC	K03637	molybdenum cofactor biosynthesis protein MoaC
SACOL1908	fumC	K01679	fumarate hydratase 
SACOL1756	pepQ	K01271	proline dipeptidase 
SACOL1549	zwf	K00036	glucose-6-phosphate 1-dehydrogenase 
SACOL1221	gmk	K00942	guanylate kinase 
SACOL0236	ispD	K00991	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase 
SACOL1223	coaBC	K13038	phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase
SACOL1224	priA	K04066	primosomal protein N`
SACOL0233	gutB	K00008	sorbitol dehydrogenase 
SACOL1228	fmt	K00604	methionyl-tRNA formyltransferase 
SACOL1229	sun	K03500	sun protein
SACOL1546	proC	K00286	pyrroline-5-carboxylate reductase 
SACOL0149	cap5N	K01784	capsular polysaccharide biosynthesis protein Cap5N
SACOL0793	nrdF	K00526	ribonucleotide-diphosphate reductase subunit beta 
SACOL0792	nrdE	K00525	ribonucleotide-diphosphate reductase subunit alpha 
SACOL0142	cap5G	K01791	UDP-N-acetylglucosamine 2-epimerase Cap5G 
SACOL0140	cap5E	K17716	capsular polysaccharide biosynthesis protein Cap5E
SACOL0591	rpsL	K02950	30S ribosomal protein S12
SACOL1943	vraS	K07681	sensor histidine kinase VraS
SACOL1942	vraR	K07694	DNA-binding response regulator VraR
SACOL1822	arsR	K03892	arsenical resistance operon repressor
SACOL1823	arsB	K03893	arsenical pump membrane protein
SACOL1820	ribD	K11752	riboflavin biosynthesis protein RibD 
SACOL0263	lytM	K08259	peptidoglycan hydrolase
SACOL1824	arsC	K03741	arsenate reductase
SACOL0098	sirB	K02015	iron compound ABC transporter permease SirB
SACOL0099	sirA	K02016	iron compound ABC transporter iron compound-binding protein SirA
SACOL0095	spa	K14196	immunoglobulin G binding protein A precursor
SACOL1610	sodA2	K04564	superoxide dismutase 
SACOL0018	purA	K01939	adenylosuccinate synthetase 
SACOL0150	cap5O	K02472	capsular polysaccharide biosynthesis protein Cap5O
SACOL0520	dnaX	K02343	DNA polymerase III subunits gamma and tau 
SACOL0522	recR	K06187	recombination protein RecR
SACOL0524	tmk	K00943	thymidylate kinase 
SACOL2562	ogt	K00567	methylated-DNA--protein-cysteine methyltransferase 
SACOL2564	feoB	K04759	ferrous iron transport protein B
SACOL0663	argS	K01887	arginyl-tRNA synthetase 
SACOL0660	adhP	K13953	alcohol dehydrogenase 
SACOL0823	uvrB	K03702	excinuclease ABC subunit B
SACOL0154	aldA1	K00128	aldehyde dehydrogenase 
SACOL0700	abcA	K18104	ABC transporter ATP-binding protein/permease
SACOL1769	rpsD	K02986	30S ribosomal protein S4
SACOL0461	guaA	K01951	GMP synthase 
SACOL0460	guaB	K00088	inosine-5'-monophosphate dehydrogenase 
SACOL1760	ackA	K00925	acetate kinase 
SACOL1762	tpx	K11065	thiol peroxidase
SACOL1642	rpsT	K02968	30S ribosomal protein S20
SACOL1643	holA	K02340	DNA polymerase III subunit delta
SACOL1316	mutL	K03572	DNA mismatch repair protein
SACOL1317	glpP	K02443	glycerol uptake operon antiterminator regulatory protein
SACOL1646	comEA	K02237	comE operon protein 1-like protein
SACOL1312	miaB	K06168	(dimethylallyl)adenosine tRNA methylthiotransferase
SACOL1838	pckA	K01610	phosphoenolpyruvate carboxykinase 
SAA0002	tet	K08168	tetracycline resistance protein
SACOL1319	glpF	K02440	glycerol uptake facilitator protein
SACOL1288	infB	K02519	translation initiation factor IF-2
